condition,data_label,samples_per_anchor_source,contrast,metric,n_model_seeds,mean_difference,difference_seed_sd,action_min_better_seed_count,seed_differences
confounded,n16,16,action_level_min_minus_pooled_balanced,regret_cvar90,3,-0.4959592876815317,1.0172827217318339,2,"[-0.9514992969134752,-1.2058601266593278,0.6694815605282081]"
confounded,n16,16,action_level_min_minus_source_3,regret_mean,3,-0.022955380272021892,0.14899145709953027,2,"[0.14789395018416318,-0.09087764564620526,-0.1258824453540236]"
confounded,n16,16,action_level_min_minus_source_3,regret_median,3,-0.03020254852357122,0.1326857851485114,2,"[0.1096062109337197,-0.04583307944142234,-0.154380777063011]"
confounded,n16,16,action_level_min_minus_source_3,regret_p90,3,-0.11214403668707829,0.03400728086169645,3,"[-0.07338608041288253,-0.13698751577961144,-0.1260585138687409]"
confounded,n16,16,action_level_min_minus_source_3,regret_cvar90,3,0.04381909384580732,0.8642577897828781,2,"[0.9719838295440049,-0.7377915322026318,-0.10273501580395106]"
confounded,n32,32,action_level_min_minus_pooled_balanced,regret_mean,3,-0.03102838666657881,0.2346063363779927,2,"[-0.2213811825969776,0.2310746205609363,-0.10277859796369515]"
confounded,n32,32,action_level_min_minus_pooled_balanced,regret_median,3,0.04871362389848836,0.13910264330085378,1,"[-0.06190293775057398,0.20488085370618592,0.003162955739853146]"
confounded,n32,32,action_level_min_minus_pooled_balanced,regret_p90,3,-0.19059731067316643,0.6713574373445023,2,"[-0.8176020007868943,0.5177083368132978,-0.2718982680459028]"
confounded,n32,32,action_level_min_minus_pooled_balanced,regret_cvar90,3,-0.356199395069065,0.7629977603814139,2,"[-0.9798622839216264,0.49456528561947444,-0.5833011869050431]"
confounded,n32,32,action_level_min_minus_source_3,regret_mean,3,0.03723865558525963,0.008246160838806556,0,"[0.029417898867792447,0.03644520658171568,0.045852861306270754]"
confounded,n32,32,action_level_min_minus_source_3,regret_median,3,0.08518869009780398,0.08353912026396533,0,"[0.18063452925508727,0.04956343372941774,0.02536810730890693]"
confounded,n32,32,action_level_min_minus_source_3,regret_p90,3,0.09514398714989773,0.36237527442092665,1,"[-0.2615754790222138,0.4629219251478751,0.08408551532403186]"
confounded,n32,32,action_level_min_minus_source_3,regret_cvar90,3,-0.16196015672943412,0.2604312311529645,2,"[-0.41177752744366813,-0.18202694214899395,0.1079239994043597]"
confounded,n32_extra_compute,32,action_level_min_minus_pooled_balanced,regret_mean,1,-0.033447504394018335,0.0,1,[-0.033447504394018335]
confounded,n32_extra_compute,32,action_level_min_minus_pooled_balanced,regret_median,1,0.03950905414905037,0.0,0,[0.03950905414905037]
confounded,n32_extra_compute,32,action_level_min_minus_pooled_balanced,regret_p90,1,-0.33277382958779067,0.0,1,[-0.33277382958779067]
confounded,n32_extra_compute,32,action_level_min_minus_pooled_balanced,regret_cvar90,1,-0.8387215138127999,0.0,1,[-0.8387215138127999]
confounded,n32_extra_compute,32,action_level_min_minus_source_3,regret_mean,1,-0.10611054017515953,0.0,1,[-0.10611054017515953]
