condition,seed,data_label,samples_per_anchor_source,gradient_updates,method,candidate_count,do_mae,do_rmse,signed_error,underestimation_fraction,mean_positive_slack,top_action_disagreement,strict_flip,selected_action_0_fraction,selected_action_1_fraction,selected_action_2_fraction,regret_mean,regret_median,regret_conditional_mean,regret_p90,regret_max,phi_mae,phi_signed_bias,regret_cvar90,regret_p95
confounded,2,n16,16,500,pooled_balanced,28,3.300545824553549,4.808731343403443,1.277857549159764,0.30936920222634506,2.2892016868566563,0.8701298701298701,0.8701298701298701,0.05194805194805195,0.025974025974025976,0.012987012987012988,0.5994107906934952,0.4262111280262957,0.6888750878119274,1.511419745918431,2.2423166026423473,3.528949094159998,2.1701607480489464,1.878828569634571,1.9168802708675685
confounded,2,n16,16,500,state_level_min,28,2.7986228806473568,4.0879306331921,-1.2946872983419926,0.62708719851577,0.751967791152682,0.8961038961038961,0.8961038961038961,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.728446760906968,0.5638231822356374,0.8129043563744425,1.487492923361083,5.918919777564554,2.2987604751419197,-0.20800879706547706,2.691921892657785,2.2509602999490883
confounded,2,n16,16,500,action_level_min,28,2.80075146935741,4.094950734530558,-1.353367466647171,0.6363636363636364,0.7236920013551195,0.8831168831168831,0.8831168831168831,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.6836969723545536,0.472505771830356,0.7741862775191269,1.3853612320496902,5.918919777564554,2.2756418121556625,-0.2662865586767543,2.548310130162779,2.0237568916025235
confounded,0,n32,32,1000,source_1,28,3.7448173001563383,5.216882453138018,3.271472633984217,0.11549165120593692,3.5081449670702773,0.935064935064935,0.935064935064935,0.012987012987012988,0.0,0.025974025974025976,0.9311203592389818,0.628327045134597,0.9957814952972446,1.5597952718718489,7.543358875099216,5.368558899303212,5.2788233013594095,3.8122147225053524,2.4433691464925036
confounded,0,n32,32,1000,source_2,28,3.465129854404659,4.237363370706197,3.0799757522855096,0.12198515769944342,3.272552803345084,0.9090909090909091,0.9090909090909091,0.05194805194805195,0.025974025974025976,0.012987012987012988,0.6848104629424209,0.5963214154197658,0.753291509236663,1.3700160121679232,3.3423592711387187,4.904634971704639,4.7077589434353895,2.249012402766425,1.9613982621932913
confounded,0,n32,32,1000,source_3,28,4.398242536794608,5.506745325724053,3.738493107292691,0.1326530612244898,4.068367822043649,0.8701298701298701,0.8701298701298701,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.6994439243000721,0.318309979225603,0.803838539867247,1.5986449521003592,6.315153562720184,7.315409421829384,7.257502894479014,3.5124784570728096,3.2199514370312845
confounded,0,n32,32,1000,pooled_balanced,28,2.8886960959900185,3.83588306560195,2.595894263102361,0.11641929499072357,2.7422951795461894,0.8831168831168831,0.8831168831168831,0.05194805194805195,0.025974025974025976,0.0,0.9502430057648421,0.5608474462312643,1.076010462410189,2.1546714738650397,7.543358875099216,4.184526848775635,4.137468331999674,4.080563213550768,3.468528631925895
confounded,0,n32,32,1000,state_level_min,28,2.593240685709456,3.3990443264142525,1.704139024710409,0.20686456400742115,2.1486898552099327,0.922077922077922,0.922077922077922,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.7289244438090241,0.5672276934402021,0.7905236925816177,1.3200870133693177,5.234654753485756,3.822080947608357,3.5700347373279997,2.7472609112824244,2.172221957667375
confounded,0,n32,32,1000,action_level_min,28,2.4243280975342048,3.2131349242371803,1.1544628129661871,0.2787569573283859,1.7893954552501956,0.8831168831168831,0.8831168831168831,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.7288618231678645,0.4989445084806903,0.825328829175376,1.3370694730781454,7.543358875099216,3.5566550798302266,3.2981769055683583,3.1007009296291415,2.2238068712085473
confounded,1,n32,32,1000,source_1,28,3.7670779143119,4.639607929332591,2.209697209682679,0.19666048237476808,2.988387561997289,0.8961038961038961,0.8961038961038961,0.012987012987012988,0.0,0.0,0.8795205352481967,0.5207700938123025,0.981493930639292,2.0858636338933256,6.715253902940901,4.955797577126026,3.9145817322634318,3.7583781278025192,3.2870609015551224
