anchor_count,condition,failure_type,fraction,kappa,lambda_reward,mixture,model_seed,n_anchors
35,independent_latents,B,0.44871794871794873,0.0,0.2,logger1_heavy,2,78
0,independent_latents,C,0.0,0.0,0.2,logger1_heavy,2,78
0,independent_latents,D,0.0,0.0,0.2,logger1_heavy,2,78
0,independent_latents,E,0.0,0.0,0.2,logger1_heavy,2,78
42,independent_latents,A,0.5384615384615384,0.0,0.2,logger12_balanced,0,78
36,independent_latents,B,0.46153846153846156,0.0,0.2,logger12_balanced,0,78
0,independent_latents,C,0.0,0.0,0.2,logger12_balanced,0,78
0,independent_latents,D,0.0,0.0,0.2,logger12_balanced,0,78
0,independent_latents,E,0.0,0.0,0.2,logger12_balanced,0,78
52,independent_latents,A,0.6666666666666666,0.0,0.2,logger12_balanced,1,78
26,independent_latents,B,0.3333333333333333,0.0,0.2,logger12_balanced,1,78
0,independent_latents,C,0.0,0.0,0.2,logger12_balanced,1,78
0,independent_latents,D,0.0,0.0,0.2,logger12_balanced,1,78
0,independent_latents,E,0.0,0.0,0.2,logger12_balanced,1,78
43,independent_latents,A,0.5512820512820513,0.0,0.2,logger12_balanced,2,78
35,independent_latents,B,0.44871794871794873,0.0,0.2,logger12_balanced,2,78
0,independent_latents,C,0.0,0.0,0.2,logger12_balanced,2,78
0,independent_latents,D,0.0,0.0,0.2,logger12_balanced,2,78
0,independent_latents,E,0.0,0.0,0.2,logger12_balanced,2,78
42,independent_latents,A,0.5384615384615384,0.0,0.2,logger2_heavy,0,78
36,independent_latents,B,0.46153846153846156,0.0,0.2,logger2_heavy,0,78
0,independent_latents,C,0.0,0.0,0.2,logger2_heavy,0,78
0,independent_latents,D,0.0,0.0,0.2,logger2_heavy,0,78
0,independent_latents,E,0.0,0.0,0.2,logger2_heavy,0,78
52,independent_latents,A,0.6666666666666666,0.0,0.2,logger2_heavy,1,78
26,independent_latents,B,0.3333333333333333,0.0,0.2,logger2_heavy,1,78
0,independent_latents,C,0.0,0.0,0.2,logger2_heavy,1,78
0,independent_latents,D,0.0,0.0,0.2,logger2_heavy,1,78
0,independent_latents,E,0.0,0.0,0.2,logger2_heavy,1,78
43,independent_latents,A,0.5512820512820513,0.0,0.2,logger2_heavy,2,78
35,independent_latents,B,0.44871794871794873,0.0,0.2,logger2_heavy,2,78
0,independent_latents,C,0.0,0.0,0.2,logger2_heavy,2,78
0,independent_latents,D,0.0,0.0,0.2,logger2_heavy,2,78
0,independent_latents,E,0.0,0.0,0.2,logger2_heavy,2,78
47,confounded,A,0.6025641025641025,0.3,0.0,logger1_heavy,0,78
29,confounded,B,0.3717948717948718,0.3,0.0,logger1_heavy,0,78
0,confounded,C,0.0,0.3,0.0,logger1_heavy,0,78
2,confounded,D,0.02564102564102564,0.3,0.0,logger1_heavy,0,78
0,confounded,E,0.0,0.3,0.0,logger1_heavy,0,78
54,confounded,A,0.6923076923076923,0.3,0.0,logger1_heavy,1,78
22,confounded,B,0.28205128205128205,0.3,0.0,logger1_heavy,1,78
0,confounded,C,0.0,0.3,0.0,logger1_heavy,1,78
1,confounded,D,0.01282051282051282,0.3,0.0,logger1_heavy,1,78
1,confounded,E,0.01282051282051282,0.3,0.0,logger1_heavy,1,78
53,confounded,A,0.6794871794871795,0.3,0.0,logger1_heavy,2,78
23,confounded,B,0.2948717948717949,0.3,0.0,logger1_heavy,2,78
1,confounded,C,0.01282051282051282,0.3,0.0,logger1_heavy,2,78
1,confounded,D,0.01282051282051282,0.3,0.0,logger1_heavy,2,78
0,confounded,E,0.0,0.3,0.0,logger1_heavy,2,78
38,confounded,A,0.48717948717948717,0.3,0.0,logger12_balanced,0,78
38,confounded,B,0.48717948717948717,0.3,0.0,logger12_balanced,0,78
0,confounded,C,0.0,0.3,0.0,logger12_balanced,0,78
2,confounded,D,0.02564102564102564,0.3,0.0,logger12_balanced,0,78
0,confounded,E,0.0,0.3,0.0,logger12_balanced,0,78
49,confounded,A,0.6282051282051282,0.3,0.0,logger12_balanced,1,78
27,confounded,B,0.34615384615384615,0.3,0.0,logger12_balanced,1,78
0,confounded,C,0.0,0.3,0.0,logger12_balanced,1,78
1,confounded,D,0.01282051282051282,0.3,0.0,logger12_balanced,1,78
1,confounded,E,0.01282051282051282,0.3,0.0,logger12_balanced,1,78
56,confounded,A,0.717948717948718,0.3,0.0,logger12_balanced,2,78
20,confounded,B,0.2564102564102564,0.3,0.0,logger12_balanced,2,78
0,confounded,C,0.0,0.3,0.0,logger12_balanced,2,78
1,confounded,D,0.01282051282051282,0.3,0.0,logger12_balanced,2,78
