condition,conditional_positive_mean,kappa,lambda_reward,max,mean,median,min,mixture,model_seed,n,negative_fraction,p90,p99,positive_fraction,source,top_1pct_total_contribution,top_set_rule,zero_fraction
confounded,,0.0,0.05,0.0,0.0,0.0,0.0,logger1_heavy,2,78,0.0,0.0,0.0,0.0,neural_minus_observational,0.0,best,1.0
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,0,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,best,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,0,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,worst,
confounded,0.006139803752849479,0.0,0.05,0.014561894727489477,0.005588795723747603,0.004625834457568034,0.0,logger12_balanced,0,78,,0.012661211120799098,0.014509129222855034,,neural,0.033404505598846626,best,
confounded,0.006139803752849479,0.0,0.05,0.014561894727489477,0.005588795723747603,0.004625834457568034,0.0,logger12_balanced,0,78,,0.012661211120799098,0.014509129222855034,,neural,0.033404505598846626,worst,
confounded,,0.0,0.05,0.0,-0.0002888373696959282,0.0,-0.013315073235235175,logger12_balanced,0,78,0.038461538461538464,0.0,0.0,0.0,neural_minus_observational,-0.0,best,0.9615384615384616
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,1,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,best,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,1,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,worst,
confounded,0.006186500463948393,0.0,0.05,0.014561894727489477,0.005789929921387598,0.004823937133084488,0.0,logger12_balanced,1,78,,0.012806157761590152,0.014509129222855034,,neural,0.032244079044050855,best,
confounded,0.006186500463948393,0.0,0.05,0.014561894727489477,0.005789929921387598,0.004823937133084488,0.0,logger12_balanced,1,78,,0.012806157761590152,0.014509129222855034,,neural,0.032244079044050855,worst,
confounded,,0.0,0.05,0.0,-8.77031720559324e-05,0.0,-0.004129042809201344,logger12_balanced,1,78,0.02564102564102564,0.0,0.0,0.0,neural_minus_observational,-0.0,best,0.9743589743589743
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,2,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,best,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,2,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,worst,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,2,78,,0.012806157761590152,0.014509129222855034,,neural,0.031762948635393674,best,
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger12_balanced,2,78,,0.012806157761590152,0.014509129222855034,,neural,0.031762948635393674,worst,
confounded,,0.0,0.05,0.0,0.0,0.0,0.0,logger12_balanced,2,78,0.0,0.0,0.0,0.0,neural_minus_observational,0.0,best,1.0
confounded,0.006195342990386424,0.0,0.05,0.014561894727489477,0.005877633093443531,0.005016554789979422,0.0,logger2_heavy,0,78,,0.012806157761590152,0.014509129222855034,,observational,0.031762948635393674,best,
