action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
plus,confounded,total_neural_do_error,0.0,0.0,0.026189285719220783,0.10606639857742062,0.1657197151169698,,,,-0.0005854636758608756,-0.1657197151169698,logger12_balanced,1,78,,0.06144915523915029,action_error,0.039400428991456043,-0.0036075883696501574
minus,confounded,population_causal_bias,0.0,0.0,1.0959893961043213e-16,4.440892098500626e-16,8.881784197001252e-16,,,,0.0,-8.881784197001252e-16,logger12_balanced,2,78,,4.440892098500626e-16,action_error,2.280136661137617e-16,-4.270088556250602e-18
minus,confounded,neural_approximation_error,0.0,0.0,0.024291642557730232,0.14967992129552377,0.14967992129552377,,,,-0.0021606303661586,-0.1425823603483325,logger12_balanced,2,78,,0.05519514148526284,action_error,0.03755420527644628,0.0002305664398118768
minus,confounded,total_neural_do_error,0.0,0.0,0.024291642557730236,0.1496799212955242,0.1496799212955242,,,,-0.0021606303661585446,-0.1425823603483325,logger12_balanced,2,78,,0.05519514148526284,action_error,0.037554205276446304,0.00023056643981187252
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.024228129724070353,0.14182096733258387,0.14182096733258387,,,,-0.005254324982292058,-0.12711450089003007,logger12_balanced,2,78,,0.049621758351926525,action_error,0.036476660202062874,0.00019032095913915865
base,confounded,total_neural_do_error,0.0,0.0,0.024228129724070353,0.14182096733258387,0.14182096733258387,,,,-0.005254324982292058,-0.12711450089003007,logger12_balanced,2,78,,0.049621758351926525,action_error,0.03647666020206286,0.00019032095913918142
plus,confounded,population_causal_bias,0.0,0.0,4.369723955896449e-16,8.881784197001252e-16,8.881784197001252e-16,,,,4.440892098500626e-16,0.0,logger12_balanced,2,78,,8.881784197001252e-16,action_error,5.110923202727795e-16,4.369723955896449e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.02327755901704249,0.13061633768160608,0.13061633768160608,,,,-0.003935064975928437,-0.11126978752924854,logger12_balanced,2,78,,0.047705988984438355,action_error,0.03482218196776852,0.0005902305542500383
plus,confounded,total_neural_do_error,0.0,0.0,0.02327755901704245,0.13061633768160652,0.13061633768160652,,,,-0.003935064975927993,-0.1112697875292481,logger12_balanced,2,78,,0.04770598898443893,action_error,0.03482218196776854,0.0005902305542504752
minus,confounded,population_causal_bias,0.0,0.0,1.7365026795419115e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,0,78,,4.440892098500626e-16,action_error,2.9373740229761033e-16,1.4802973661668753e-16
minus,confounded,neural_approximation_error,0.0,0.0,0.022964648480417474,0.1164451103058366,0.19610435887102762,,,,-0.00025279808962053174,-0.19610435887102762,logger2_heavy,0,78,,0.06317292263002978,action_error,0.04069653453504496,-0.003469557801804245
minus,confounded,total_neural_do_error,0.0,0.0,0.022964648480417484,0.11644511030583704,0.19610435887102717,,,,-0.00025279808962008765,-0.19610435887102717,logger2_heavy,0,78,,0.06317292263003009,action_error,0.04069653453504494,-0.0034695578018040965
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.02196777373158132,0.1006791946615393,0.19327080831482712,,,,-0.0004518454839019803,-0.19327080831482712,logger2_heavy,0,78,,0.0591529613464254,action_error,0.039292976414880464,-0.0032220811462109625
base,confounded,total_neural_do_error,0.0,0.0,0.02196777373158131,0.1006791946615393,0.19327080831482712,,,,-0.0004518454839019803,-0.19327080831482712,logger2_heavy,0,78,,0.0591529613464254,action_error,0.03929297641488045,-0.00322208114621094
plus,confounded,population_causal_bias,0.0,0.0,1.6511009084168995e-16,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,0,78,,4.440892098500626e-16,action_error,2.6784950918263577e-16,1.4802973661668753e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.02278318673552479,0.08795104844548751,0.18571018413641394,,,,0.0031052432577189926,-0.18571018413641394,logger2_heavy,0,78,,0.05397021494443509,action_error,0.03816344411889728,-0.003137108849665957
plus,confounded,total_neural_do_error,0.0,0.0,0.02278318673552483,0.08795104844548796,0.18571018413641394,,,,0.0031052432577192146,-0.18571018413641394,logger2_heavy,0,78,,0.05397021494443553,action_error,0.03816344411889728,-0.0031371088496658086
minus,confounded,population_causal_bias,0.0,0.0,1.7365026795419115e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,1,78,,4.440892098500626e-16,action_error,2.9373740229761033e-16,1.4802973661668753e-16
minus,confounded,neural_approximation_error,0.0,0.0,0.024839954815360905,0.08951314844734037,0.17750903253320915,,,,-0.0018947235165156506,-0.17750903253320915,logger2_heavy,1,78,,0.054368558926095316,action_error,0.0379917908146818,-0.004504882045603778
minus,confounded,total_neural_do_error,0.0,0.0,0.024839954815360905,0.08951314844734082,0.1775090325332087,,,,-0.0018947235165156506,-0.1775090325332087,logger2_heavy,1,78,,0.05436855892609563,action_error,0.037991790814681785,-0.004504882045603629
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.02574699370810733,0.09727125607610398,0.17365176336821442,,,,-0.0018594748138982542,-0.17365176336821442,logger2_heavy,1,78,,0.06239285451110414,action_error,0.0383987209371644,-0.0038950708187046232
base,confounded,total_neural_do_error,0.0,0.0,0.025746993708107315,0.09727125607610398,0.17365176336821442,,,,-0.0018594748138982542,-0.17365176336821442,logger2_heavy,1,78,,0.06239285451110414,action_error,0.038398720937164385,-0.0038950708187046003
plus,confounded,population_causal_bias,0.0,0.0,1.6511009084168995e-16,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,1,78,,4.440892098500626e-16,action_error,2.6784950918263577e-16,1.4802973661668753e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.026189285719220783,0.10606639857742017,0.1657197151169698,,,,-0.0005854636758610976,-0.1657197151169698,logger2_heavy,1,78,,0.06144915523915029,action_error,0.03940042899145604,-0.0036075883696503053
plus,confounded,total_neural_do_error,0.0,0.0,0.026189285719220783,0.10606639857742062,0.1657197151169698,,,,-0.0005854636758608756,-0.1657197151169698,logger2_heavy,1,78,,0.06144915523915029,action_error,0.039400428991456043,-0.0036075883696501574
minus,confounded,population_causal_bias,0.0,0.0,1.7365026795419115e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,2,78,,4.440892098500626e-16,action_error,2.9373740229761033e-16,1.4802973661668753e-16
minus,confounded,neural_approximation_error,0.0,0.0,0.02429164255773026,0.14967992129552377,0.14967992129552377,,,,-0.002160630366158822,-0.14258236034833294,logger2_heavy,2,78,,0.05519514148526284,action_error,0.03755420527644631,0.0002305664398117245
minus,confounded,total_neural_do_error,0.0,0.0,0.024291642557730236,0.1496799212955242,0.1496799212955242,,,,-0.0021606303661585446,-0.1425823603483325,logger2_heavy,2,78,,0.05519514148526284,action_error,0.037554205276446304,0.00023056643981187252
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.024228129724070353,0.14182096733258387,0.14182096733258387,,,,-0.005254324982292058,-0.12711450089003007,logger2_heavy,2,78,,0.049621758351926525,action_error,0.036476660202062874,0.00019032095913915865
base,confounded,total_neural_do_error,0.0,0.0,0.024228129724070353,0.14182096733258387,0.14182096733258387,,,,-0.005254324982292058,-0.12711450089003007,logger2_heavy,2,78,,0.049621758351926525,action_error,0.03647666020206286,0.00019032095913918142
plus,confounded,population_causal_bias,0.0,0.0,1.6511009084168995e-16,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,2,78,,4.440892098500626e-16,action_error,2.6784950918263577e-16,1.4802973661668753e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.023277559017042447,0.13061633768160608,0.13061633768160608,,,,-0.003935064975928215,-0.1112697875292481,logger2_heavy,2,78,,0.047705988984438626,action_error,0.03482218196776851,0.0005902305542503272
plus,confounded,total_neural_do_error,0.0,0.0,0.02327755901704245,0.13061633768160652,0.13061633768160652,,,,-0.003935064975927993,-0.1112697875292481,logger2_heavy,2,78,,0.04770598898443893,action_error,0.03482218196776854,0.0005902305542504752
