action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
plus,confounded,population_causal_bias,0.0,0.05,0.022222222222222296,0.022222222222222587,0.022222222222222587,,,,0.022222222222222143,0.0222222222222217,logger2_heavy,2,78,,0.022222222222222587,action_error,0.022222222222222292,0.022222222222222296
plus,confounded,neural_approximation_error,0.0,0.05,0.025414952880057216,0.11930355272175053,0.11930355272175053,,,,-0.0038935223778149286,-0.1105161233259806,logger2_heavy,2,78,,0.06118810631527531,action_error,0.03722519544494675,0.0018729462328417807
plus,confounded,total_neural_do_error,0.0,0.05,0.03169114821392711,0.14152577494397267,0.14152577494397267,,,,0.018328699844407215,-0.08829390110375845,logger2_heavy,2,78,,0.0708954265616804,action_error,0.04430332257518938,0.024095168455064073
minus,independent_latents,population_causal_bias,0.0,0.05,2.1492779066461364e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,3.1527406848330565e-16,2.0354088784794536e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.020107321470433863,0.07693315510113763,0.07693315510113763,,,,-0.004359154942477517,-0.0715731443511709,logger1_heavy,0,78,,0.052864278789589526,action_error,0.027615753118164024,-0.002238222004450936
minus,independent_latents,total_neural_do_error,0.0,0.05,0.020107321470433846,0.07693315510113807,0.07693315510113807,,,,-0.004359154942477517,-0.0715731443511709,logger1_heavy,0,78,,0.052864278789589526,action_error,0.02761575311816403,-0.0022382220044507325
base,independent_latents,population_causal_bias,0.0,0.05,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger1_heavy,0,78,,0.051681297414271556,action_error,0.02613388495558702,-0.0010428118810896525
base,independent_latents,total_neural_do_error,0.0,0.05,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger1_heavy,0,78,,0.051681297414271424,action_error,0.026133884955587015,-0.0010428118810896297
plus,independent_latents,population_causal_bias,0.0,0.05,2.50511861966702e-16,8.881784197001252e-16,8.881784197001252e-16,,,,1.6653345369377348e-16,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,3.586535475322008e-16,2.277380563333654e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.01942030433107585,0.0790677965677351,0.0790677965677351,,,,-0.0004773797310349548,-0.06395974102589186,logger1_heavy,0,78,,0.04540878989388925,action_error,0.026377410726526482,0.0006853834369642905
plus,independent_latents,total_neural_do_error,0.0,0.05,0.01942030433107586,0.07906779656773555,0.07906779656773555,,,,-0.00047737973103467723,-0.06395974102589097,logger1_heavy,0,78,,0.04540878989388895,action_error,0.02637741072652649,0.0006853834369645182
minus,independent_latents,population_causal_bias,0.0,0.05,2.1492779066461364e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,3.1527406848330565e-16,2.0354088784794536e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.028473932549760165,0.10958366120695784,0.26917836368452086,,,,0.0022233172824792646,-0.26917836368452086,logger1_heavy,1,78,,0.061725192244181666,action_error,0.04902272911144931,-0.0030677796321409334
minus,independent_latents,total_neural_do_error,0.0,0.05,0.028473932549760217,0.10958366120695828,0.26917836368452086,,,,0.0022233172824797087,-0.26917836368452086,logger1_heavy,1,78,,0.061725192244181666,action_error,0.04902272911144933,-0.00306777963214073
base,independent_latents,population_causal_bias,0.0,0.05,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.027252709101716534,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger1_heavy,1,78,,0.06069462390609884,action_error,0.0477512297144732,-0.0030679687993651374
base,independent_latents,total_neural_do_error,0.0,0.05,0.02725270910171651,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger1_heavy,1,78,,0.06069462390609884,action_error,0.04775122971447319,-0.003067968799365115
plus,independent_latents,population_causal_bias,0.0,0.05,2.50511861966702e-16,8.881784197001252e-16,8.881784197001252e-16,,,,1.6653345369377348e-16,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,3.586535475322008e-16,2.277380563333654e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.027072883844374642,0.12937193961136773,0.2416003675876719,,,,0.0008412284749570453,-0.2416003675876719,logger1_heavy,1,78,,0.06570962870969471,action_error,0.04644963630216072,-0.002177227685795269
plus,independent_latents,total_neural_do_error,0.0,0.05,0.02707288384437465,0.12937193961136817,0.2416003675876719,,,,0.0008412284749574894,-0.2416003675876719,logger1_heavy,1,78,,0.06570962870969471,action_error,0.04644963630216069,-0.0021772276857950413
minus,independent_latents,population_causal_bias,0.0,0.05,2.1492779066461364e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,3.1527406848330565e-16,2.0354088784794536e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.02732669496181921,0.1882959255205061,0.1882959255205061,,,,-0.002002634060178199,-0.16496279952200865,logger1_heavy,2,78,,0.058479528581606266,action_error,0.04684550015990117,-0.0023475026304348766
minus,independent_latents,total_neural_do_error,0.0,0.05,0.027326694961819182,0.18829592552050656,0.18829592552050656,,,,-0.002002634060177977,-0.16496279952200865,logger1_heavy,2,78,,0.058479528581606266,action_error,0.04684550015990118,-0.0023475026304346732
base,independent_latents,population_causal_bias,0.0,0.05,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger1_heavy,2,78,,0.058954949041496486,action_error,0.043044260948492556,-0.0008052667439280954
base,independent_latents,total_neural_do_error,0.0,0.05,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger1_heavy,2,78,,0.058954949041496174,action_error,0.04304426094849254,-0.0008052667439280726
plus,independent_latents,population_causal_bias,0.0,0.05,2.50511861966702e-16,8.881784197001252e-16,8.881784197001252e-16,,,,1.6653345369377348e-16,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,3.586535475322008e-16,2.277380563333654e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.025469395376761267,0.15520379432299558,0.15520379432299558,,,,0.002012813862656726,-0.1315841832196365,logger1_heavy,2,78,,0.0573908244886918,action_error,0.039859111286949675,0.0010484318077251965
plus,independent_latents,total_neural_do_error,0.0,0.05,0.02546939537676132,0.15520379432299602,0.15520379432299602,,,,0.00201281386265717,-0.1315841832196365,logger1_heavy,2,78,,0.057390824488692115,action_error,0.039859111286949696,0.0010484318077254241
minus,independent_latents,population_causal_bias,0.0,0.05,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,0,78,,4.440892098500626e-16,action_error,3.39411609061636e-16,1.9500071073544416e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.02010732147043388,0.07693315510113807,0.07693315510113807,,,,-0.004359154942477961,-0.07157314435117179,logger12_balanced,0,78,,0.052864278789589526,action_error,0.027615753118164072,-0.0022382220044509273
minus,independent_latents,total_neural_do_error,0.0,0.05,0.020107321470433846,0.07693315510113807,0.07693315510113807,,,,-0.004359154942477517,-0.0715731443511709,logger12_balanced,0,78,,0.052864278789589526,action_error,0.02761575311816403,-0.0022382220044507325
base,independent_latents,population_causal_bias,0.0,0.05,9.678867394168032e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,0,78,,4.440892098500626e-16,action_error,2.0732295032918125e-16,5.124106267500723e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.018635047566479185,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger12_balanced,0,78,,0.051681297414271424,action_error,0.026133884955587026,-0.0010428118810896809
base,independent_latents,total_neural_do_error,0.0,0.05,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger12_balanced,0,78,,0.051681297414271424,action_error,0.026133884955587015,-0.0010428118810896297
plus,independent_latents,population_causal_bias,0.0,0.05,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,0,78,,4.440892098500626e-16,action_error,3.412688683932835e-16,1.8361380791877588e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.01942030433107578,0.0790677965677351,0.0790677965677351,,,,-0.00047737973103467723,-0.06395974102589097,logger12_balanced,0,78,,0.04540878989388908,action_error,0.02637741072652642,0.0006853834369643346
plus,independent_latents,total_neural_do_error,0.0,0.05,0.01942030433107586,0.07906779656773555,0.07906779656773555,,,,-0.00047737973103467723,-0.06395974102589097,logger12_balanced,0,78,,0.04540878989388895,action_error,0.02637741072652649,0.0006853834369645182
minus,independent_latents,population_causal_bias,0.0,0.05,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,1,78,,4.440892098500626e-16,action_error,3.39411609061636e-16,1.9500071073544416e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.028473932549760193,0.10958366120695784,0.26917836368452086,,,,0.0022233172824794867,-0.26917836368452086,logger12_balanced,1,78,,0.061725192244181666,action_error,0.04902272911144936,-0.0030677796321409248
minus,independent_latents,total_neural_do_error,0.0,0.05,0.028473932549760217,0.10958366120695828,0.26917836368452086,,,,0.0022233172824797087,-0.26917836368452086,logger12_balanced,1,78,,0.061725192244181666,action_error,0.04902272911144933,-0.00306777963214073
base,independent_latents,population_causal_bias,0.0,0.05,9.678867394168032e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,1,78,,4.440892098500626e-16,action_error,2.0732295032918125e-16,5.124106267500723e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.027252709101716493,0.11728234494619638,0.25564382613080694,,,,0.0010659372936081546,-0.25564382613080694,logger12_balanced,1,78,,0.06069462390609884,action_error,0.04775122971447319,-0.003067968799365166
base,independent_latents,total_neural_do_error,0.0,0.05,0.02725270910171651,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger12_balanced,1,78,,0.06069462390609884,action_error,0.04775122971447319,-0.003067968799365115
plus,independent_latents,population_causal_bias,0.0,0.05,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,1,78,,4.440892098500626e-16,action_error,3.412688683932835e-16,1.8361380791877588e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.027072883844374614,0.12937193961136773,0.24160036758767234,,,,0.0008412284749572674,-0.24160036758767234,logger12_balanced,1,78,,0.06570962870969409,action_error,0.046449636302160674,-0.002177227685795225
plus,independent_latents,total_neural_do_error,0.0,0.05,0.02707288384437465,0.12937193961136817,0.2416003675876719,,,,0.0008412284749574894,-0.2416003675876719,logger12_balanced,1,78,,0.06570962870969471,action_error,0.04644963630216069,-0.0021772276857950413
minus,independent_latents,population_causal_bias,0.0,0.05,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,2,78,,4.440892098500626e-16,action_error,3.39411609061636e-16,1.9500071073544416e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.027326694961819192,0.1882959255205061,0.1882959255205061,,,,-0.002002634060178199,-0.16496279952200865,logger12_balanced,2,78,,0.058479528581606266,action_error,0.04684550015990121,-0.002347502630434868
minus,independent_latents,total_neural_do_error,0.0,0.05,0.027326694961819182,0.18829592552050656,0.18829592552050656,,,,-0.002002634060177977,-0.16496279952200865,logger12_balanced,2,78,,0.058479528581606266,action_error,0.04684550015990118,-0.0023475026304346732
base,independent_latents,population_causal_bias,0.0,0.05,9.678867394168032e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,2,78,,4.440892098500626e-16,action_error,2.0732295032918125e-16,5.124106267500723e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.026017784887039853,0.1739488958710247,0.1739488958710247,,,,-0.0002432206724791719,-0.14543910138697136,logger12_balanced,2,78,,0.058954949041496174,action_error,0.043044260948492535,-0.0008052667439281239
base,independent_latents,total_neural_do_error,0.0,0.05,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger12_balanced,2,78,,0.058954949041496174,action_error,0.04304426094849254,-0.0008052667439280726
plus,independent_latents,population_causal_bias,0.0,0.05,2.177745163687807e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger12_balanced,2,78,,4.440892098500626e-16,action_error,3.412688683932835e-16,1.8361380791877588e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.025469395376761284,0.15520379432299558,0.15520379432299558,,,,0.002012813862656726,-0.13158418321963694,logger12_balanced,2,78,,0.0573908244886918,action_error,0.039859111286949654,0.0010484318077252407
plus,independent_latents,total_neural_do_error,0.0,0.05,0.02546939537676132,0.15520379432299602,0.15520379432299602,,,,0.00201281386265717,-0.1315841832196365,logger12_balanced,2,78,,0.057390824488692115,action_error,0.039859111286949696,0.0010484318077254241
minus,independent_latents,population_causal_bias,0.0,0.05,1.8219044506669235e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,0,78,,4.440892098500626e-16,action_error,2.990688247378966e-16,1.4518301091252047e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.02010732147043386,0.07693315510113763,0.07693315510113763,,,,-0.004359154942477517,-0.07157314435117179,logger2_heavy,0,78,,0.05286427878958983,action_error,0.02761575311816405,-0.0022382220044508774
minus,independent_latents,total_neural_do_error,0.0,0.05,0.020107321470433846,0.07693315510113807,0.07693315510113807,,,,-0.004359154942477517,-0.0715731443511709,logger2_heavy,0,78,,0.052864278789589526,action_error,0.02761575311816403,-0.0022382220044507325
base,independent_latents,population_causal_bias,0.0,0.05,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger2_heavy,0,78,,0.051681297414271556,action_error,0.02613388495558702,-0.0010428118810896525
base,independent_latents,total_neural_do_error,0.0,0.05,0.018635047566479192,0.07586535849078935,0.07586535849078935,,,,-0.0005417820616280267,-0.06654246219697146,logger2_heavy,0,78,,0.051681297414271424,action_error,0.026133884955587015,-0.0010428118810896297
plus,independent_latents,population_causal_bias,0.0,0.05,1.7507363080627468e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,0,78,,4.440892098500626e-16,action_error,2.858302571409967e-16,1.2667929383543452e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.01942030433107582,0.07906779656773555,0.07906779656773555,,,,-0.0004773797310348993,-0.06395974102589097,logger2_heavy,0,78,,0.04540878989388939,action_error,0.02637741072652647,0.0006853834369643916
plus,independent_latents,total_neural_do_error,0.0,0.05,0.01942030433107586,0.07906779656773555,0.07906779656773555,,,,-0.00047737973103467723,-0.06395974102589097,logger2_heavy,0,78,,0.04540878989388895,action_error,0.02637741072652649,0.0006853834369645182
minus,independent_latents,population_causal_bias,0.0,0.05,1.8219044506669235e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,1,78,,4.440892098500626e-16,action_error,2.990688247378966e-16,1.4518301091252047e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.02847393254976022,0.10958366120695784,0.2691783636845213,,,,0.0022233172824794867,-0.2691783636845213,logger2_heavy,1,78,,0.061725192244181666,action_error,0.04902272911144937,-0.003067779632140875
minus,independent_latents,total_neural_do_error,0.0,0.05,0.028473932549760217,0.10958366120695828,0.26917836368452086,,,,0.0022233172824797087,-0.26917836368452086,logger2_heavy,1,78,,0.061725192244181666,action_error,0.04902272911144933,-0.00306777963214073
base,independent_latents,population_causal_bias,0.0,0.05,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.027252709101716534,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger2_heavy,1,78,,0.06069462390609884,action_error,0.0477512297144732,-0.0030679687993651374
base,independent_latents,total_neural_do_error,0.0,0.05,0.02725270910171651,0.11728234494619638,0.25564382613080694,,,,0.0010659372936083766,-0.25564382613080694,logger2_heavy,1,78,,0.06069462390609884,action_error,0.04775122971447319,-0.003067968799365115
plus,independent_latents,population_causal_bias,0.0,0.05,1.7507363080627468e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,1,78,,4.440892098500626e-16,action_error,2.858302571409967e-16,1.2667929383543452e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.027072883844374618,0.12937193961136817,0.24160036758767234,,,,0.0008412284749577115,-0.24160036758767234,logger2_heavy,1,78,,0.06570962870969409,action_error,0.0464496363021607,-0.002177227685795168
plus,independent_latents,total_neural_do_error,0.0,0.05,0.02707288384437465,0.12937193961136817,0.2416003675876719,,,,0.0008412284749574894,-0.2416003675876719,logger2_heavy,1,78,,0.06570962870969471,action_error,0.04644963630216069,-0.0021772276857950413
minus,independent_latents,population_causal_bias,0.0,0.05,1.8219044506669235e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,2,78,,4.440892098500626e-16,action_error,2.990688247378966e-16,1.4518301091252047e-16
minus,independent_latents,neural_approximation_error,0.0,0.05,0.027326694961819158,0.1882959255205061,0.1882959255205061,,,,-0.002002634060177755,-0.1649627995220091,logger2_heavy,2,78,,0.058479528581606266,action_error,0.046845500159901216,-0.002347502630434818
minus,independent_latents,total_neural_do_error,0.0,0.05,0.027326694961819182,0.18829592552050656,0.18829592552050656,,,,-0.002002634060177977,-0.16496279952200865,logger2_heavy,2,78,,0.058479528581606266,action_error,0.04684550015990118,-0.0023475026304346732
base,independent_latents,population_causal_bias,0.0,0.05,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,independent_latents,neural_approximation_error,0.0,0.05,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger2_heavy,2,78,,0.058954949041496486,action_error,0.043044260948492556,-0.0008052667439280954
base,independent_latents,total_neural_do_error,0.0,0.05,0.02601778488703987,0.1739488958710247,0.1739488958710247,,,,-0.00024322067247894985,-0.14543910138697136,logger2_heavy,2,78,,0.058954949041496174,action_error,0.04304426094849254,-0.0008052667439280726
plus,independent_latents,population_causal_bias,0.0,0.05,1.7507363080627468e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger2_heavy,2,78,,4.440892098500626e-16,action_error,2.858302571409967e-16,1.2667929383543452e-16
plus,independent_latents,neural_approximation_error,0.0,0.05,0.025469395376761312,0.15520379432299602,0.15520379432299602,,,,0.00201281386265717,-0.13158418321963694,logger2_heavy,2,78,,0.057390824488692115,action_error,0.039859111286949724,0.0010484318077252975
plus,independent_latents,total_neural_do_error,0.0,0.05,0.02546939537676132,0.15520379432299602,0.15520379432299602,,,,0.00201281386265717,-0.1315841832196365,logger2_heavy,2,78,,0.057390824488692115,action_error,0.039859111286949696,0.0010484318077254241
minus,confounded,population_causal_bias,0.0,0.1,0.07555555555555522,-0.07555555555555449,0.07555555555555582,,,,-0.07555555555555538,-0.07555555555555582,logger1_heavy,0,78,,0.07555555555555582,action_error,0.07555555555555524,-0.07555555555555522
minus,confounded,neural_approximation_error,0.0,0.1,0.05057334678404871,0.1688480233481573,0.1688480233481573,,,,0.029914277230012276,-0.10245467380723738,logger1_heavy,0,78,,0.10530306160176707,action_error,0.06434856447402457,0.03770666735804805
minus,confounded,total_neural_do_error,0.0,0.1,0.053519400652219884,0.09329246779260192,0.17801022936279187,,,,-0.045641278325542656,-0.17801022936279187,logger1_heavy,0,78,,0.09907872687632767,action_error,0.06443200543522304,-0.037848888197507195
base,confounded,population_causal_bias,0.0,0.1,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.1,0.03511122719418743,0.11767769379340898,0.13072023623470397,,,,0.006344118454187031,-0.13072023623470397,logger1_heavy,0,78,,0.07861145624036278,action_error,0.04735078919614364,0.0054010841478926205
base,confounded,total_neural_do_error,0.0,0.1,0.035111227194187446,0.11767769379340898,0.13072023623470397,,,,0.006344118454187475,-0.13072023623470397,logger1_heavy,0,78,,0.07861145624036278,action_error,0.04735078919614364,0.005401084147892643
plus,confounded,population_causal_bias,0.0,0.1,0.07555555555555564,0.07555555555555671,0.07555555555555671,,,,0.0755555555555556,0.07555555555555493,logger1_heavy,0,78,,0.07555555555555582,action_error,0.07555555555555563,0.07555555555555564
plus,confounded,neural_approximation_error,0.0,0.1,0.039733512229540524,0.07530865570930256,0.1805828474436093,,,,-0.022042809896400284,-0.1805828474436093,logger1_heavy,0,78,,0.07855988216235867,action_error,0.05301458212554733,-0.026808947644844202
plus,confounded,total_neural_do_error,0.0,0.1,0.05754276072725419,0.15086421126485927,0.15086421126485927,,,,0.053512745659155536,-0.10502729188805393,logger1_heavy,0,78,,0.10315262689319125,action_error,0.06684353392006616,0.04874660791071143
minus,confounded,population_causal_bias,0.0,0.1,0.07555555555555522,-0.07555555555555449,0.07555555555555582,,,,-0.07555555555555538,-0.07555555555555582,logger1_heavy,1,78,,0.07555555555555582,action_error,0.07555555555555524,-0.07555555555555522
minus,confounded,neural_approximation_error,0.0,0.1,0.05033577916512437,0.17174447662448644,0.17174447662448644,,,,0.026059922672948543,-0.07125932529038659,logger1_heavy,1,78,,0.11915069277497609,action_error,0.06703386536608491,0.03530031707915366
minus,confounded,total_neural_do_error,0.0,0.1,0.06097609533563878,0.09618892106893107,0.14681488084594152,,,,-0.04949563288260683,-0.14681488084594152,logger1_heavy,1,78,,0.10220140625962916,action_error,0.06977041597139563,-0.04025523847640159
base,confounded,population_causal_bias,0.0,0.1,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.1,0.03793450113087154,0.13969499520772333,0.13969499520772333,,,,0.00028376278575259484,-0.12604954930046386,logger1_heavy,1,78,,0.08765112412238575,action_error,0.05170707272707078,0.007813839386446909
base,confounded,total_neural_do_error,0.0,0.1,0.03793450113087154,0.13969499520772333,0.13969499520772333,,,,0.00028376278575259484,-0.12604954930046386,logger1_heavy,1,78,,0.08765112412238575,action_error,0.05170707272707079,0.007813839386446931
plus,confounded,population_causal_bias,0.0,0.1,0.07555555555555564,0.07555555555555671,0.07555555555555671,,,,0.0755555555555556,0.07555555555555493,logger1_heavy,1,78,,0.07555555555555582,action_error,0.07555555555555563,0.07555555555555564
plus,confounded,neural_approximation_error,0.0,0.1,0.04236972765883965,0.1041930289415891,0.1862817409301294,,,,-0.022204473453652618,-0.1862817409301294,logger1_heavy,1,78,,0.08651510374844545,action_error,0.05528081328836283,-0.020740534562111362
plus,confounded,total_neural_do_error,0.0,0.1,0.06303450210699339,0.17974858449714448,0.17974858449714448,,,,0.05335108210190298,-0.11072618537457402,logger1_heavy,1,78,,0.11383361165152343,action_error,0.07503655822605688,0.05481502099344427
minus,confounded,population_causal_bias,0.0,0.1,0.07555555555555522,-0.07555555555555449,0.07555555555555582,,,,-0.07555555555555538,-0.07555555555555582,logger1_heavy,2,78,,0.07555555555555582,action_error,0.07555555555555524,-0.07555555555555522
minus,confounded,neural_approximation_error,0.0,0.1,0.05212125502263581,0.20135639179914389,0.20135639179914389,,,,0.03616776074782546,-0.1261660255804391,logger1_heavy,2,78,,0.10511088577385957,action_error,0.06783834943197038,0.04233110185569324
minus,confounded,total_neural_do_error,0.0,0.1,0.0516784883808313,0.12580083624358895,0.20172158113599448,,,,-0.03938779480772947,-0.20172158113599448,logger1_heavy,2,78,,0.09859781029875704,action_error,0.06256183975069239,-0.033224453699861996
base,confounded,population_causal_bias,0.0,0.1,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,2,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.1,0.03734223756575925,0.16922503222488317,0.16922503222488317,,,,-0.005383997259605977,-0.16748948971682243,logger1_heavy,2,78,,0.0791572324486017,action_error,0.05316126684982057,0.0028742577048577874
base,confounded,total_neural_do_error,0.0,0.1,0.03734223756575924,0.16922503222488317,0.16922503222488317,,,,-0.005383997259606199,-0.16748948971682243,logger1_heavy,2,78,,0.0791572324486017,action_error,0.05316126684982056,0.00287425770485781
plus,confounded,population_causal_bias,0.0,0.1,0.07555555555555564,0.07555555555555671,0.07555555555555671,,,,0.0755555555555556,0.07555555555555493,logger1_heavy,2,78,,0.07555555555555582,action_error,0.07555555555555563,0.07555555555555564
plus,confounded,neural_approximation_error,0.0,0.1,0.05273000813672614,0.14062166621292738,0.19891619008046524,,,,-0.03637050176426104,-0.19891619008046524,logger1_heavy,2,78,,0.09278616465334709,action_error,0.06420176172923855,-0.03385011757085694
plus,confounded,total_neural_do_error,0.0,0.1,0.053237585641892606,0.21617722176848275,0.21617722176848275,,,,0.039185053791294555,-0.12336063452490986,logger1_heavy,2,78,,0.11539414974288803,action_error,0.0686686195221123,0.04170543798469869
minus,confounded,population_causal_bias,0.0,0.1,0.06000000000000004,-0.05999999999999961,0.0600000000000005,,,,-0.06000000000000005,-0.0600000000000005,logger12_balanced,0,78,,0.0600000000000005,action_error,0.060000000000000026,-0.06000000000000004
minus,confounded,neural_approximation_error,0.0,0.1,0.042500321160320965,0.14027160959967722,0.14027160959967722,,,,0.02631166063589463,-0.0999792736056202,logger12_balanced,0,78,,0.09110359292415719,action_error,0.054913414493842176,0.028877221347505005
