condition,kappa,lambda_reward,mixture,model_seed,n_anchors,neural_calibration_mae,neural_gap_absolute_error,nn_do_rank_error,nn_obs_rank_error,nn_regret,obs_do_rank_error,obs_regret,random_action_regret
independent_latents,0.0,0.2,logger2_heavy,2,78,0.026271291741873454,0.006223436320094385,0.44871794871794873,0.44871794871794873,0.002072192888340616,0.0,0.0,0.0030295417686908876
confounded,0.3,0.0,logger1_heavy,0,78,0.023605701252627738,0.007097296622855308,0.3717948717948718,0.3974358974358974,0.0014924679035431322,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger1_heavy,1,78,0.02777358083907574,0.005946516325942761,0.2948717948717949,0.3076923076923077,0.0012256508537239203,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger1_heavy,2,78,0.02120605326778453,0.005697795545639091,0.3076923076923077,0.3076923076923077,0.0008858873687426957,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger12_balanced,0,78,0.025108806411191818,0.008012853662159421,0.48717948717948717,0.5128205128205128,0.0020085176823516414,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger12_balanced,1,78,0.02841425436634264,0.006216308196417535,0.358974358974359,0.3717948717948718,0.0014476245461489971,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger12_balanced,2,78,0.01941228737624528,0.0054409411371357614,0.2692307692307692,0.28205128205128205,0.0008727992333964798,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger2_heavy,0,78,0.023334524856544792,0.006270157534406912,0.3717948717948718,0.3974358974358974,0.0015488448931006854,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger2_heavy,1,78,0.027563547881917873,0.005923114569319731,0.3333333333333333,0.34615384615384615,0.0013748124127019312,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
confounded,0.3,0.0,logger2_heavy,2,78,0.0200328740676118,0.004713708751257737,0.38461538461538464,0.3974358974358974,0.0015833050836798672,0.02564102564102564,6.799316769771735e-06,0.0027819140424818647
independent_latents,0.3,0.0,logger1_heavy,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger1_heavy,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger1_heavy,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger12_balanced,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger12_balanced,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger12_balanced,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger2_heavy,0,78,0.022935027282814796,0.00529076050073173,0.5128205128205128,0.5128205128205128,0.0021253883642395974,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger2_heavy,1,78,0.023637409261389773,0.005206002228433719,0.48717948717948717,0.48717948717948717,0.0018446075268282386,0.0,0.0,0.0027819140424818647
independent_latents,0.3,0.0,logger2_heavy,2,78,0.028415382068410145,0.005308194789167944,0.44871794871794873,0.44871794871794873,0.0017444976303937943,0.0,0.0,0.0027819140424818647
