absolute_gap_error,aggregate_margin_ratio,condition,kappa,lambda_reward,matched_aggregate_gap_ratio,mean_margin_do,mean_margin_on_do_pair,mean_matched_gap_difference,median_absolute_gap_error,mixture,model_seed,n_anchors,n_matching_top_sets,n_non_tied_do_pairs,overconfident_fraction,p90_absolute_gap_error,pearson_true_margin,sign_preservation_rate,signed_gap_error,source,spearman_true_margin,underconfident_fraction
0.024123840977674085,-5.565142191080982,confounded,0.0,0.05,17.851263323683987,0.0029923784019148868,-0.01665301129617602,0.033321193124780546,0.0238627410853417,logger12_balanced,2,78,4,78,1.0,0.035116039437407306,-0.10821225510467461,0.07692307692307693,-0.019645389698090907,neural,-0.09773770533264203,0.0
0.022507122507122317,-5.378979034237076,confounded,0.0,0.05,,0.0029923784019148868,-0.01609594068640402,,0.022222222222222143,logger2_heavy,0,78,,78,,0.02222222222222243,-0.05650292424300012,0.0641025641025641,-0.019088319088318907,observational,0.7196980234954918,
0.01988003907881013,-4.2597703689531725,confounded,0.0,0.05,7.320612321960455,0.0029923784019148868,-0.012746844849172483,0.017202094151218317,0.020829802540486053,logger2_heavy,0,78,7,78,1.0,0.028465491204558612,0.017607182958887465,0.1282051282051282,-0.01573922325108737,neural,0.10304884988429291,0.0
0.022507122507122317,-5.378979034237076,confounded,0.0,0.05,,0.0029923784019148868,-0.01609594068640402,,0.022222222222222143,logger2_heavy,1,78,,78,,0.02222222222222243,-0.05650292424300012,0.0641025641025641,-0.019088319088318907,observational,0.7196980234954918,
0.020417543404654244,-4.514701313126282,confounded,0.0,0.05,10.256956671280753,0.0029923784019148868,-0.013509694700495864,0.019380715817906013,0.02119883308924364,logger2_heavy,1,78,6,78,1.0,0.029345950120989662,-0.017065974172232937,0.11538461538461539,-0.01650207310241075,neural,0.11430341810088644,0.0
0.022507122507122317,-5.378979034237076,confounded,0.0,0.05,,0.0029923784019148868,-0.01609594068640402,,0.022222222222222143,logger2_heavy,2,78,,78,,0.02222222222222243,-0.05650292424300012,0.0641025641025641,-0.019088319088318907,observational,0.7196980234954918,
0.01767216028551819,-3.770960215500023,confounded,0.0,0.05,14.41990391334707,0.0029923784019148868,-0.011284139903342575,0.02653612381596071,0.016572177464792892,logger2_heavy,2,78,4,78,1.0,0.02874486950145658,-0.11070621939747277,0.10256410256410256,-0.01427651830525746,neural,-0.0994069221917323,0.0
2.4054832200211723e-16,1.000000000000065,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150815,,2.220446049250313e-16,logger1_heavy,0,78,,78,,4.440892098500626e-16,0.9999999999999996,1.0,1.9500071073544416e-16,observational,0.9999999999999999,
0.005481594835794472,0.5432359343222832,independent_latents,0.0,0.05,1.9310783190128868,0.0029923784019148868,0.0016255674770100541,0.0031379935128842723,0.004105393750046815,logger1_heavy,0,78,42,78,0.8095238095238095,0.012445538079450324,0.2889439805789308,0.5897435897435898,-0.0013668109249048326,neural,0.24634858812074,0.19047619047619047
2.4054832200211723e-16,1.000000000000065,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150815,,2.220446049250313e-16,logger1_heavy,1,78,,78,,4.440892098500626e-16,0.9999999999999996,1.0,1.9500071073544416e-16,observational,0.9999999999999999,
0.00524900489556412,1.1017243330170126,independent_latents,0.0,0.05,2.15420171122125,0.0029923784019148868,0.0032967760989841923,0.003593165292824776,0.004278307667950232,logger1_heavy,1,78,52,78,0.75,0.009734336689076039,0.13760050023513426,0.6794871794871795,0.00030439769706930585,neural,0.17148674110699424,0.25
2.4054832200211723e-16,1.000000000000065,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150815,,2.220446049250313e-16,logger1_heavy,2,78,,78,,4.440892098500626e-16,0.9999999999999996,1.0,1.9500071073544416e-16,observational,0.9999999999999999,
0.006223436320094385,0.47087971989686855,independent_latents,0.0,0.05,1.8546428434472337,0.0029923784019148868,0.001409050303719121,0.002939039545559599,0.00423276103225434,logger1_heavy,2,78,43,78,0.6744186046511628,0.014408957238089925,0.22655624374171834,0.6282051282051282,-0.0015833280981957655,neural,0.22356124887770454,0.32558139534883723
2.3200814488961606e-16,1.0000000000000395,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150047,,0.0,logger12_balanced,0,78,,78,,4.440892098500626e-16,0.9999999999999999,1.0,1.1813911672293332e-16,observational,0.9999999999999999,
0.005481594835794472,0.5432359343222832,independent_latents,0.0,0.05,1.9310783190128868,0.0029923784019148868,0.0016255674770100541,0.0031379935128842723,0.004105393750046815,logger12_balanced,0,78,42,78,0.8095238095238095,0.012445538079450324,0.2889439805789308,0.5897435897435898,-0.0013668109249048326,neural,0.24634858812074,0.19047619047619047
2.3200814488961606e-16,1.0000000000000395,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150047,,0.0,logger12_balanced,1,78,,78,,4.440892098500626e-16,0.9999999999999999,1.0,1.1813911672293332e-16,observational,0.9999999999999999,
0.00524900489556412,1.1017243330170126,independent_latents,0.0,0.05,2.15420171122125,0.0029923784019148868,0.0032967760989841923,0.003593165292824776,0.004278307667950232,logger12_balanced,1,78,52,78,0.75,0.009734336689076039,0.13760050023513426,0.6794871794871795,0.00030439769706930585,neural,0.17148674110699424,0.25
2.3200814488961606e-16,1.0000000000000395,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150047,,0.0,logger12_balanced,2,78,,78,,4.440892098500626e-16,0.9999999999999999,1.0,1.1813911672293332e-16,observational,0.9999999999999999,
0.006223436320094385,0.47087971989686855,independent_latents,0.0,0.05,1.8546428434472337,0.0029923784019148868,0.001409050303719121,0.002939039545559599,0.00423276103225434,logger12_balanced,2,78,43,78,0.6744186046511628,0.014408957238089925,0.22655624374171834,0.6282051282051282,-0.0015833280981957655,neural,0.22356124887770454,0.32558139534883723
2.4197168485420076e-16,1.000000000000038,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150004,,2.220446049250313e-16,logger2_heavy,0,78,,78,,4.440892098500626e-16,1.0,1.0,1.138690281666827e-16,observational,0.9999999999999999,
0.005481594835794472,0.5432359343222832,independent_latents,0.0,0.05,1.9310783190128868,0.0029923784019148868,0.0016255674770100541,0.0031379935128842723,0.004105393750046815,logger2_heavy,0,78,42,78,0.8095238095238095,0.012445538079450324,0.2889439805789308,0.5897435897435898,-0.0013668109249048326,neural,0.24634858812074,0.19047619047619047
2.4197168485420076e-16,1.000000000000038,independent_latents,0.0,0.05,,0.0029923784019148868,0.0029923784019150004,,2.220446049250313e-16,logger2_heavy,1,78,,78,,4.440892098500626e-16,1.0,1.0,1.138690281666827e-16,observational,0.9999999999999999,
