comparison,condition,do_base_top_fraction,do_minus_top_fraction,do_plus_top_fraction,kappa,lambda_reward,mixture,model_seed,n_anchors,nn_base_top_fraction,nn_minus_top_fraction,nn_plus_top_fraction,obs_base_top_fraction,obs_minus_top_fraction,obs_plus_top_fraction,strict_disjoint_flip,top_set_disagreement
neural_vs_observational,confounded,,,,0.3,0.1,logger1_heavy,0,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger1_heavy,0,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger1_heavy,1,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger1_heavy,1,78,0.02564102564102564,0.0,0.9743589743589743,0.0,0.0,1.0,0.02564102564102564,0.02564102564102564
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger1_heavy,1,78,0.02564102564102564,0.0,0.9743589743589743,,,,0.9615384615384616,0.9615384615384616
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger1_heavy,2,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger1_heavy,2,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger1_heavy,2,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,0,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger12_balanced,0,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,0,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,1,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger12_balanced,1,78,0.02564102564102564,0.0,0.9743589743589743,0.0,0.0,1.0,0.02564102564102564,0.02564102564102564
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,1,78,0.02564102564102564,0.0,0.9743589743589743,,,,0.9615384615384616,0.9615384615384616
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,2,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger12_balanced,2,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger12_balanced,2,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,0,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger2_heavy,0,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,0,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,1,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger2_heavy,1,78,0.01282051282051282,0.01282051282051282,0.9743589743589743,0.0,0.0,1.0,0.02564102564102564,0.02564102564102564
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,1,78,0.01282051282051282,0.01282051282051282,0.9743589743589743,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,2,78,,,,0.0,0.0,1.0,0.9487179487179487,0.9487179487179487
neural_vs_observational,confounded,,,,0.3,0.1,logger2_heavy,2,78,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
neural_vs_do,confounded,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger2_heavy,2,78,0.0,0.0,1.0,,,,0.9487179487179487,0.9487179487179487
observational_vs_do,independent_latents,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.3,0.1,logger1_heavy,0,78,,,,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.0,0.0
neural_vs_observational,independent_latents,,,,0.3,0.1,logger1_heavy,0,78,0.20512820512820512,0.47435897435897434,0.32051282051282054,0.07692307692307693,0.8717948717948718,0.05128205128205128,0.5128205128205128,0.5128205128205128
