scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,5,decision_regret,decision_regret_best,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1100,,,,,,,
primary_common_horizon,all,0.0,5,decision_regret,decision_regret_worst,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1101,,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger1_heavy,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.7083333333333334,0.9583333333333334,anchor_id,100,1200,minus,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1201,base,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger1_heavy,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.01979166666666667,0.2916666666666667,anchor_id,100,1202,plus,,,,,,
primary_common_horizon,all,0.0,5,decision_regret,decision_regret_best,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1110,,,,,,,
primary_common_horizon,all,0.0,5,decision_regret,decision_regret_worst,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1111,,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger12_balanced,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.6447916666666667,0.9583333333333334,anchor_id,100,1210,minus,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1211,base,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger12_balanced,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.27187499999999964,anchor_id,100,1212,plus,,,,,,
primary_common_horizon,all,0.0,5,decision_regret,decision_regret_best,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1120,,,,,,,
primary_common_horizon,all,0.0,5,decision_regret,decision_regret_worst,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1121,,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger2_heavy,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.980208333333333,anchor_id,100,1220,minus,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1221,base,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,logger2_heavy,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.2916666666666667,anchor_id,100,1222,plus,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,do,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.9166666666666666,anchor_id,100,1300,minus,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,do,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,1301,base,,,,,,
primary_common_horizon,all,0.0,5,top_action,top_action_fraction,do,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.3333333333333333,anchor_id,100,1302,plus,,,,,,
primary_common_horizon,all,0.0,5,decision_scale,balanced_error_over_action_range,logger12_balanced,24,1.9792864763146673e-14,,,,,,,,7.766937230060583e-15,2.973473787339735e-14,anchor_id,100,1400,,7.401486830834377e-16,0.03739472238811825,True,100,,
primary_common_horizon,all,0.0,5,decision_scale,balanced_error_over_top_second_margin,logger12_balanced,24,4.706918747795631e-14,,,,,,,,2.6008666096898967e-14,7.570958459958327e-14,anchor_id,100,1401,,7.401486830834377e-16,0.015724696404204302,True,100,24,
secondary_per_horizon,all,0.0,5,decision_regret,decision_regret_best,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101100,,,,,,,
secondary_per_horizon,all,0.0,5,decision_regret,decision_regret_worst,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101101,,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger1_heavy,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.7083333333333334,0.9583333333333334,anchor_id,100,101200,minus,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101201,base,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger1_heavy,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.2916666666666667,anchor_id,100,101202,plus,,,,,,
secondary_per_horizon,all,0.0,5,decision_regret,decision_regret_best,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101110,,,,,,,
secondary_per_horizon,all,0.0,5,decision_regret,decision_regret_worst,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101111,,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger12_balanced,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.7083333333333334,0.9583333333333334,anchor_id,100,101210,minus,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101211,base,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger12_balanced,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.35520833333333296,anchor_id,100,101212,plus,,,,,,
secondary_per_horizon,all,0.0,5,decision_regret,decision_regret_best,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101120,,,,,,,
secondary_per_horizon,all,0.0,5,decision_regret,decision_regret_worst,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101121,,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger2_heavy,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.625,0.9583333333333334,anchor_id,100,101220,minus,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101221,base,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,logger2_heavy,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.31354166666666633,anchor_id,100,101222,plus,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,do,24,0.8333333333333334,0.38069349381344053,1.0,0.0,1.0,1.0,1.0,1.0,0.7083333333333334,0.980208333333333,anchor_id,100,101300,minus,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,do,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101301,base,,,,,,
secondary_per_horizon,all,0.0,5,top_action,top_action_fraction,do,24,0.16666666666666666,0.38069349381344053,0.0,0.0,0.0,0.0,1.0,1.0,0.041666666666666664,0.31354166666666633,anchor_id,100,101302,plus,,,,,,
secondary_per_horizon,all,0.0,5,decision_scale,balanced_error_over_action_range,logger12_balanced,24,1.9792864763146673e-14,,,,,,,,7.68182711062518e-15,3.1745366481515874e-14,anchor_id,100,101400,,7.401486830834377e-16,0.03739472238811825,True,100,,
secondary_per_horizon,all,0.0,5,decision_scale,balanced_error_over_top_second_margin,logger12_balanced,24,4.706918747795631e-14,,,,,,,,2.5984424311226155e-14,8.010230703174884e-14,anchor_id,100,101401,,7.401486830834377e-16,0.015724696404204302,True,100,24,
primary_common_horizon,all,0.3,1,decision_regret,decision_regret_best,logger1_heavy,24,2.7318033025784208e-06,9.266038285485958e-06,0.0,0.0,0.0,0.0,0.0,3.4298527187059946e-05,0.0,6.832668438854632e-06,anchor_id,100,10100,,,,,,,
