setting,lambda_reward,condition,seed,method,calibration_budget,do_mae,top_set_disagreement,mean_regret,selected_rank,calibration_replicates
M2_diverse,0.05,confounded,1,pooled_rank0,64,0.03742380219750466,0.6025974025974026,0.0020028659052633195,0.0,5
M2_diverse,0.05,confounded,2,MSCSC_correct_source,0,0.034582894974746925,0.935064935064935,0.005712240771753622,0.0,5
M2_diverse,0.05,confounded,2,MSCSC_correct_source,16,0.04685520459582325,0.4675324675324675,0.0015478602162114416,0.2,5
M2_diverse,0.05,confounded,2,MSCSC_correct_source,64,0.03290567427045622,0.2649350649350649,0.0008487001948161109,0.0,5
M2_diverse,0.05,confounded,2,MSCSC_source_shuffle,0,0.034555166853261036,0.935064935064935,0.005746490186160407,0.0,5
M2_diverse,0.05,confounded,2,MSCSC_source_shuffle,16,0.04190447489323211,0.5142857142857142,0.0016055988216406524,0.0,5
M2_diverse,0.05,confounded,2,MSCSC_source_shuffle,64,0.03285388639269513,0.2753246753246753,0.000850397245773777,0.0,5
M2_diverse,0.05,confounded,2,pooled_rank0,0,0.03510653477410491,0.909090909090909,0.005585454517751304,0.0,5
M2_diverse,0.05,confounded,2,pooled_rank0,16,0.041895579038898956,0.46493506493506487,0.00146747500451215,0.0,5
M2_diverse,0.05,confounded,2,pooled_rank0,64,0.03308615848917842,0.2363636363636364,0.0007851922661320131,0.0,5
M5_diverse,0.0,confounded,0,MSCSC_correct_source,0,0.025087374002234243,0.42857142857142855,0.0019031045458938697,0.0,5
M5_diverse,0.0,confounded,0,MSCSC_correct_source,16,0.035724224040321544,0.6337662337662338,0.001974116960716028,0.4,5
M5_diverse,0.0,confounded,0,MSCSC_correct_source,64,0.029184397285280023,0.33246753246753247,0.0013898940536476766,0.0,5
M5_diverse,0.0,confounded,0,MSCSC_source_shuffle,0,0.02610523637349122,0.38961038961038963,0.0017525992691959625,0.0,5
M5_diverse,0.0,confounded,0,MSCSC_source_shuffle,16,0.0358533022785841,0.48571428571428577,0.001596538947282161,0.4,5
M5_diverse,0.0,confounded,0,MSCSC_source_shuffle,64,0.030407116335225786,0.35064935064935066,0.001522217889633931,0.2,5
M5_diverse,0.0,confounded,0,pooled_rank0,0,0.025901827290725394,0.4155844155844156,0.0018727769703784894,0.0,5
M5_diverse,0.0,confounded,0,pooled_rank0,16,0.031331067549138614,0.4597402597402597,0.0013885376746025151,0.0,5
M5_diverse,0.0,confounded,0,pooled_rank0,64,0.02958154909096159,0.3220779220779221,0.0013480413539617606,0.0,5
M5_diverse,0.0,confounded,1,MSCSC_correct_source,0,0.027231823404187235,0.49350649350649356,0.0023602687082665236,0.0,5
M5_diverse,0.0,confounded,1,MSCSC_correct_source,16,0.03258638593846923,0.7688311688311689,0.0033293964419952803,0.2,5
M5_diverse,0.0,confounded,1,MSCSC_correct_source,64,0.029161208304900554,0.6935064935064935,0.002785272610050903,0.4,5
M5_diverse,0.0,confounded,1,MSCSC_source_shuffle,0,0.027324833125821256,0.5194805194805194,0.0022422804129414303,0.0,5
M5_diverse,0.0,confounded,1,MSCSC_source_shuffle,16,0.03153842019803345,0.7012987012987013,0.0031865111009722114,0.2,5
M5_diverse,0.0,confounded,1,MSCSC_source_shuffle,64,0.03327119191157649,0.7298701298701299,0.0029103615904136682,0.4,5
M5_diverse,0.0,confounded,1,pooled_rank0,0,0.02564816427405193,0.5324675324675324,0.002668176141838351,0.0,5
M5_diverse,0.0,confounded,1,pooled_rank0,16,0.029298631739434155,0.7064935064935065,0.0035832822345973022,0.0,5
M5_diverse,0.0,confounded,1,pooled_rank0,64,0.027964137580661446,0.8077922077922077,0.003076878539810419,0.0,5
M5_diverse,0.0,confounded,2,MSCSC_correct_source,0,0.029599878362663045,0.4025974025974026,0.0017284424983302065,0.0,5
M5_diverse,0.0,confounded,2,MSCSC_correct_source,16,0.04280147279130208,0.36363636363636365,0.0011723688562877443,0.2,5
M5_diverse,0.0,confounded,2,MSCSC_correct_source,64,0.03172400466520774,0.37922077922077924,0.0013038061047666249,0.2,5
M5_diverse,0.0,confounded,2,MSCSC_source_shuffle,0,0.028931054299793785,0.4545454545454545,0.0019264824049925835,0.0,5
M5_diverse,0.0,confounded,2,MSCSC_source_shuffle,16,0.0452460777698937,0.387012987012987,0.0012365169129563845,0.2,5
M5_diverse,0.0,confounded,2,MSCSC_source_shuffle,64,0.030433980516896997,0.37402597402597404,0.0012898674851879936,0.0,5
M5_diverse,0.0,confounded,2,pooled_rank0,0,0.028877196296992858,0.4545454545454545,0.0016822143039400817,0.0,5
M5_diverse,0.0,confounded,2,pooled_rank0,16,0.03929890322369379,0.34025974025974026,0.0009969174875211575,0.0,5
M5_diverse,0.0,confounded,2,pooled_rank0,64,0.030569788335159755,0.3246753246753247,0.0011162683692915118,0.0,5
M5_diverse,0.01,confounded,0,MSCSC_correct_source,0,0.02583187633020235,0.6103896103896104,0.003012065466114991,0.0,5
M5_diverse,0.01,confounded,0,MSCSC_correct_source,16,0.03290239486327441,0.5532467532467532,0.0018379036234161396,0.2,5
M5_diverse,0.01,confounded,0,MSCSC_correct_source,64,0.029312117971412706,0.322077922077922,0.001191228220624843,0.0,5
M5_diverse,0.01,confounded,0,MSCSC_source_shuffle,0,0.026486996982830864,0.6233766233766234,0.0030389109101399444,0.0,5
M5_diverse,0.01,confounded,0,MSCSC_source_shuffle,16,0.03419007774711957,0.5558441558441558,0.0018468540281192697,0.2,5
M5_diverse,0.01,confounded,0,MSCSC_source_shuffle,64,0.030152009569643683,0.3194805194805195,0.00118784688839696,0.0,5
M5_diverse,0.01,confounded,0,pooled_rank0,0,0.0261987737767213,0.5714285714285714,0.002839999329990601,0.0,5
M5_diverse,0.01,confounded,0,pooled_rank0,16,0.031057705308264016,0.48571428571428577,0.0015309211728025166,0.0,5
M5_diverse,0.01,confounded,0,pooled_rank0,64,0.028968407037146558,0.3142857142857143,0.0013108780267484493,0.0,5
M5_diverse,0.01,confounded,1,MSCSC_correct_source,0,0.027330742616374953,0.7142857142857143,0.003629416487844184,0.0,5
M5_diverse,0.01,confounded,1,MSCSC_correct_source,16,0.03091842717185812,0.7948051948051947,0.003646582037705194,0.0,5
M5_diverse,0.01,confounded,1,MSCSC_correct_source,64,0.031454376610292586,0.6831168831168831,0.0027317387535444144,0.6,5
M5_diverse,0.01,confounded,1,MSCSC_source_shuffle,0,0.02721973582671101,0.6103896103896104,0.0030144104491876193,0.0,5
M5_diverse,0.01,confounded,1,MSCSC_source_shuffle,16,0.03671631516551625,0.7116883116883116,0.0031055195662731193,0.2,5
M5_diverse,0.01,confounded,1,MSCSC_source_shuffle,64,0.033133010586345324,0.6051948051948053,0.0025889063538808723,0.6,5
M5_diverse,0.01,confounded,1,pooled_rank0,0,0.027651072483633566,0.6493506493506493,0.0036364002698642183,0.0,5
M5_diverse,0.01,confounded,1,pooled_rank0,16,0.03176622463676336,0.7142857142857142,0.0035383697042659355,0.0,5
M5_diverse,0.01,confounded,1,pooled_rank0,64,0.030094986129437007,0.7402597402597403,0.002775670245850926,0.0,5
M5_diverse,0.01,confounded,2,MSCSC_correct_source,0,0.0290580449194822,0.5584415584415584,0.0027218437463614707,0.0,5
M5_diverse,0.01,confounded,2,MSCSC_correct_source,16,0.04038437628579733,0.2077922077922078,0.0006162473189744336,0.2,5
M5_diverse,0.01,confounded,2,MSCSC_correct_source,64,0.029879726304204067,0.34285714285714286,0.0010732847449435436,0.0,5
M5_diverse,0.01,confounded,2,MSCSC_source_shuffle,0,0.02908908081518229,0.5454545454545454,0.0026969008437260737,0.0,5
M5_diverse,0.01,confounded,2,MSCSC_source_shuffle,16,0.04279160171259346,0.4597402597402597,0.0017147300868923742,0.4,5
M5_diverse,0.01,confounded,2,MSCSC_source_shuffle,64,0.03097219622932314,0.39480519480519477,0.0013980150018293766,0.4,5
M5_diverse,0.01,confounded,2,pooled_rank0,0,0.02925782986540625,0.5974025974025974,0.0029081627612716206,0.0,5
M5_diverse,0.01,confounded,2,pooled_rank0,16,0.03838867561016866,0.3948051948051948,0.0011838128996222556,0.0,5
M5_diverse,0.01,confounded,2,pooled_rank0,64,0.029878117790272045,0.3220779220779221,0.0010073241817263085,0.0,5
M5_diverse,0.05,confounded,0,MSCSC_correct_source,0,0.03447926547694542,0.8961038961038961,0.005290445164727237,0.0,5
M5_diverse,0.05,confounded,0,MSCSC_correct_source,16,0.04038089806527724,0.5064935064935066,0.001805270409153389,0.2,5
M5_diverse,0.05,confounded,0,MSCSC_correct_source,64,0.03530136221347297,0.33766233766233766,0.0011456782655673385,0.0,5
M5_diverse,0.05,confounded,0,MSCSC_source_shuffle,0,0.03423126649525878,0.8961038961038961,0.005307893587001603,0.0,5
M5_diverse,0.05,confounded,0,MSCSC_source_shuffle,16,0.043372693491514167,0.48311688311688317,0.0017652484774484827,0.4,5
M5_diverse,0.05,confounded,0,MSCSC_source_shuffle,64,0.034986515081493585,0.34545454545454546,0.0011852049737175825,0.0,5
M5_diverse,0.05,confounded,0,pooled_rank0,0,0.03194625119216646,0.909090909090909,0.005314588117086466,0.0,5
M5_diverse,0.05,confounded,0,pooled_rank0,16,0.03598423824000606,0.5116883116883117,0.0018037805001538832,0.0,5
M5_diverse,0.05,confounded,0,pooled_rank0,64,0.032408061411508635,0.3688311688311688,0.0012317324959371131,0.0,5
M5_diverse,0.05,confounded,1,MSCSC_correct_source,0,0.03842105908947369,0.8831168831168832,0.0054337860586185375,0.0,5
M5_diverse,0.05,confounded,1,MSCSC_correct_source,16,0.0467926671450717,0.7246753246753247,0.0034329419918151063,0.2,5
