setting,lambda_reward,condition,method,calibration_budget,do_mae_mean,do_mae_sd,top_set_disagreement_mean,top_set_disagreement_sd,mean_regret_mean,mean_regret_sd,selected_rank_mean,selected_rank_sd,seed_count
M5_diverse,0.0,confounded,MSCSC_correct_source,64,0.030023203418462773,0.001472982719823859,0.4683982683982684,0.19634599888722967,0.0018263242561550683,0.0008315883854499684,0.20000000000000004,0.2,3
M5_diverse,0.0,confounded,MSCSC_source_shuffle,0,0.02745370793303542,0.0014173102254284686,0.45454545454545453,0.0649350649350649,0.001973787362376659,0.0002482442846870785,0.0,0.0,3
M5_diverse,0.0,confounded,MSCSC_source_shuffle,16,0.037545933415503746,0.007008831511107744,0.5246753246753247,0.160724451993818,0.0020065223204035858,0.0010376338988298773,0.26666666666666666,0.11547005383792516,3
M5_diverse,0.0,confounded,MSCSC_source_shuffle,64,0.03137076292123309,0.0016458745947269026,0.48484848484848486,0.21251663823559297,0.0019074823217451978,0.0008762544141145894,0.20000000000000004,0.2,3
M5_diverse,0.0,confounded,pooled_rank0,0,0.02680906262059006,0.0017955413972143561,0.4675324675324675,0.05951397006436153,0.002074389138718974,0.0005229873672137283,0.0,0.0,3
M5_diverse,0.0,confounded,pooled_rank0,16,0.03330953417075552,0.005285556268678184,0.5021645021645021,0.18676631158052945,0.001989579132240325,0.0013940081694807601,0.0,0.0,3
M5_diverse,0.0,confounded,pooled_rank0,64,0.029371825002260932,0.0013154246875592662,0.4848484848484848,0.279680483349531,0.0018470627543545638,0.0010713378686124375,0.0,0.0,3
M5_diverse,0.01,confounded,MSCSC_correct_source,0,0.027406887955353166,0.00161443164181704,0.6277056277056277,0.07935196008581544,0.0031211085667735487,0.0004635082185048462,0.0,0.0,3
M5_diverse,0.01,confounded,MSCSC_correct_source,16,0.034735066106976624,0.004991999706784985,0.5186147186147186,0.29503490487998724,0.0020335776600319227,0.001524614171959711,0.13333333333333333,0.11547005383792516,3
M5_diverse,0.01,confounded,MSCSC_correct_source,64,0.030215406961969785,0.0011098779874213153,0.44935064935064933,0.20271391920878298,0.0016654172397042668,0.0009253425549615149,0.19999999999999998,0.34641016151377546,3
M5_diverse,0.01,confounded,MSCSC_source_shuffle,0,0.027598604541574718,0.001341777252368302,0.593073593073593,0.04174740589174441,0.0029167407343512128,0.00019078063654174614,0.0,0.0,3
M5_diverse,0.01,confounded,MSCSC_source_shuffle,16,0.037899331541743096,0.0044211083951845274,0.5757575757575758,0.12714898127625993,0.002222367893761588,0.000767679517413529,0.26666666666666666,0.11547005383792516,3
M5_diverse,0.01,confounded,MSCSC_source_shuffle,64,0.031419072128437385,0.0015399238024333948,0.43982683982683984,0.14808232391358328,0.0017249227480357363,0.0007555748886462598,0.3333333333333333,0.30550504633038933,3
M5_diverse,0.01,confounded,pooled_rank0,0,0.02770255870858704,0.0015301778203692812,0.6060606060606061,0.03967598004290772,0.0031281874537088133,0.0004414428198752996,0.0,0.0,3
M5_diverse,0.01,confounded,pooled_rank0,16,0.033737535185065344,0.004043554173031071,0.5316017316017315,0.16460921556656716,0.002084367925563569,0.0012711065721172949,0.0,0.0,3
M5_diverse,0.01,confounded,pooled_rank0,64,0.02964717031895187,0.0005977438110749287,0.45887445887445893,0.24371794570932753,0.001697957484775228,0.0009455870297048205,0.0,0.0,3
M5_diverse,0.05,confounded,MSCSC_correct_source,0,0.036374404990467804,0.001975259912809666,0.9047619047619048,0.02703462336969,0.005457947891777104,0.00018079859151914971,0.0,0.0,3
M5_diverse,0.05,confounded,MSCSC_correct_source,16,0.044222835424603146,0.0033898945780748988,0.561904761904762,0.1433364646689169,0.0022986165171616267,0.0009851241579617396,0.20000000000000004,3.3993498887762956e-17,3
M5_diverse,0.05,confounded,MSCSC_correct_source,64,0.03817735923552848,0.005511523194054833,0.3904761904761905,0.20136711587026854,0.001341130715617953,0.0006707013484817398,0.13333333333333333,0.23094010767585035,3
M5_diverse,0.05,confounded,MSCSC_source_shuffle,0,0.035853969909265544,0.0016936753142776336,0.9047619047619048,0.02703462336969,0.005484099094881491,0.00019683857657764404,0.0,0.0,3
M5_diverse,0.05,confounded,MSCSC_source_shuffle,16,0.044031375415795854,0.0005758479772032633,0.5255411255411256,0.16391099060416545,0.0021140759195461393,0.0010372748113283115,0.20000000000000004,0.2,3
M5_diverse,0.05,confounded,MSCSC_source_shuffle,64,0.037014684910199235,0.00200446147134956,0.3844155844155844,0.10308121991160746,0.0013370782143757168,0.00031042995692422875,0.13333333333333333,0.11547005383792516,3
M5_diverse,0.05,confounded,pooled_rank0,0,0.03464269459139039,0.002430543059767709,0.9047619047619047,0.0074980554440210526,0.005470118992996182,0.00013835411596656186,0.0,0.0,3
M5_diverse,0.05,confounded,pooled_rank0,16,0.040092246166334056,0.003732725522525046,0.5783549783549784,0.16741329363092333,0.0023006485654428724,0.001073357989989888,0.0,0.0,3
M5_diverse,0.05,confounded,pooled_rank0,64,0.03486709426133849,0.00306520516764034,0.40259740259740256,0.19827217902215785,0.0013452652750038062,0.0005781341526945409,0.0,0.0,3
M5_diverse,0.05,independent_latents,MSCSC_correct_source,0,0.030862214352625577,0.0011642723977619172,0.4632034632034632,0.07152689022449481,0.0022163146378660816,0.0004286165315440218,0.0,0.0,3
M5_diverse,0.05,independent_latents,MSCSC_correct_source,16,0.04054739058995773,0.0034953615226069983,0.5835497835497835,0.20931799128684356,0.0022905493273098873,0.0012498282413764997,0.06666666666666667,0.11547005383792518,3
M5_diverse,0.05,independent_latents,MSCSC_correct_source,64,0.03411072806289291,0.0009231716746105532,0.4883116883116883,0.15534552264213694,0.0016433560375188605,0.0004474367845115834,0.06666666666666667,0.11547005383792516,3
M5_diverse,0.05,independent_latents,MSCSC_source_shuffle,0,0.031160564464813207,0.000711163146455101,0.42424242424242425,0.02703462336968998,0.00200623387881145,0.00029450148043497643,0.0,0.0,3
M5_diverse,0.05,independent_latents,MSCSC_source_shuffle,16,0.042668901491880164,0.0049048379151609926,0.580952380952381,0.09918995010726928,0.0022246233570870837,0.0007248479610242864,0.20000000000000004,0.2,3
M5_diverse,0.05,independent_latents,MSCSC_source_shuffle,64,0.03330331503070399,0.00032814647375147953,0.42857142857142855,0.11463935839331894,0.0014272733945459657,0.0003766705837970807,0.0,0.0,3
M5_diverse,0.05,independent_latents,pooled_rank0,0,0.028398261154342897,0.003499737201831522,0.4718614718614719,0.058561685101596,0.0022705213853121196,0.00047722853452175266,0.0,0.0,3
M5_diverse,0.05,independent_latents,pooled_rank0,16,0.03984478385508768,0.005069815098523664,0.5471861471861471,0.2220791878650542,0.002157382804434406,0.0012517025752702374,0.0,0.0,3
