setting,source_count,lambda_reward,condition,seed,method,calibration_budget,calibration_replicate,selected_rank,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,64,0,0,0.02985812515098077,0.04166566833474362,-0.00584866144342864,0.948051948051948,0.948051948051948,0.003843558512048992,0.003843558512048992,0.00405416445791469,0.006461973058131055,0.014169029059608373,0.04787578069480234
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,16,1,0,0.03139174183180101,0.04349805475358956,-0.01326832794942386,0.4025974025974026,0.4025974025974026,0.00120364447044694,0.00120364447044694,0.0029896975556262697,0.0032108324208326893,0.007044185483968679,0.0760049421647407
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,64,1,1,0.03941560872397091,0.05331582553945615,-0.003641678309504211,0.38961038961038963,0.38961038961038963,0.001220673732756116,0.001220673732756116,0.0031330625807406975,0.003341005050118007,0.013315073235235175,0.1416619563350409
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,16,2,0,0.03424392955969667,0.044761710558325576,0.017952888967614048,0.961038961038961,0.961038961038961,0.002914934264463032,0.002914934264463032,0.003033107275184506,0.006269755787305798,0.0072405946980955704,0.032259285749343225
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,64,2,0,0.030804488946771586,0.04201800377616893,-8.082102978043045e-05,0.948051948051948,0.948051948051948,0.004757407166180674,0.004757407166180674,0.005018087010902904,0.008865097289182012,0.014561894727489477,0.03975180373162108
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,16,3,0,0.027859997843161562,0.03992818666909561,-0.000299530795527272,0.5844155844155844,0.5844155844155844,0.0034755871477396678,0.0034755871477396678,0.00594711578613232,0.008712722642938013,0.014169029059608373,0.05294454047287251
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,64,3,1,0.03840618048631826,0.05200788353306488,-0.013383297654467056,0.6363636363636364,0.6363636363636364,0.002423446654324365,0.002423446654324365,0.0038082733139382886,0.005288570756944823,0.013315073235235175,0.07135417184466047
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,16,4,0,0.03225525080287874,0.043824264327113255,-0.009131921236362023,0.935064935064935,0.935064935064935,0.005740654176142864,0.005740654176142864,0.006139310716152785,0.012813102826615986,0.014561894727489477,0.032943199527216284
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,64,4,0,0.03122245772953632,0.04303720155155641,-0.012782656668985374,0.961038961038961,0.961038961038961,0.002914934264463032,0.002914934264463032,0.003033107275184506,0.006269755787305798,0.0072405946980955704,0.032259285749343225
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,16,0,0,0.028905480817999114,0.040522167768596525,-0.002288763016390117,0.7662337662337663,0.7662337662337663,0.004715408935234168,0.004715408935234168,0.006154008271407304,0.012813102826615986,0.014561894727489477,0.04010585689150421
