kappa,lambda_reward,condition,mixture,seed,method,best_validation_nll,best_validation_step,mae,rmse,signed_bias,top_set_disagreement,mean_regret
0.0,0.0,confounded,logger12_balanced,4,source_balanced_pooled_mlp,-1.939743161201477,3000,0.009707448425437325,0.014589596323206565,-0.0015897780822732581,0.2524271844660194,0.0009861659328772986
0.0,0.0,confounded,logger12_balanced,4,source_conditioned_decoder,-1.9255006313323975,3000,0.01099322196756382,0.01685940357785856,-0.004028782863107368,0.13592233009708737,0.00039450735462402724
0.0,0.0,confounded,logger12_balanced,4,per_source_models,-1.9069768190383911,3000,0.009704952819069999,0.014639525861595767,-7.077206808057824e-05,0.19741100323624594,0.0007066501700166404
0.0,0.0,confounded,logger12_balanced,4,mechanism_separated,-1.2735874652862549,3000,0.012454661368536556,0.01905376148511781,-0.00230390172222561,0.20064724919093851,0.0006843114395387468
0.0,0.0,confounded,logger12_balanced,4,oracle_u_aware,-1.9005382061004639,2971,0.012306298360360573,0.018412529038668524,-0.0017448058614212838,0.2686084142394822,0.00088481061065554
0.0,0.0,confounded,logger12_balanced,4,source_shuffle,-0.9966731667518616,3000,0.010293483853023944,0.016669162821980887,-0.0004243669933732011,0.2686084142394822,0.0009970720712059813
0.0,0.0,confounded,logger12_balanced,4,no_behavior,-1.9195663928985596,3000,0.012377402893652583,0.01889066634222722,0.004100110878244623,0.21359223300970873,0.000794552485244315
0.0,0.0,confounded,logger12_balanced,4,source_dependent_reward,-1.2529313564300537,3000,0.012270040478205766,0.017819993219468696,-0.006702200555572404,0.22653721682847897,0.0007567540227251624
0.0,0.0,confounded,logger2_heavy,0,pooled_mlp,-1.903737187385559,3000,0.01259015102139451,0.018722234496875333,-0.005358268566858232,0.2297734627831715,0.0007404213829301992
0.0,0.0,confounded,logger2_heavy,0,source_balanced_pooled_mlp,-1.8916616439819336,3000,0.01362215542170274,0.018663659297718762,0.006841582436266978,0.24271844660194175,0.0008309313082942298
0.0,0.0,confounded,logger2_heavy,0,source_conditioned_decoder,-1.9384115934371948,3000,0.010899585822122424,0.0162313414416645,-0.0017882560011057088,0.18446601941747573,0.0005448347182627387
0.0,0.0,confounded,logger2_heavy,0,per_source_models,-1.8785388469696045,3000,0.011231001731353947,0.01640483024786075,0.005047723312629031,0.1488673139158576,0.0005028641335377566
0.0,0.0,confounded,logger2_heavy,0,mechanism_separated,-1.2173755168914795,3000,0.014980751529338294,0.020444224929588743,-0.006996692863392122,0.22330097087378642,0.0007436323694481262
0.0,0.0,confounded,logger2_heavy,0,oracle_u_aware,-1.929604172706604,3000,0.011388241467681864,0.015796988698508152,-0.005521373263495986,0.19741100323624594,0.0007210031502360742
0.0,0.0,confounded,logger2_heavy,0,source_shuffle,-0.9713348150253296,3000,0.011502227383358713,0.015841640352494222,0.004346401171358416,0.23300970873786409,0.0008399651864928018
0.0,0.0,confounded,logger2_heavy,0,no_behavior,-1.9202661514282227,3000,0.010735690691215615,0.015976956577854556,0.00023506766534281943,0.1941747572815534,0.0006050802196997759
0.0,0.0,confounded,logger2_heavy,0,source_dependent_reward,-1.2852882146835327,3000,0.011613494911500018,0.017944447058614275,0.00506113077453417,0.17475728155339806,0.0006705275761016772
0.0,0.0,confounded,logger2_heavy,1,pooled_mlp,-1.9206299781799316,2971,0.012706757761650731,0.018311542458798683,0.006437803760432265,0.19741100323624594,0.0006889992828997646
0.0,0.0,confounded,logger2_heavy,1,source_balanced_pooled_mlp,-1.9545724391937256,3000,0.011112626820853129,0.016463438424725068,0.0035975246459361734,0.2168284789644013,0.0007033718514818981
0.0,0.0,confounded,logger2_heavy,1,source_conditioned_decoder,-1.8976703882217407,3000,0.011182188334776704,0.017498551714166113,-0.0029604942456804262,0.16181229773462782,0.0005479969899905301
0.0,0.0,confounded,logger2_heavy,1,per_source_models,-1.94242525100708,3000,0.009558185191014165,0.015425260065640841,0.0014240644968991328,0.15210355987055016,0.00043699599822903207
