kappa,lambda_reward,condition,mixture,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution
0.0,0.01,confounded,logger2_heavy,3,no_behavior,0.0029853887639872687,0.0029853887639872687,0.005013506130826446,0.006824944693284515,0.016382430235374557,0.0648299552347921
0.0,0.01,confounded,logger2_heavy,3,source_dependent_reward,0.003185501395797474,0.003185501395797474,0.0051001032709918105,0.006582268968862958,0.014334114235150075,0.057166481148735966
0.0,0.01,confounded,logger2_heavy,4,pooled_mlp,0.002551994898451351,0.002551994898451351,0.004808331851350412,0.0066129615517287015,0.014901087993193673,0.07166341759858261
0.0,0.01,confounded,logger2_heavy,4,source_balanced_pooled_mlp,0.0038647405232621556,0.0038647405232621556,0.005580396363028066,0.007941685799512658,0.014901087993193673,0.04853871390483817
0.0,0.01,confounded,logger2_heavy,4,source_conditioned_decoder,0.0032128159016079267,0.0032128159016079267,0.005484862506059941,0.0073522796272984066,0.015715033001301393,0.06149836537130952
0.0,0.01,confounded,logger2_heavy,4,per_source_models,0.0031719513348861792,0.0031719513348861792,0.005078409132019841,0.006938440143441845,0.014977983325449529,0.05666329611558956
0.0,0.01,confounded,logger2_heavy,4,mechanism_separated,0.002802653157868212,0.002802653157868212,0.00481122125434043,0.0064546704467195685,0.014957867511653955,0.06563614814822648
0.0,0.01,confounded,logger2_heavy,4,oracle_u_aware,0.0005431490090752403,0.0005431490090752403,0.0032275585346971006,0.002659432772209324,0.007558489977900873,0.17224389061824288
0.0,0.01,confounded,logger2_heavy,4,source_shuffle,0.0028642149633773617,0.0028642149633773617,0.004889737147423231,0.006485630151466015,0.014957867511653955,0.06491670800420776
0.0,0.01,confounded,logger2_heavy,4,no_behavior,0.002227535019150783,0.002227535019150783,0.004356381777959443,0.006155041898289592,0.014126174632168809,0.07728531340774143
0.0,0.01,confounded,logger2_heavy,4,source_dependent_reward,0.003098941678555544,0.003098941678555544,0.005148241820826145,0.006877916833020503,0.014961950454980055,0.059367270803072185
0.0,0.01,independent_latents,logger1_heavy,0,pooled_mlp,0.0008528223191586682,0.0008528223191586682,0.0034223648911692007,0.0037511512778968022,0.011617266409064353,0.123135261490347
0.0,0.01,independent_latents,logger1_heavy,0,source_balanced_pooled_mlp,0.0008268966564871911,0.0008268966564871911,0.0037030589399208993,0.003213038589139927,0.012608020501207573,0.15213869434039445
0.0,0.01,independent_latents,logger1_heavy,0,source_conditioned_decoder,0.0005419428207264252,0.0005419428207264252,0.0030447333018993705,0.0026368606903686585,0.011699426569373061,0.17878808303002408
0.0,0.01,independent_latents,logger1_heavy,0,per_source_models,0.0005335958803734348,0.0005335958803734348,0.0032329632752037523,0.0025694309903739657,0.010190327602197957,0.17408164621794728
0.0,0.01,independent_latents,logger1_heavy,0,mechanism_separated,0.000610480967655155,0.000610480967655155,0.0031972647289058116,0.0027429381456516295,0.013315073235235175,0.18937358144506095
0.0,0.01,independent_latents,logger1_heavy,0,oracle_u_aware,0.0006169393657150333,0.0006169393657150333,0.003125151868949923,0.0028140982560559634,0.011617201355214934,0.1662169187933134
0.0,0.01,independent_latents,logger1_heavy,0,source_shuffle,0.0007779459124141404,0.0007779459124141404,0.0034838447382024547,0.0031609603647264613,0.013315073235235175,0.1734993794910124
0.0,0.01,independent_latents,logger1_heavy,0,no_behavior,0.0006257271789451328,0.0006257271789451328,0.0033920999700709827,0.0028470212758054275,0.011617201355214934,0.17184405577363698
0.0,0.01,independent_latents,logger1_heavy,0,source_dependent_reward,0.0007363637488429801,0.0007363637488429801,0.0034475211877648612,0.0031994268187103708,0.014126174632168809,0.1565044348497075
0.0,0.01,independent_latents,logger1_heavy,1,pooled_mlp,0.0009549546016629115,0.0009549546016629115,0.003512868713259996,0.0037128802811563937,0.01225226654156808,0.13149188670907502
0.0,0.01,independent_latents,logger1_heavy,1,source_balanced_pooled_mlp,0.000708122473269593,0.000708122473269593,0.0033153006703076403,0.003211053907113026,0.007581168661232152,0.1367506769820641
0.0,0.01,independent_latents,logger1_heavy,1,source_conditioned_decoder,0.0007380869899796808,0.0007380869899796808,0.0033053460855611795,0.003192764655500202,0.010482394787229232,0.14768057418012476
0.0,0.01,independent_latents,logger1_heavy,1,per_source_models,0.0005608548438321528,0.0005608548438321528,0.003094716906145271,0.0028819238960661403,0.007044185483968679,0.15005657340791725
