kappa,lambda_reward,condition,mixture,seed,method,split,scope,observational_nll,mae,rmse,signed_bias,logger_id
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,test,source,,0.01135304428236499,0.016207424653756103,0.0022927744455861123,0
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,test,source,,0.011352946104310108,0.016207529878701,0.002292580383859176,1
0.0,0.0,confounded,logger1_heavy,0,source_shuffle,test,source,,0.011115610947006803,0.016053238927959932,0.002339886126262751,2
0.0,0.0,confounded,logger1_heavy,0,no_behavior,validation,mixture,-2.2553017464720773,0.011345129957211174,0.018825425617057853,0.0003875715540992431,
0.0,0.0,confounded,logger1_heavy,0,no_behavior,test,mixture,-2.275474833037996,0.012666749147117238,0.01732559002444551,0.0016598970788988135,
0.0,0.0,confounded,logger1_heavy,0,no_behavior,test,source,,0.012666338801416753,0.01734840832540242,0.0016512900604449443,0
0.0,0.0,confounded,logger1_heavy,0,no_behavior,test,source,,0.012666338801416764,0.017348408325402402,0.001651290060444925,1
0.0,0.0,confounded,logger1_heavy,0,no_behavior,test,source,,0.012670442258421795,0.017118856682840484,0.001737360244983576,2
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,validation,mixture,-2.2298786513130944,0.014381610362749398,0.02129971220320288,0.00969573053284336,
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,test,mixture,-2.25223937848156,0.014307787517073095,0.019906228474701117,0.00919813196336378,
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,test,source,,0.01442751799724262,0.02005360473121657,0.009424778020300523,0
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,test,source,,0.014239660644981956,0.019888179059814756,0.008322632094565073,1
0.0,0.0,confounded,logger1_heavy,0,source_dependent_reward,test,source,,0.014098511772377436,0.019757784991767956,0.008260463376668612,2
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,validation,mixture,-2.24463113654492,0.013835820185218888,0.02090029643375598,-0.001930212028165332,
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,test,mixture,-2.2787504692962073,0.013464469771031941,0.018720849167402503,-0.0007415050577665827,
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,test,source,,0.013475318988555982,0.01873462656768367,-0.0007521483171685507,0
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,test,source,,0.013475318988555989,0.01873462656768368,-0.0007521483171685646,1
0.0,0.0,confounded,logger1_heavy,1,pooled_mlp,test,source,,0.013366826813315686,0.018596393247383377,-0.0006457157231488207,2
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,validation,mixture,-2.30401535572792,0.010349976509968236,0.01727788372164362,0.0018846165973977265,
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,test,mixture,-2.314149599962584,0.011162520045385241,0.01652856693367091,0.0035709440683283143,
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,test,source,,0.011183904351972864,0.016556402771294436,0.0035595527880873624,0
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,test,source,,0.01118390435197286,0.01655640277129443,0.003559552788087305,1
0.0,0.0,confounded,logger1_heavy,1,source_balanced_pooled_mlp,test,source,,0.01097006128609652,0.01627590225703184,0.00367346559049699,2
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,validation,mixture,-2.1952537962211243,0.015202226250271081,0.023476937020663353,0.004878659320170511,
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,test,mixture,-2.2750902884638866,0.01340813191827187,0.018624943568446732,0.004851896912696134,
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,test,source,,0.013423427795313005,0.01864603536043204,0.004852391684206774,0
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,test,source,,0.013965199311233028,0.01935945301513799,0.004937882215006533,1
0.0,0.0,confounded,logger1_heavy,1,source_conditioned_decoder,test,source,,0.013677281881392148,0.01885664128174898,0.004761953438300642,2
0.0,0.0,confounded,logger1_heavy,1,per_source_models,validation,mixture,-2.250407774129332,0.01217633647361671,0.019043836107605763,-0.005533335716385155,
0.0,0.0,confounded,logger1_heavy,1,per_source_models,test,mixture,-2.255281498696524,0.012650733990344243,0.018777071981884923,-0.00451638805364347,
0.0,0.0,confounded,logger1_heavy,1,per_source_models,test,source,,0.013414493468529007,0.019724702265439882,-0.0062246817834334285,0
0.0,0.0,confounded,logger1_heavy,1,per_source_models,test,source,,0.010724286873376773,0.017149189074194365,0.000400175949820402,1
0.0,0.0,confounded,logger1_heavy,1,per_source_models,test,source,,0.013145917430047836,0.019397251808698605,0.004233397781212289,2
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,validation,mixture,-2.222775392843907,0.01441867121015734,0.02203571164897796,0.006991393539926057,
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,test,mixture,-2.3012680832912293,0.012047409542286098,0.016889097974445374,0.005693735186529238,
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,test,source,,0.012065163500305206,0.016930479401496355,0.0056891218113810154,0
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,test,source,,0.01206516284324932,0.016930478929977767,0.0056891140309733934,1
0.0,0.0,confounded,logger1_heavy,1,mechanism_separated,test,source,,0.011887624577170122,0.016511999424730806,0.0057352633432707235,2
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,validation,mixture,-2.2087873263894853,0.014114459833613811,0.021693015472078126,0.0057701735714388675,
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,test,mixture,-2.241081237763954,0.01392159153161665,0.01958274478660949,0.007574476037899471,
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,test,source,,0.01398442137252094,0.019636514252512366,0.007612175820321986,0
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,test,source,,0.013827509576503373,0.019515725373031055,0.00746251379632904,1
0.0,0.0,confounded,logger1_heavy,1,oracle_u_aware,test,source,,0.013593646816043336,0.019282588125040936,0.007384840020089817,2
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,validation,mixture,-2.2275658939966108,0.01038372842465173,0.017641227747870705,-0.001317133263446631,
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,test,mixture,-2.2479210118747357,0.010238878191444534,0.015811650368518726,-0.0006124173948309904,
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,test,source,,0.010291959800415402,0.015867160425109394,-0.0006250117301427338,0
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,test,source,,0.01029193759245868,0.015867131746870728,-0.0006250013549280436,1
0.0,0.0,confounded,logger1_heavy,1,source_shuffle,test,source,,0.009761165918663542,0.015303031214624764,-0.0004990787522398608,2
