kappa,lambda_reward,condition,seed,method,left_mixture,right_mixture,prediction_mae
0.0,0.0,confounded,3,oracle_u_aware,logger12_balanced,logger2_heavy,0.010895926160821285
0.0,0.0,confounded,3,source_shuffle,logger1_heavy,logger12_balanced,0.008777022649210946
0.0,0.0,confounded,3,source_shuffle,logger1_heavy,logger2_heavy,0.008433447952425004
0.0,0.0,confounded,3,source_shuffle,logger12_balanced,logger2_heavy,0.009026744746412293
0.0,0.0,confounded,3,no_behavior,logger1_heavy,logger12_balanced,0.006108433779049992
0.0,0.0,confounded,3,no_behavior,logger1_heavy,logger2_heavy,0.0064272168793530335
0.0,0.0,confounded,3,no_behavior,logger12_balanced,logger2_heavy,0.005631128196943334
0.0,0.0,confounded,3,source_dependent_reward,logger1_heavy,logger12_balanced,0.00679576334342332
0.0,0.0,confounded,3,source_dependent_reward,logger1_heavy,logger2_heavy,0.013051730776539022
0.0,0.0,confounded,3,source_dependent_reward,logger12_balanced,logger2_heavy,0.016036583086896795
0.0,0.0,confounded,4,pooled_mlp,logger1_heavy,logger12_balanced,0.005497345200109294
0.0,0.0,confounded,4,pooled_mlp,logger1_heavy,logger2_heavy,0.010047469540060024
0.0,0.0,confounded,4,pooled_mlp,logger12_balanced,logger2_heavy,0.009431596364396158
0.0,0.0,confounded,4,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,confounded,4,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,confounded,4,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,confounded,4,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.007606863030890785
0.0,0.0,confounded,4,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.009130035564865272
0.0,0.0,confounded,4,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.01175709514256073
0.0,0.0,confounded,4,per_source_models,logger1_heavy,logger12_balanced,0.005248863542175443
0.0,0.0,confounded,4,per_source_models,logger1_heavy,logger2_heavy,0.005102439643141743
0.0,0.0,confounded,4,per_source_models,logger12_balanced,logger2_heavy,0.005219977778163031
0.0,0.0,confounded,4,mechanism_separated,logger1_heavy,logger12_balanced,0.0085630758804502
0.0,0.0,confounded,4,mechanism_separated,logger1_heavy,logger2_heavy,0.0066496112032733935
0.0,0.0,confounded,4,mechanism_separated,logger12_balanced,logger2_heavy,0.00911704257913192
0.0,0.0,confounded,4,oracle_u_aware,logger1_heavy,logger12_balanced,0.010983516504972587
0.0,0.0,confounded,4,oracle_u_aware,logger1_heavy,logger2_heavy,0.009052692935771229
0.0,0.0,confounded,4,oracle_u_aware,logger12_balanced,logger2_heavy,0.0065633152366297845
0.0,0.0,confounded,4,source_shuffle,logger1_heavy,logger12_balanced,0.006760995175836842
0.0,0.0,confounded,4,source_shuffle,logger1_heavy,logger2_heavy,0.006956357377737694
0.0,0.0,confounded,4,source_shuffle,logger12_balanced,logger2_heavy,0.006447065390336356
0.0,0.0,confounded,4,no_behavior,logger1_heavy,logger12_balanced,0.008506771287036918
0.0,0.0,confounded,4,no_behavior,logger1_heavy,logger2_heavy,0.00907724938306217
0.0,0.0,confounded,4,no_behavior,logger12_balanced,logger2_heavy,0.008614714476058976
0.0,0.0,confounded,4,source_dependent_reward,logger1_heavy,logger12_balanced,0.010482392104987292
0.0,0.0,confounded,4,source_dependent_reward,logger1_heavy,logger2_heavy,0.008421524271214549
0.0,0.0,confounded,4,source_dependent_reward,logger12_balanced,logger2_heavy,0.005948042399213658
0.0,0.0,independent_latents,0,pooled_mlp,logger1_heavy,logger12_balanced,0.007864610468067612
0.0,0.0,independent_latents,0,pooled_mlp,logger1_heavy,logger2_heavy,0.0109572291156172
0.0,0.0,independent_latents,0,pooled_mlp,logger12_balanced,logger2_heavy,0.00746516581907235
0.0,0.0,independent_latents,0,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,independent_latents,0,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,independent_latents,0,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,independent_latents,0,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.008445038736855188
0.0,0.0,independent_latents,0,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.009303090316410561
0.0,0.0,independent_latents,0,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.012589398746242295
0.0,0.0,independent_latents,0,per_source_models,logger1_heavy,logger12_balanced,0.004603283812329452
0.0,0.0,independent_latents,0,per_source_models,logger1_heavy,logger2_heavy,0.00470038894440733
0.0,0.0,independent_latents,0,per_source_models,logger12_balanced,logger2_heavy,0.0048032219503533514
0.0,0.0,independent_latents,0,mechanism_separated,logger1_heavy,logger12_balanced,0.009396837361723179
0.0,0.0,independent_latents,0,mechanism_separated,logger1_heavy,logger2_heavy,0.010443198795226321
0.0,0.0,independent_latents,0,mechanism_separated,logger12_balanced,logger2_heavy,0.010074824913473392
0.0,0.0,independent_latents,0,oracle_u_aware,logger1_heavy,logger12_balanced,0.007201583853305262
0.0,0.0,independent_latents,0,oracle_u_aware,logger1_heavy,logger2_heavy,0.009722643757979673
0.0,0.0,independent_latents,0,oracle_u_aware,logger12_balanced,logger2_heavy,0.009550289367859371
0.0,0.0,independent_latents,0,source_shuffle,logger1_heavy,logger12_balanced,0.010337418435779355
0.0,0.0,independent_latents,0,source_shuffle,logger1_heavy,logger2_heavy,0.008325138571364023
0.0,0.0,independent_latents,0,source_shuffle,logger12_balanced,logger2_heavy,0.010510859972737176
0.0,0.0,independent_latents,0,no_behavior,logger1_heavy,logger12_balanced,0.010470071253419217
0.0,0.0,independent_latents,0,no_behavior,logger1_heavy,logger2_heavy,0.009916282334906558
0.0,0.0,independent_latents,0,no_behavior,logger12_balanced,logger2_heavy,0.007633615234221248
0.0,0.0,independent_latents,0,source_dependent_reward,logger1_heavy,logger12_balanced,0.008295343005833558
0.0,0.0,independent_latents,0,source_dependent_reward,logger1_heavy,logger2_heavy,0.010177494642914396
0.0,0.0,independent_latents,0,source_dependent_reward,logger12_balanced,logger2_heavy,0.007014568832478789
0.0,0.0,independent_latents,1,pooled_mlp,logger1_heavy,logger12_balanced,0.006054247984675708
0.0,0.0,independent_latents,1,pooled_mlp,logger1_heavy,logger2_heavy,0.0067824695213495444
0.0,0.0,independent_latents,1,pooled_mlp,logger12_balanced,logger2_heavy,0.005396390439027295
0.0,0.0,independent_latents,1,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,independent_latents,1,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,independent_latents,1,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,independent_latents,1,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.006941990010626943
0.0,0.0,independent_latents,1,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.00774629050696335
0.0,0.0,independent_latents,1,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.00872120697007867
0.0,0.0,independent_latents,1,per_source_models,logger1_heavy,logger12_balanced,0.0040881851648975
0.0,0.0,independent_latents,1,per_source_models,logger1_heavy,logger2_heavy,0.005239436865571009
0.0,0.0,independent_latents,1,per_source_models,logger12_balanced,logger2_heavy,0.004581072668475404
0.0,0.0,independent_latents,1,mechanism_separated,logger1_heavy,logger12_balanced,0.010496216889022466
0.0,0.0,independent_latents,1,mechanism_separated,logger1_heavy,logger2_heavy,0.007938094545566885
0.0,0.0,independent_latents,1,mechanism_separated,logger12_balanced,logger2_heavy,0.008771773146020827
0.0,0.0,independent_latents,1,oracle_u_aware,logger1_heavy,logger12_balanced,0.008702467962922216
0.0,0.0,independent_latents,1,oracle_u_aware,logger1_heavy,logger2_heavy,0.0094995463569937
0.0,0.0,independent_latents,1,oracle_u_aware,logger12_balanced,logger2_heavy,0.005609969229022902
0.0,0.0,independent_latents,1,source_shuffle,logger1_heavy,logger12_balanced,0.0053930763230295746
0.0,0.0,independent_latents,1,source_shuffle,logger1_heavy,logger2_heavy,0.00979940873553863
0.0,0.0,independent_latents,1,source_shuffle,logger12_balanced,logger2_heavy,0.008318336180688255
0.0,0.0,independent_latents,1,no_behavior,logger1_heavy,logger12_balanced,0.007386151742307315
0.0,0.0,independent_latents,1,no_behavior,logger1_heavy,logger2_heavy,0.007716115901585104
0.0,0.0,independent_latents,1,no_behavior,logger12_balanced,logger2_heavy,0.006831958527362515
0.0,0.0,independent_latents,1,source_dependent_reward,logger1_heavy,logger12_balanced,0.004849231857205114
0.0,0.0,independent_latents,1,source_dependent_reward,logger1_heavy,logger2_heavy,0.008340433865676901
0.0,0.0,independent_latents,1,source_dependent_reward,logger12_balanced,logger2_heavy,0.007370791063916931
0.0,0.0,independent_latents,2,pooled_mlp,logger1_heavy,logger12_balanced,0.007881774346296102
0.0,0.0,independent_latents,2,pooled_mlp,logger1_heavy,logger2_heavy,0.006736534456620412
0.0,0.0,independent_latents,2,pooled_mlp,logger12_balanced,logger2_heavy,0.011638468014959734
0.0,0.0,independent_latents,2,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,independent_latents,2,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,independent_latents,2,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,independent_latents,2,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.00596106184839176
0.0,0.0,independent_latents,2,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.00799353178079389
0.0,0.0,independent_latents,2,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.007216761531073459
0.0,0.0,independent_latents,2,per_source_models,logger1_heavy,logger12_balanced,0.005834437746893043
0.0,0.0,independent_latents,2,per_source_models,logger1_heavy,logger2_heavy,0.009308891426043384
0.0,0.0,independent_latents,2,per_source_models,logger12_balanced,logger2_heavy,0.008740587029305724
0.0,0.0,independent_latents,2,mechanism_separated,logger1_heavy,logger12_balanced,0.007832565961540732
0.0,0.0,independent_latents,2,mechanism_separated,logger1_heavy,logger2_heavy,0.008430209274899212
0.0,0.0,independent_latents,2,mechanism_separated,logger12_balanced,logger2_heavy,0.009446117235885674
0.0,0.0,independent_latents,2,oracle_u_aware,logger1_heavy,logger12_balanced,0.006463393733443118
0.0,0.0,independent_latents,2,oracle_u_aware,logger1_heavy,logger2_heavy,0.008607989592653095
0.0,0.0,independent_latents,2,oracle_u_aware,logger12_balanced,logger2_heavy,0.007226256844361327
0.0,0.0,independent_latents,2,source_shuffle,logger1_heavy,logger12_balanced,0.006733955505112558
0.0,0.0,independent_latents,2,source_shuffle,logger1_heavy,logger2_heavy,0.005805667273564328
0.0,0.0,independent_latents,2,source_shuffle,logger12_balanced,logger2_heavy,0.007131805131098569
0.0,0.0,independent_latents,2,no_behavior,logger1_heavy,logger12_balanced,0.009866320880788947
0.0,0.0,independent_latents,2,no_behavior,logger1_heavy,logger2_heavy,0.006598743617118412
0.0,0.0,independent_latents,2,no_behavior,logger12_balanced,logger2_heavy,0.010664272007951746
0.0,0.0,independent_latents,2,source_dependent_reward,logger1_heavy,logger12_balanced,0.007136634855044848
0.0,0.0,independent_latents,2,source_dependent_reward,logger1_heavy,logger2_heavy,0.008308936729068747
0.0,0.0,independent_latents,2,source_dependent_reward,logger12_balanced,logger2_heavy,0.008707537262167005
0.0,0.0,independent_latents,3,pooled_mlp,logger1_heavy,logger12_balanced,0.010897790772163138
0.0,0.0,independent_latents,3,pooled_mlp,logger1_heavy,logger2_heavy,0.009472941980965264
0.0,0.0,independent_latents,3,pooled_mlp,logger12_balanced,logger2_heavy,0.006322529498164345
0.0,0.0,independent_latents,3,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,independent_latents,3,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,independent_latents,3,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,independent_latents,3,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.008564150475178315
0.0,0.0,independent_latents,3,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.008775245599342459
0.0,0.0,independent_latents,3,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.0058920710777723454
0.0,0.0,independent_latents,3,per_source_models,logger1_heavy,logger12_balanced,0.006633216788883328
0.0,0.0,independent_latents,3,per_source_models,logger1_heavy,logger2_heavy,0.008827084895085406
0.0,0.0,independent_latents,3,per_source_models,logger12_balanced,logger2_heavy,0.006952401563504658
0.0,0.0,independent_latents,3,mechanism_separated,logger1_heavy,logger12_balanced,0.008075830725759568
0.0,0.0,independent_latents,3,mechanism_separated,logger1_heavy,logger2_heavy,0.008004459418171826
0.0,0.0,independent_latents,3,mechanism_separated,logger12_balanced,logger2_heavy,0.0064294777514854505
0.0,0.0,independent_latents,3,oracle_u_aware,logger1_heavy,logger12_balanced,0.010814685424076705
0.0,0.0,independent_latents,3,oracle_u_aware,logger1_heavy,logger2_heavy,0.010640741756168349
0.0,0.0,independent_latents,3,oracle_u_aware,logger12_balanced,logger2_heavy,0.004943770081585976
0.0,0.0,independent_latents,3,source_shuffle,logger1_heavy,logger12_balanced,0.010544740517175471
0.0,0.0,independent_latents,3,source_shuffle,logger1_heavy,logger2_heavy,0.006661119223676742
0.0,0.0,independent_latents,3,source_shuffle,logger12_balanced,logger2_heavy,0.009385946980157519
0.0,0.0,independent_latents,3,no_behavior,logger1_heavy,logger12_balanced,0.007315342465870065
0.0,0.0,independent_latents,3,no_behavior,logger1_heavy,logger2_heavy,0.008092157653147967
0.0,0.0,independent_latents,3,no_behavior,logger12_balanced,logger2_heavy,0.0048191526891604615
0.0,0.0,independent_latents,3,source_dependent_reward,logger1_heavy,logger12_balanced,0.008350519396798716
0.0,0.0,independent_latents,3,source_dependent_reward,logger1_heavy,logger2_heavy,0.007069663216530041
0.0,0.0,independent_latents,3,source_dependent_reward,logger12_balanced,logger2_heavy,0.007194153470479771
0.0,0.0,independent_latents,4,pooled_mlp,logger1_heavy,logger12_balanced,0.00981615219812629
0.0,0.0,independent_latents,4,pooled_mlp,logger1_heavy,logger2_heavy,0.008557088648593142
0.0,0.0,independent_latents,4,pooled_mlp,logger12_balanced,logger2_heavy,0.01012560756870287
0.0,0.0,independent_latents,4,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,independent_latents,4,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,independent_latents,4,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,independent_latents,4,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.006135751950110741
0.0,0.0,independent_latents,4,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.008853482746421233
0.0,0.0,independent_latents,4,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.009161766182635103
0.0,0.0,independent_latents,4,per_source_models,logger1_heavy,logger12_balanced,0.0054555109048580784
0.0,0.0,independent_latents,4,per_source_models,logger1_heavy,logger2_heavy,0.004586964196231757
0.0,0.0,independent_latents,4,per_source_models,logger12_balanced,logger2_heavy,0.004878147238627914
0.0,0.0,independent_latents,4,mechanism_separated,logger1_heavy,logger12_balanced,0.006048761896536205
0.0,0.0,independent_latents,4,mechanism_separated,logger1_heavy,logger2_heavy,0.01110076641190656
0.0,0.0,independent_latents,4,mechanism_separated,logger12_balanced,logger2_heavy,0.008681505877932833
0.0,0.0,independent_latents,4,oracle_u_aware,logger1_heavy,logger12_balanced,0.008366232361050467
0.0,0.0,independent_latents,4,oracle_u_aware,logger1_heavy,logger2_heavy,0.007235181787808308
0.0,0.0,independent_latents,4,oracle_u_aware,logger12_balanced,logger2_heavy,0.00685200319633384
0.0,0.0,independent_latents,4,source_shuffle,logger1_heavy,logger12_balanced,0.005442814198376832
0.0,0.0,independent_latents,4,source_shuffle,logger1_heavy,logger2_heavy,0.0070204949914985685
0.0,0.0,independent_latents,4,source_shuffle,logger12_balanced,logger2_heavy,0.006965086793777308
0.0,0.0,independent_latents,4,no_behavior,logger1_heavy,logger12_balanced,0.012970516426735407
0.0,0.0,independent_latents,4,no_behavior,logger1_heavy,logger2_heavy,0.011398404028539318
0.0,0.0,independent_latents,4,no_behavior,logger12_balanced,logger2_heavy,0.007722872348311252
0.0,0.0,independent_latents,4,source_dependent_reward,logger1_heavy,logger12_balanced,0.007467817012592692
0.0,0.0,independent_latents,4,source_dependent_reward,logger1_heavy,logger2_heavy,0.008232320093640597
0.0,0.0,independent_latents,4,source_dependent_reward,logger12_balanced,logger2_heavy,0.007428262838231644
0.0,0.002,confounded,0,pooled_mlp,logger1_heavy,logger12_balanced,0.010307284248893149
0.0,0.002,confounded,0,pooled_mlp,logger1_heavy,logger2_heavy,0.007878165849787356
0.0,0.002,confounded,0,pooled_mlp,logger12_balanced,logger2_heavy,0.008228331481229083
0.0,0.002,confounded,0,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.002,confounded,0,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.002,confounded,0,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.002,confounded,0,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.0060787627976344695
0.0,0.002,confounded,0,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.009837974876997037
0.0,0.002,confounded,0,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.008657921330538542
0.0,0.002,confounded,0,per_source_models,logger1_heavy,logger12_balanced,0.008341186234297561
0.0,0.002,confounded,0,per_source_models,logger1_heavy,logger2_heavy,0.006030042767698194
0.0,0.002,confounded,0,per_source_models,logger12_balanced,logger2_heavy,0.00634991121626726
0.0,0.002,confounded,0,mechanism_separated,logger1_heavy,logger12_balanced,0.009944377355929748
0.0,0.002,confounded,0,mechanism_separated,logger1_heavy,logger2_heavy,0.00908500777857233
0.0,0.002,confounded,0,mechanism_separated,logger12_balanced,logger2_heavy,0.010374083083500647
0.0,0.002,confounded,0,oracle_u_aware,logger1_heavy,logger12_balanced,0.010463434832418832
0.0,0.002,confounded,0,oracle_u_aware,logger1_heavy,logger2_heavy,0.009379698498250865
0.0,0.002,confounded,0,oracle_u_aware,logger12_balanced,logger2_heavy,0.01101805568099876
