kappa,lambda_reward,condition,mixture,seed,method,action,anchor_id,prediction,mae,rmse,signed_bias
0.0,0.0,confounded,logger1_heavy,2,pooled_mlp,minus,,,0.010903684060734381,0.016553667370294026,-0.0013249315636487155
0.0,0.0,confounded,logger1_heavy,2,pooled_mlp,base,,,0.010891127425362773,0.016529075557309224,-0.0009595168206842711
0.0,0.0,confounded,logger1_heavy,2,pooled_mlp,plus,,,0.010934990504152291,0.016277046946248545,-0.0005991106119370219
0.0,0.0,confounded,logger1_heavy,2,source_balanced_pooled_mlp,all,,,0.010860888297006576,0.016293533425490277,0.00267547405138817
0.0,0.0,confounded,logger1_heavy,2,source_balanced_pooled_mlp,minus,,,0.011068764393545661,0.016619815430605523,0.002342544146182559
0.0,0.0,confounded,logger1_heavy,2,source_balanced_pooled_mlp,base,,,0.010793791261881607,0.01631017285373216,0.002755212994466209
0.0,0.0,confounded,logger1_heavy,2,source_balanced_pooled_mlp,plus,,,0.010720109235592454,0.015943578362359313,0.002928665013515742
0.0,0.0,confounded,logger1_heavy,2,source_conditioned_decoder,all,,,0.011655905839372158,0.0170314312741271,0.00041125095780968594
0.0,0.0,confounded,logger1_heavy,2,source_conditioned_decoder,minus,,,0.011859856664031566,0.017492847791356833,0.00024136987549590528
0.0,0.0,confounded,logger1_heavy,2,source_conditioned_decoder,base,,,0.011519840954941536,0.016929052480433363,0.00048042686003762775
0.0,0.0,confounded,logger1_heavy,2,source_conditioned_decoder,plus,,,0.011588019899143374,0.016661824990051335,0.0005119561378955248
0.0,0.0,confounded,logger1_heavy,2,per_source_models,all,,,0.010299843411179158,0.01418536374053957,-0.00028967283862864893
0.0,0.0,confounded,logger1_heavy,2,per_source_models,minus,,,0.010716307841726327,0.014932497691645917,-0.0018194150203234302
0.0,0.0,confounded,logger1_heavy,2,per_source_models,base,,,0.010205866646955136,0.014000931652598693,-0.00016399225570256097
0.0,0.0,confounded,logger1_heavy,2,per_source_models,plus,,,0.009977355744856012,0.013589262632773482,0.0011143887601400445
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,all,,,0.010533766496855775,0.016225520927274042,0.001291719818544925
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,minus,,,0.010632239045613757,0.01631737795096248,0.0013312676541185405
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,base,,,0.01034582033958604,0.016123506557811345,0.0014372487755179185
0.0,0.0,confounded,logger1_heavy,2,mechanism_separated,plus,,,0.010623240105367528,0.016235094738555784,0.0011066430259983162
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,all,,,0.011504742868217123,0.01743966596036526,-0.0034849783085023262
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,minus,,,0.011811514327078896,0.01792304027556532,-0.004256830636708411
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,base,,,0.01133448608856248,0.01724247636341126,-0.0033998033030850318
0.0,0.0,confounded,logger1_heavy,2,oracle_u_aware,plus,,,0.01136822818900999,0.017143146810461488,-0.0027983009857135348
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,all,,,0.010669062320328607,0.01681710729911229,0.0016358870619256412
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,minus,,,0.01057371085239034,0.016869121539270917,0.001202397258552274
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,base,,,0.010418841131937296,0.016604063173713875,0.0017254734239174551
0.0,0.0,confounded,logger1_heavy,2,source_shuffle,plus,,,0.011014634976658184,0.016975957067163903,0.001979790503307194
0.0,0.0,confounded,logger1_heavy,2,no_behavior,all,,,0.011421625466478786,0.01668033586551667,0.0027641204810463656
0.0,0.0,confounded,logger1_heavy,2,no_behavior,minus,,,0.011489140864658092,0.016772236301087425,0.0023291102379663143
0.0,0.0,confounded,logger1_heavy,2,no_behavior,base,,,0.0113349351819148,0.01658417088860161,0.0028572678851830667
0.0,0.0,confounded,logger1_heavy,2,no_behavior,plus,,,0.011440800352863463,0.0166840696221716,0.0031059833199897167
0.0,0.0,confounded,logger1_heavy,2,source_dependent_reward,all,,,0.011585849416852255,0.018171542470875972,-0.0018821943974411059
0.0,0.0,confounded,logger1_heavy,2,source_dependent_reward,minus,,,0.011560814823399242,0.018032959215477467,-0.002451553722453209
0.0,0.0,confounded,logger1_heavy,2,source_dependent_reward,base,,,0.011421197982281845,0.018039191324549706,-0.0017639670075527275
0.0,0.0,confounded,logger1_heavy,2,source_dependent_reward,plus,,,0.011775535444875678,0.018439490925775712,-0.0014310624623173806
0.0,0.0,confounded,logger1_heavy,3,pooled_mlp,all,,,0.013581011741911937,0.01809142269829922,-0.0073696842797986994
0.0,0.0,confounded,logger1_heavy,3,pooled_mlp,minus,,,0.01346653943378454,0.018075875882616377,-0.007833085339592216
0.0,0.0,confounded,logger1_heavy,3,pooled_mlp,base,,,0.013489463383799744,0.017881841764889522,-0.007320756044512362
0.0,0.0,confounded,logger1_heavy,3,pooled_mlp,plus,,,0.013787032408151519,0.018313961120339565,-0.00695521145529152
0.0,0.0,confounded,logger1_heavy,3,source_balanced_pooled_mlp,all,,,0.01022026631265773,0.015107165559918426,-0.003218436385369741
0.0,0.0,confounded,logger1_heavy,3,source_balanced_pooled_mlp,minus,,,0.010443886709728008,0.015538378070055944,-0.003401950039430729
0.0,0.0,confounded,logger1_heavy,3,source_balanced_pooled_mlp,base,,,0.010061924532280582,0.015039838898902917,-0.003232376232974921
