condition,seed,method,composition,candidate_set,do_mae,do_rmse,signed_error,underestimation_fraction,mean_positive_slack,top_action_disagreement,strict_flip,selected_action_0_fraction,selected_action_1_fraction,selected_action_2_fraction,regret_mean,regret_median,regret_conditional_mean,regret_p90,regret_max,phi_mae,phi_signed_bias,source_id,posthoc_oracle_diagnostic,phi_value_mean
confounded,0,pooled_aamas_union,source3_heavy,union,2.7778271088412034,3.7419076160853533,2.5231268263836752,0.12337662337662338,2.6504769676124393,0.935064935064935,0.935064935064935,0.03896103896103896,0.012987012987012988,0.025974025974025976,1.0032499195438231,0.602606036891018,1.0729200528454776,2.257541896639294,7.543358875099216,4.020271163875422,4.007363710677998,,False,
confounded,0,pooled_aamas_native,source3_heavy,native,2.8599018458173613,3.899959481394618,2.610064542603594,0.11688311688311688,2.7349831942104776,0.948051948051948,0.948051948051948,0.09090909090909091,0.03896103896103896,0.025974025974025976,0.9746090326641278,0.5284841883487843,1.0280122673306553,2.3501250129956937,8.342099534420527,4.159911123244032,4.145784679695712,,False,
confounded,1,single_source_1,INVARIANT,union,3.7670779143119,4.639607929332591,2.209697209682679,0.19666048237476808,2.988387561997289,0.8961038961038961,0.8961038961038961,0.012987012987012988,0.0,0.0,0.8795205352481967,0.5207700938123025,0.981493930639292,2.0858636338933256,6.715253902940901,4.955797577126026,3.9145817322634318,1,False,
confounded,1,single_source_2,INVARIANT,union,3.665420232059604,4.647438512652119,3.024718214666398,0.14656771799628943,3.3450692233630006,0.9090909090909091,0.9090909090909091,0.06493506493506493,0.05194805194805195,0.012987012987012988,0.969725283985807,0.6629054739909179,1.0666978123843878,2.043115156947364,6.989184254775296,5.936719973867938,5.677606628503319,2,False,
confounded,1,single_source_3,INVARIANT,union,3.1966394845058783,4.216728037678466,2.115207978300757,0.22634508348794063,2.655923731403318,0.922077922077922,0.922077922077922,0.07792207792207792,0.025974025974025976,0.06493506493506493,0.8739020932715943,0.5584345712553613,0.9477529743931374,1.4469241496063774,7.6305217211815375,4.068069281495082,3.5732200622152086,3,False,
confounded,1,action_level_min,INVARIANT,union,2.547901052570461,3.6099923238066354,-0.033752172981411595,0.40630797773654914,1.2570744397945246,0.935064935064935,0.935064935064935,0.05194805194805195,0.012987012987012988,0.03896103896103896,0.91034729985331,0.6079980049847791,0.9735658623431233,1.9098460747542525,6.989184254775296,2.97893956704752,1.4826842026700036,,False,
confounded,1,state_level_min,INVARIANT,union,2.6290855843707246,3.656590554637202,0.17751566810916242,0.38358070500927643,1.4033006262399434,0.922077922077922,0.922077922077922,0.07792207792207792,0.025974025974025976,0.03896103896103896,0.9328711406668689,0.5907903186495105,1.0117053215682945,2.128636142768221,6.989184254775296,3.0447501757772577,1.5737390293614628,,False,286.5433645878159
confounded,1,best_single_source_posthoc,INVARIANT,union,3.6384386223562672,4.613954894994317,2.374712188797799,0.2017625231910946,3.0065754055770335,0.8311688311688312,0.8311688311688312,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.4398158842414064,0.26642643282195877,0.5291534857279421,1.236238045367577,2.6471610918544,5.128359643738763,4.397269065090114,,True,
confounded,1,pooled_aamas_union,balanced,union,3.475129735542348,4.331267034440721,2.6857984142251285,0.18320964749536178,3.080464074883738,0.922077922077922,0.922077922077922,0.03896103896103896,0.012987012987012988,0.05194805194805195,0.6792726792923737,0.40311715127859316,0.7366760043029967,1.3921377379409547,7.918260133971501,4.422064746354787,4.156663604789674,,False,
confounded,1,pooled_aamas_native,balanced,native,3.4848481409533125,4.3363406336775965,2.6483991741796165,0.19336219336219337,3.0666236575664643,0.9090909090909091,0.9090909090909091,0.07792207792207792,0.07792207792207792,0.025974025974025976,0.755592665401122,0.4164328633345349,0.8311519319412343,1.6353432915967583,8.108040167762056,4.334536822212847,4.067662331078494,,False,
confounded,1,pooled_aamas_union,source1_heavy,union,3.4466344480121305,4.235099921316896,2.5877483371930277,0.19805194805194806,3.0171913926025793,0.922077922077922,0.922077922077922,0.06493506493506493,0.012987012987012988,0.03896103896103896,0.7897073187505853,0.49601334021838284,0.8564431485041558,1.566465248759653,6.989184254775296,4.437244124313314,4.163147191774741,,False,
confounded,1,pooled_aamas_native,source1_heavy,native,3.4635171442937756,4.286641168620845,2.5373956979369847,0.20153920153920155,3.0004564211153806,0.922077922077922,0.922077922077922,0.06493506493506493,0.06493506493506493,0.03896103896103896,0.8129951365767965,0.45258256382197715,0.8816989509353991,1.848008997807017,8.213121491876166,4.259009844816577,4.000628998881021,,False,
confounded,1,pooled_aamas_union,source3_heavy,union,3.429965877475192,4.236536210045559,2.9029976932195685,0.14285714285714285,3.16648178534738,0.948051948051948,0.948051948051948,0.03896103896103896,0.0,0.05194805194805195,0.9338533723678281,0.5544407228510408,0.985023420168805,1.5987265529308732,7.918260133971501,4.529519870822287,4.431250033667751,,False,
confounded,1,pooled_aamas_native,source3_heavy,native,3.411385273481306,4.213121319904587,2.8640246547308092,0.151996151996152,3.1377049641060575,0.922077922077922,0.922077922077922,0.06493506493506493,0.06493506493506493,0.03896103896103896,0.6909002328054306,0.4194518152501132,0.7492861679720867,1.4549921942955715,7.720650273743388,4.463701645866124,4.394675327090624,,False,
confounded,2,single_source_1,INVARIANT,union,3.446275887560968,4.321184107599304,2.0388632121800825,0.22727272727272727,2.742569549870525,0.8961038961038961,0.8961038961038961,0.0,0.012987012987012988,0.0,0.864053614756097,0.45139491612161464,0.9642337440031807,2.0256873898474637,5.954751614083932,4.242807437778391,3.504414745706211,1,False,
confounded,2,single_source_2,INVARIANT,union,2.617286566519662,3.4751313326715914,1.7507687634672593,0.28385899814471244,2.1840276649934607,0.9090909090909091,0.9090909090909091,0.05194805194805195,0.03896103896103896,0.012987012987012988,0.9399679978922182,0.5830376131632988,1.0339647976814401,2.4754386569740974,6.7453314004015965,3.6217051059536995,3.2833625859041424,2,False,
confounded,2,single_source_3,INVARIANT,union,3.3773068415095024,4.105467978326901,3.010954906868234,0.09276437847866419,3.1941308741888683,0.935064935064935,0.935064935064935,0.11688311688311688,0.05194805194805195,0.03896103896103896,0.740075848076078,0.40783272531746206,0.7914700041924723,1.740312776646627,6.7453314004015965,4.728541206336394,4.668272869975166,3,False,
confounded,2,action_level_min,INVARIANT,union,2.144774601271363,3.0669243642248185,0.2669617606649179,0.3984230055658627,1.2058681809681404,0.8831168831168831,0.8831168831168831,0.05194805194805195,0.012987012987012988,0.0,0.7859287093823487,0.433200832626369,0.8899486856241301,1.824398291970659,6.7453314004015965,2.5839348918323775,1.6537228194974223,,False,
confounded,2,state_level_min,INVARIANT,union,2.254579133802243,3.1985383863566743,0.45581452383281695,0.3747680890538033,1.35519682881753,0.8701298701298701,0.8701298701298701,0.03896103896103896,0.025974025974025976,0.0,0.7633125208128378,0.40783272531746206,0.8772397627252018,1.920614916613772,5.954751614083932,2.675110555070622,1.7895485130645687,,False,286.7558648142074
confounded,2,best_single_source_posthoc,INVARIANT,union,3.043088649177936,3.9410057950651662,2.074272116483609,0.21706864564007422,2.5586803828307727,0.7792207792207793,0.7792207792207793,0.06493506493506493,0.06493506493506493,0.0,0.4552556550451288,0.09733095855403917,0.5842447573079154,1.0515582401789012,5.954751614083932,3.9197509820349463,3.619035450487978,,True,
confounded,2,pooled_aamas_union,balanced,union,3.186033453988702,4.051395398899919,2.5604797151402616,0.1614100185528757,2.8732565845644813,0.922077922077922,0.922077922077922,0.06493506493506493,0.025974025974025976,0.0,0.8887073073460439,0.43003787688651585,0.963809333318949,2.0962965600165617,6.7453314004015965,4.467903557764566,4.0741602635573955,,False,
confounded,2,pooled_aamas_native,balanced,native,3.2166671279458967,4.083651372462009,2.498550250107843,0.15103415103415102,2.85760868902687,0.922077922077922,0.922077922077922,0.025974025974025976,0.03896103896103896,0.025974025974025976,0.7933157488900592,0.45339644721616423,0.8603565164018951,2.0129462301351175,7.993998549868081,4.578738001526825,4.197191486858626,,False,
confounded,2,pooled_aamas_union,source1_heavy,union,3.1601249554982815,4.099010721722128,2.595467918364521,0.14517625231910947,2.8777964369314013,0.935064935064935,0.935064935064935,0.025974025974025976,0.025974025974025976,0.0,0.8755957364692355,0.4920779399382127,0.9364009959462657,2.068543995549056,6.7453314004015965,4.388749091796811,4.070538473515793,,False,
confounded,2,pooled_aamas_native,source1_heavy,native,3.219994250735821,4.238664652549429,2.530848719144629,0.14381914381914382,2.875421484940225,0.961038961038961,0.961038961038961,0.03896103896103896,0.06493506493506493,0.012987012987012988,0.7258348493287332,0.4611436930559307,0.7552605864636819,1.5173356679915286,8.145698500899869,4.476010153357219,4.150664921366546,,False,
confounded,2,pooled_aamas_union,source3_heavy,union,3.264375105926653,4.069272788953637,2.7224242615568937,0.1331168831168831,2.9933996837417736,0.9090909090909091,0.9090909090909091,0.07792207792207792,0.025974025974025976,0.012987012987012988,0.8283623112348197,0.4771742691136467,0.9111985423583018,1.8805747441990779,6.7453314004015965,4.666739350376817,4.417987757533535,,False,
confounded,2,pooled_aamas_native,source3_heavy,native,3.301441617954979,4.123017225880447,2.6037939272338892,0.1370851370851371,2.9526177725944343,0.9090909090909091,0.9090909090909091,0.012987012987012988,0.05194805194805195,0.0,0.7881856504109211,0.46978055614897585,0.8670042154520132,1.679285866835836,8.20408026052263,4.706655140939458,4.471389269230196,,False,
independent_latents,0,single_source_1,INVARIANT,union,3.797867366597002,5.230990512608447,3.464272613051145,0.08905380333951762,3.631069989824074,0.922077922077922,0.922077922077922,0.012987012987012988,0.012987012987012988,0.03896103896103896,0.7936671622824373,0.636460281785503,0.8607376267006713,1.6056507408272427,4.452920205339183,5.453940567442877,5.3380862885550435,1,False,
independent_latents,0,single_source_2,INVARIANT,union,3.7521202890117307,4.479612955555579,3.4004789292971735,0.10946196660482375,3.5762996091544523,0.922077922077922,0.922077922077922,0.03896103896103896,0.05194805194805195,0.012987012987012988,0.8284352687551446,0.6620858300867098,0.8984438830161428,1.844233396779496,3.329853805701646,5.381908122880271,5.180851658733959,2,False,
independent_latents,0,single_source_3,INVARIANT,union,4.146060294220014,5.1201368144247175,3.422085694985632,0.13868274582560297,3.784072994602823,0.935064935064935,0.935064935064935,0.06493506493506493,0.03896103896103896,0.03896103896103896,0.77424204165971,0.34162594007256075,0.8280088501083009,1.8865494709811406,6.6309053006582985,6.8552725420941005,6.819366834498203,3,False,
independent_latents,0,action_level_min,INVARIANT,union,2.435676813103822,3.2109533451556294,1.2797311779448375,0.2560296846011132,1.8577039955243295,0.8961038961038961,0.8961038961038961,0.05194805194805195,0.025974025974025976,0.025974025974025976,0.6810719636939011,0.38183828609032844,0.7600368290497157,1.3194175283613963,5.601596811821366,3.729456907229426,3.4868527531799276,,False,
independent_latents,0,state_level_min,INVARIANT,union,2.675601643632414,3.473986992680486,1.7324697691239817,0.20732838589981448,2.204035706378198,0.9090909090909091,0.9090909090909091,0.03896103896103896,0.025974025974025976,0.012987012987012988,0.8310094163695494,0.6519225148913392,0.9141103580065043,1.7410543048899858,5.601596811821366,4.038541419904757,3.7959372658552573,,False,288.7628036516489
independent_latents,0,best_single_source_posthoc,INVARIANT,union,4.272587949611621,5.690505394427524,3.630581243667386,0.14007421150278293,3.9515845966395027,0.8181818181818182,0.8181818181818182,0.03896103896103896,0.03896103896103896,0.025974025974025976,0.4058724256138781,0.1669338391266706,0.49606629797251767,0.9365366313065923,3.220593006391539,6.15714666449549,6.005386678011759,,True,
independent_latents,0,pooled_aamas_union,balanced,union,3.0121032816142876,3.99877827112956,2.82053783293603,0.09044526901669758,2.9163205572751587,0.935064935064935,0.935064935064935,0.07792207792207792,0.05194805194805195,0.012987012987012988,0.9738085094872885,0.5940758651165083,1.0414341004239056,2.1806269332183663,6.6309053006582985,4.429903918323124,4.4135314255599365,,False,
independent_latents,0,pooled_aamas_native,balanced,native,3.010067801390432,3.9839427881046303,2.809635422570873,0.08465608465608465,2.9098516119806526,0.948051948051948,0.948051948051948,0.06493506493506493,0.03896103896103896,0.025974025974025976,0.9794565690515985,0.49971841680974194,1.033125422150316,2.396552073126009,8.312712398942779,4.441913527201221,4.416646588400889,,False,
independent_latents,0,pooled_aamas_union,source1_heavy,union,3.0266651664042463,3.93357830466049,2.767363981691064,0.10482374768089053,2.897014574047655,0.935064935064935,0.935064935064935,0.05194805194805195,0.03896103896103896,0.025974025974025976,1.0213970950164672,0.6042366061127495,1.0923274488370551,2.2298623496418144,6.803374433282727,4.499982544793507,4.479366823263881,,False,
independent_latents,0,pooled_aamas_native,source1_heavy,native,2.894648077694405,3.749705643096938,2.607691908937749,0.10774410774410774,2.751169993316077,0.948051948051948,0.948051948051948,0.06493506493506493,0.03896103896103896,0.03896103896103896,0.9188816250655074,0.4841862298027877,0.9692313031512886,2.178590434159242,8.158030435582475,4.366981937133816,4.317784168088181,,False,
independent_latents,0,pooled_aamas_union,source3_heavy,union,3.039574105273327,4.031378724750549,2.8584438301749544,0.09044526901669758,2.9490089677241413,0.948051948051948,0.948051948051948,0.07792207792207792,0.03896103896103896,0.03896103896103896,0.9442850584930378,0.6273008186934135,0.9960267055337523,2.1806269332183663,6.6309053006582985,4.477004286441498,4.472783356735984,,False,
independent_latents,0,pooled_aamas_native,source3_heavy,native,2.9615203173493114,3.8742906285504444,2.7729815507280726,0.08561808561808562,2.8672509340386925,0.974025974025974,0.974025974025974,0.06493506493506493,0.05194805194805195,0.012987012987012988,0.9602883005091881,0.5083546375419132,0.9858959885227665,2.0887376509128455,8.249876625644731,4.303027399016424,4.293447825447544,,False,
