condition,method,composition,candidate_set,model_seed_count,do_mae_mean,do_mae_seed_sd,do_rmse_mean,do_rmse_seed_sd,signed_error_mean,signed_error_seed_sd,underestimation_fraction_mean,underestimation_fraction_seed_sd,mean_positive_slack_mean,mean_positive_slack_seed_sd,top_action_disagreement_mean,top_action_disagreement_seed_sd,strict_flip_mean,strict_flip_seed_sd,selected_action_0_fraction_mean,selected_action_0_fraction_seed_sd,selected_action_1_fraction_mean,selected_action_1_fraction_seed_sd,selected_action_2_fraction_mean,selected_action_2_fraction_seed_sd,regret_mean_mean,regret_mean_seed_sd,regret_median_mean,regret_median_seed_sd,regret_conditional_mean_mean,regret_conditional_mean_seed_sd,regret_p90_mean,regret_p90_seed_sd,regret_max_mean,regret_max_seed_sd,phi_mae_mean,phi_mae_seed_sd,phi_signed_bias_mean,phi_signed_bias_seed_sd
confounded,pooled_aamas_union,source3_heavy,union,3,3.1573893640810162,0.3389774404109508,4.015905538361516,0.2515957254557083,2.7161829270533793,0.19001232738944018,0.1331168831168831,0.009740259740259737,2.9367861455671975,0.26261961562286334,0.9307359307359307,0.01983799002145386,0.9307359307359307,0.01983799002145386,0.051948051948051945,0.02249416633206334,0.012987012987012986,0.012987012987012988,0.030303030303030304,0.019837990021453856,0.9218218677154905,0.0880624023812675,0.5447403429519019,0.06327602325984003,0.9897140051241949,0.0809627255530669,1.9122810645897486,0.33055012076982837,7.402316803157437,0.5990493327362089,4.405510128358175,0.34060841329760505,4.285533833959761,0.24099364121695932
confounded,pooled_aamas_native,source3_heavy,native,3,3.1909095790845488,0.2918843802940371,4.078699342393217,0.1612161293801795,2.6926277081894305,0.14846721899820106,0.135321468654802,0.01762283187973572,2.94176864363699,0.20157996846489615,0.9264069264069263,0.01983799002145386,0.9264069264069263,0.01983799002145386,0.05627705627705628,0.039675980042907705,0.051948051948051945,0.012987012987012984,0.021645021645021644,0.019837990021453852,0.8178983052934932,0.1441693524104333,0.47257218658262445,0.05456976723645162,0.8814342169182517,0.13992222240461807,1.828134358042367,0.4657602342185859,8.088943356228848,0.32633138976630366,4.443422636683205,0.27393554694766203,4.337283092005511,0.17022041201785584
independent_latents,single_source_1,INVARIANT,union,1,3.797867366597002,0.0,5.230990512608447,0.0,3.464272613051145,0.0,0.08905380333951762,0.0,3.631069989824074,0.0,0.922077922077922,0.0,0.922077922077922,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.03896103896103896,0.0,0.7936671622824373,0.0,0.636460281785503,0.0,0.8607376267006713,0.0,1.6056507408272427,0.0,4.452920205339183,0.0,5.453940567442877,0.0,5.3380862885550435,0.0
independent_latents,single_source_2,INVARIANT,union,1,3.7521202890117307,0.0,4.479612955555579,0.0,3.4004789292971735,0.0,0.10946196660482375,0.0,3.5762996091544523,0.0,0.922077922077922,0.0,0.922077922077922,0.0,0.03896103896103896,0.0,0.05194805194805195,0.0,0.012987012987012988,0.0,0.8284352687551446,0.0,0.6620858300867098,0.0,0.8984438830161428,0.0,1.844233396779496,0.0,3.329853805701646,0.0,5.381908122880271,0.0,5.180851658733959,0.0
independent_latents,single_source_3,INVARIANT,union,1,4.146060294220014,0.0,5.1201368144247175,0.0,3.422085694985632,0.0,0.13868274582560297,0.0,3.784072994602823,0.0,0.935064935064935,0.0,0.935064935064935,0.0,0.06493506493506493,0.0,0.03896103896103896,0.0,0.03896103896103896,0.0,0.77424204165971,0.0,0.34162594007256075,0.0,0.8280088501083009,0.0,1.8865494709811406,0.0,6.6309053006582985,0.0,6.8552725420941005,0.0,6.819366834498203,0.0
independent_latents,action_level_min,INVARIANT,union,1,2.435676813103822,0.0,3.2109533451556294,0.0,1.2797311779448375,0.0,0.2560296846011132,0.0,1.8577039955243295,0.0,0.8961038961038961,0.0,0.8961038961038961,0.0,0.05194805194805195,0.0,0.025974025974025976,0.0,0.025974025974025976,0.0,0.6810719636939011,0.0,0.38183828609032844,0.0,0.7600368290497157,0.0,1.3194175283613963,0.0,5.601596811821366,0.0,3.729456907229426,0.0,3.4868527531799276,0.0
independent_latents,state_level_min,INVARIANT,union,1,2.675601643632414,0.0,3.473986992680486,0.0,1.7324697691239817,0.0,0.20732838589981448,0.0,2.204035706378198,0.0,0.9090909090909091,0.0,0.9090909090909091,0.0,0.03896103896103896,0.0,0.025974025974025976,0.0,0.012987012987012988,0.0,0.8310094163695494,0.0,0.6519225148913392,0.0,0.9141103580065043,0.0,1.7410543048899858,0.0,5.601596811821366,0.0,4.038541419904757,0.0,3.7959372658552573,0.0
independent_latents,best_single_source_posthoc,INVARIANT,union,1,4.272587949611621,0.0,5.690505394427524,0.0,3.630581243667386,0.0,0.14007421150278293,0.0,3.9515845966395027,0.0,0.8181818181818182,0.0,0.8181818181818182,0.0,0.03896103896103896,0.0,0.03896103896103896,0.0,0.025974025974025976,0.0,0.4058724256138781,0.0,0.1669338391266706,0.0,0.49606629797251767,0.0,0.9365366313065923,0.0,3.220593006391539,0.0,6.15714666449549,0.0,6.005386678011759,0.0
independent_latents,pooled_aamas_union,balanced,union,1,3.0121032816142876,0.0,3.99877827112956,0.0,2.82053783293603,0.0,0.09044526901669758,0.0,2.9163205572751587,0.0,0.935064935064935,0.0,0.935064935064935,0.0,0.07792207792207792,0.0,0.05194805194805195,0.0,0.012987012987012988,0.0,0.9738085094872885,0.0,0.5940758651165083,0.0,1.0414341004239056,0.0,2.1806269332183663,0.0,6.6309053006582985,0.0,4.429903918323124,0.0,4.4135314255599365,0.0
independent_latents,pooled_aamas_native,balanced,native,1,3.010067801390432,0.0,3.9839427881046303,0.0,2.809635422570873,0.0,0.08465608465608465,0.0,2.9098516119806526,0.0,0.948051948051948,0.0,0.948051948051948,0.0,0.06493506493506493,0.0,0.03896103896103896,0.0,0.025974025974025976,0.0,0.9794565690515985,0.0,0.49971841680974194,0.0,1.033125422150316,0.0,2.396552073126009,0.0,8.312712398942779,0.0,4.441913527201221,0.0,4.416646588400889,0.0
independent_latents,pooled_aamas_union,source1_heavy,union,1,3.0266651664042463,0.0,3.93357830466049,0.0,2.767363981691064,0.0,0.10482374768089053,0.0,2.897014574047655,0.0,0.935064935064935,0.0,0.935064935064935,0.0,0.05194805194805195,0.0,0.03896103896103896,0.0,0.025974025974025976,0.0,1.0213970950164672,0.0,0.6042366061127495,0.0,1.0923274488370551,0.0,2.2298623496418144,0.0,6.803374433282727,0.0,4.499982544793507,0.0,4.479366823263881,0.0
