family,subset,metric,action,condition,mixture,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_valid_repetitions,n_all,n_pair_unclipped,clipping_rate,reward_drift_all,reward_drift_clean,delta_drift_all,delta_drift_clean,all_anchors,strict_unclipped_anchors,any_clipping_anchors
action_specific,all,delta_u_effect_l2,base,do_oracle,none,anchor_id,2000,1000,2048,0.7855285279109208,0.127648573949185,0.7785075075178534,0.5948665158396851,0.7296019856277397,0.915840106551705,0.9428948967956798,1.1949658599325035,0.7796933763876001,0.791375432729744,,,,,,,,,,,
action_specific,all,reward_drift,base,confounded,heavy_contrast,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_drift,base,independent_latents,heavy_contrast,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,delta_drift,base,confounded,heavy_contrast,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,delta_drift,base,independent_latents,heavy_contrast,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_7_over_9_identity_residual_abs,base,confounded,heavy_contrast,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,delta_7_over_9_identity_residual_l2,base,confounded,heavy_contrast,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_do_error_abs,base,confounded,logger1_heavy,anchor_id,2000,1000,2048,3.7947076036992655e-17,1.2789546866721796e-15,0.0,0.0,0.0,0.0,0.0,5.595524044110789e-14,1.734723475976807e-18,1.0062480362837961e-16,,,,,,,,,,,
action_specific,all,delta_do_error_l2,base,confounded,logger1_heavy,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_do_error_abs,base,confounded,logger12_midpoint,anchor_id,2000,1000,2048,3.7947076036992655e-17,1.2789546866721796e-15,0.0,0.0,0.0,0.0,0.0,5.595524044110789e-14,1.734723475976807e-18,1.0062480362837961e-16,,,,,,,,,,,
action_specific,all,delta_do_error_l2,base,confounded,logger12_midpoint,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,all,reward_do_error_abs,base,confounded,logger2_heavy,anchor_id,2000,1000,2048,3.7947076036992655e-17,1.2789546866721796e-15,0.0,0.0,0.0,0.0,0.0,5.595524044110789e-14,1.734723475976807e-18,1.0062480362837961e-16,,,,,,,,,,,
action_specific,all,delta_do_error_l2,base,confounded,logger2_heavy,anchor_id,2000,1000,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_u_effect_abs,base,do_oracle,none,anchor_id,2000,1001,1400,0.01115046061457288,0.0067033630848503676,0.009100663409066234,0.004163495709583465,0.006275569873010145,0.017857874977185162,0.021295091314183348,0.030497573449334237,0.010810331875156204,0.01149104457401389,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_u_effect_l2,base,do_oracle,none,anchor_id,2000,1001,1400,0.8022720646202018,0.12534573098389576,0.7820024628617743,0.6462792005337428,0.7323795645293322,0.9389295884073778,0.9440547805203232,1.1949658599325035,0.7956457957381594,0.808725490948203,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_drift,base,confounded,heavy_contrast,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_drift,base,independent_latents,heavy_contrast,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_drift,base,confounded,heavy_contrast,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,delta_drift,base,independent_latents,heavy_contrast,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
action_specific,action_pair_unclipped,reward_7_over_9_identity_residual_abs,base,confounded,heavy_contrast,anchor_id,2000,1001,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
