kappa,lambda_reward,condition,mixture,seed,bank_scope,calibration_replicate,calibration_budget,selection,tied_candidate_count,selected_candidate_oracle_rank,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus
0.0,0.0,confounded,logger12_balanced,3,within_seed,0,8,hard_exact_argmax,2,1,0.009943318533361901,0.015420630902288903,0.0005022289381775282,0.313915857605178,0.313915857605178,0.0011340400567046458,0.0011340400567046458,0.003612560593007583,0.0044409013149087065,0.009398899416996898,0.09414758633357274,0.6116504854368932,0.11326860841423948,0.2750809061488673,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,4,within_seed,0,8,hard_exact_argmax,1,1,0.017677301927028884,0.02401101599089446,0.01061190954349927,0.37540453074433655,0.37540453074433655,0.001893701111312856,0.001893701111312856,0.005044427960307522,0.005909538214250618,0.01638699095829299,0.09867982666665136,0.5598705501618123,0.09061488673139159,0.34951456310679613,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,-1,global,0,16,hard_exact_argmax,2,19,0.010931281206868562,0.017572342844110453,0.0011191817588371343,0.27184466019417475,0.27184466019417475,0.001080214466751095,0.001080214466751095,0.003973646074120099,0.004452103047883859,0.01417503823033428,0.13920592658695335,0.6472491909385113,0.08414239482200647,0.2686084142394822,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,0,within_seed,0,16,hard_exact_argmax,2,1,0.010410610190644041,0.015391688265553894,-0.001083464391560933,0.3106796116504854,0.3106796116504854,0.0011464386266712152,0.0011464386266712152,0.003690099329597974,0.004602083218599782,0.012391259752272621,0.12122198872459014,0.6019417475728155,0.11326860841423948,0.284789644012945,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,1,within_seed,0,16,hard_exact_argmax,1,5,0.010412014794755333,0.01585883557644277,0.00032436393708118477,0.27184466019417475,0.27184466019417475,0.0010881565585606756,0.0010881565585606756,0.004002861626133914,0.0042369118699525634,0.015054098040339525,0.15082379638497637,0.6440129449838188,0.09385113268608414,0.2621359223300971,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,2,within_seed,0,16,hard_exact_argmax,2,1,0.010931281206868562,0.017572342844110453,0.0011191817588371343,0.27184466019417475,0.27184466019417475,0.001080214466751095,0.001080214466751095,0.003973646074120099,0.004452103047883859,0.01417503823033428,0.13920592658695335,0.6472491909385113,0.08414239482200647,0.2686084142394822,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,3,within_seed,0,16,hard_exact_argmax,2,1,0.009943318533361901,0.015420630902288903,0.0005022289381775282,0.313915857605178,0.313915857605178,0.0011340400567046458,0.0011340400567046458,0.003612560593007583,0.0044409013149087065,0.009398899416996898,0.09414758633357274,0.6116504854368932,0.11326860841423948,0.2750809061488673,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,4,within_seed,0,16,hard_exact_argmax,3,3,0.03953435138456801,0.04322490634294216,0.03746039416200664,0.28802588996763756,0.28802588996763756,0.001187434696682726,0.001187434696682726,0.004122666531179352,0.004497402243246284,0.014126174632168809,0.1409611608577584,0.6343042071197411,0.0744336569579288,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,-1,global,0,32,hard_exact_argmax,2,19,0.010931281206868562,0.017572342844110453,0.0011191817588371343,0.27184466019417475,0.27184466019417475,0.001080214466751095,0.001080214466751095,0.003973646074120099,0.004452103047883859,0.01417503823033428,0.13920592658695335,0.6472491909385113,0.08414239482200647,0.2686084142394822,0.9029126213592233,0.006472491909385114,0.09061488673139159
0.0,0.0,confounded,logger12_balanced,0,within_seed,0,32,hard_exact_argmax,2,1,0.010410610190644041,0.015391688265553894,-0.001083464391560933,0.3106796116504854,0.3106796116504854,0.0011464386266712152,0.0011464386266712152,0.003690099329597974,0.004602083218599782,0.012391259752272621,0.12122198872459014,0.6019417475728155,0.11326860841423948,0.284789644012945,0.9029126213592233,0.006472491909385114,0.09061488673139159
