kappa,lambda_reward,condition,method,comparator,metric,n_model_seeds,paired_difference_mean,paired_difference_sd,ci95_low,ci95_high,exact_two_sided_sign_flip_p,inferential_unit
0.0,0.05,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.014575763460753519,0.0020417348919668007,-0.01711050574816699,-0.012041021173340044,0.0625,model_seed
0.0,0.05,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.6006472491909385,0.036870486391265,-0.6464206654072893,-0.5548738329745877,0.0625,model_seed
0.0,0.05,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.005356997150775145,0.00018942652686828156,-0.005592163542797946,-0.005121830758752343,0.0625,model_seed
0.0,0.05,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,do_mae,5,0.0006186457815171274,0.0014582781219916775,-0.001191755381320185,0.00242904694435444,0.4375,model_seed
0.0,0.05,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,top_set_disagreement,5,0.07766990291262135,0.018163385372689047,0.05512069676059616,0.10021910906464654,0.0625,model_seed
0.0,0.05,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,mean_regret,5,0.00042375277028960077,7.778044845577645e-05,0.0003271910704281055,0.000520314470151096,0.0625,model_seed
0.0,0.05,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.0030845327877392107,0.0017580905637935202,-0.005267140585981458,-0.0009019249894969632,0.0625,model_seed
0.0,0.05,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.025889967637540444,0.03268448200117177,-0.01468667088518593,0.06646660616026681,0.1875,model_seed
0.0,0.05,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,6.46739203668695e-05,0.00018384120791276303,-0.00016355849398775094,0.00029290633472148995,0.5,model_seed
0.0,0.1,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.03337798378883499,0.0014320421638676045,-0.03515581392946489,-0.03160015364820509,0.0625,model_seed
0.0,0.1,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,-0.6297734627831715,0.03367873330937913,-0.6715844294476879,-0.587962496118655,0.0625,model_seed
0.0,0.1,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-0.005493336806753289,0.00014032911606016543,-0.005667550484558644,-0.005319123128947934,0.0625,model_seed
0.0,0.1,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,do_mae,5,-0.00027573888171215124,0.0007625290367663085,-0.0012223919474342872,0.0006709141840099847,0.5,model_seed
0.0,0.1,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,top_set_disagreement,5,0.06278317152103559,0.03679940383741055,0.017098001803219486,0.10846834123885168,0.0625,model_seed
0.0,0.1,confounded,public_residual_init_nll_best,V6_oracle_initialized_joint,mean_regret,5,0.00031842362299810934,0.00019429677080770127,7.721099386987464e-05,0.0005596362521263441,0.125,model_seed
0.0,0.1,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,-0.004220026797557361,0.0013168461663550437,-0.0058548451459194675,-0.002585208449195255,0.0625,model_seed
0.0,0.1,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.0,0.09035445701173925,-0.11217189065291361,0.11217189065291361,1.0,model_seed
0.0,0.1,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,-7.100917234116458e-05,0.00033746131530689805,-0.0004899555642748315,0.00034793721959250237,0.625,model_seed
0.3,0.0,confounded,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,0.0041166406104956215,0.009787684510528416,-0.008034426563950078,0.016267707784941323,0.6875,model_seed
0.3,0.0,confounded,public_residual_init_nll_best,V0_random_init_mechanism,top_set_disagreement,5,0.03754045307443365,0.03398828699835889,-0.0046548136423417985,0.0797357197912091,0.125,model_seed
0.3,0.0,confounded,public_residual_init_nll_best,V0_random_init_mechanism,mean_regret,5,0.0002491472543702941,0.0001258750997689223,9.287773104872007e-05,0.0004054167776918682,0.0625,model_seed
0.3,0.0,independent_latents,public_residual_init_nll_best,V0_random_init_mechanism,do_mae,5,0.000675430277248833,0.0023759348680120443,-0.0022742095637439054,0.0036250701182415717,0.5625,model_seed
