kappa,lambda_reward,condition,mixture,seed,method,validation_nll,do_mae,do_rmse,signed_bias,top_set_disagreement,strict_flip,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,top_1pct_regret_contribution,predicted_top_fraction_minus,predicted_top_fraction_base,predicted_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus,prior_p_z1,reward_mode_separation,behavior_separation,posterior_entropy,posterior_effective_usage,latent_collapse,behavior_table_mae,label_permutation,posterior_u_accuracy,posterior_label_flipped,gap_closed_do_mae,gap_closed_rank_error,gap_closed_regret
0.0,0.002,confounded,logger12_balanced,3,source_shuffle_initialization,-1.2808839082717896,0.010112117833221298,0.015455254363733606,0.0009694202481227031,0.3365695792880259,0.3365695792880259,0.0011704634847843737,0.0011704634847843737,0.003477627084599726,0.004390445430639289,0.013251966247791458,0.0953957284943552,0.5728155339805825,0.13268608414239483,0.29449838187702265,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.7692750692367554,0.009121213178478412,0.055223554372787476,0.5116289854049683,1.6680061407006166,False,0.3444450320469008,"(1, 0)",0.5019417475728155,True,0.3492181189325513,-3.6666666666666625,-3.5800206246150057
0.0,0.002,confounded,logger12_balanced,3,no_staged_training,-1.5538371801376343,0.009640158122097736,0.014570879062815905,-0.00043889125170181977,0.30097087378640774,0.30097087378640774,0.0011196834339686334,0.0011196834339686334,0.0037202385064119114,0.004157616671132834,0.013251966247791458,0.11543860642150292,0.6084142394822006,0.10032362459546926,0.2912621359223301,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8362160921096802,0.00732336731456266,0.020362993702292442,0.447034627199173,1.5636684438076203,False,0.1265457079601015,"(1, 0)",0.5003236245954693,True,-0.02133531367365145,-1.8333333333333297,-2.6739189775813488
0.0,0.002,confounded,logger12_balanced,4,source_shuffle_initialization,-1.1824634075164795,0.03626985105200099,0.040100833951297675,0.03422795741910001,0.33980582524271846,0.33980582524271846,0.0015073827836685455,0.0015073827836685455,0.004436012191938863,0.0052695969770449646,0.014126174632168809,0.11476903145760356,0.56957928802589,0.07766990291262135,0.35275080906148865,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.1994287669658661,0.16655638307887705,0.031581442803144455,0.010093605145812035,1.0101447174024645,False,0.34993225302961134,"(0, 1)",0.5006472491909385,False,62.75732941627604,-1.2857142857142903,-5.332620669726152
0.0,0.002,confounded,logger12_balanced,4,no_staged_training,-1.6036382913589478,0.011762381790644823,0.01752038392451232,0.004560915251555346,0.36893203883495146,0.36893203883495146,0.0015397530973701432,0.0015397530973701432,0.0041735412902401256,0.005272923765303527,0.014126174632168809,0.11149627425972888,0.540453074433657,0.10679611650485436,0.35275080906148865,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.8947014212608337,0.009206374858233505,0.004146356601268053,0.3210712671279907,1.3786038265282239,False,0.13195127250702568,"(1, 0)",0.5,False,3.1027188641854972,-2.5714285714285783,-5.8265034916614304
0.0,0.005,confounded,logger12_balanced,0,source_shuffle_initialization,-1.263217568397522,0.010842274989014637,0.016213134953202875,0.0007014773833811945,0.459546925566343,0.459546925566343,0.0021526921728467012,0.0021526921728467012,0.004684379446546694,0.006356437018625272,0.014961950454980055,0.08376586109277603,0.44983818770226536,0.10679611650485436,0.44336569579288027,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.24706590175628662,0.008800266041798609,0.030042190104722977,0.5225625038146973,1.6863433791426714,False,0.351310695707798,"(0, 1)",0.5016181229773463,False,1.2319452138997495,0.2580645161290324,0.011002944616184826
0.0,0.005,confounded,logger12_balanced,0,no_staged_training,-1.6525976657867432,0.011315862456059846,0.01620432870556028,-0.0006959978946056243,0.459546925566343,0.459546925566343,0.001972086363071277,0.001972086363071277,0.004291371029500173,0.0058149346713247665,0.014334114235150075,0.08571016807971066,0.459546925566343,0.09061488673139159,0.44983818770226536,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.5961028337478638,0.010590905433441187,0.007928719744086266,0.6347822546958923,1.886611295980148,False,0.13275679798866746,"(0, 1)",0.5080906148867314,False,0.7784304557367392,0.2580645161290324,0.22500156527984103
0.0,0.005,confounded,logger12_balanced,1,source_shuffle_initialization,-1.2606617212295532,0.01006707732900699,0.01482644917620772,0.0009943159032405303,0.4886731391585761,0.4886731391585761,0.002218218775450549,0.002218218775450549,0.004539268884862381,0.0058618702530819355,0.015054098040339525,0.08469490426943868,0.42071197411003236,0.1553398058252427,0.42394822006472493,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.2477995604276657,0.009484613358437694,0.01750563457608223,0.5202134251594543,1.6823866750293863,False,0.3541468809048334,"(0, 1)",0.5019417475728155,False,0.40496520480864656,-0.13333333333333344,-0.22506582029513997
0.0,0.005,confounded,logger12_balanced,1,no_staged_training,-1.4785715341567993,0.01030120110908027,0.01592777211853513,-0.0015674976817368182,0.4563106796116505,0.4563106796116505,0.0020274365886838847,0.0020274365886838847,0.0044431057156263856,0.006287980844527041,0.014126174632168809,0.08462554025377328,0.45307443365695793,0.12297734627831715,0.42394822006472493,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.7305235862731934,0.009706650181828229,0.028107231482863426,0.569298505783081,1.767027057298393,False,0.1239642913363604,"(1, 0)",0.5006472491909385,False,-0.1261402598567204,0.19999999999999987,0.16011305092847622
0.0,0.005,confounded,logger12_balanced,2,source_shuffle_initialization,-1.167895793914795,0.014144057943644702,0.021662394843885973,0.003442011666819957,0.4919093851132686,0.4919093851132686,0.0024374612552772327,0.0024374612552772327,0.004955102157109637,0.006320875703269733,0.015715033001301393,0.07725327333342658,0.4336569579288026,0.11650485436893204,0.44983818770226536,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.4141627252101898,0.013348289433473265,0.02592288702726364,0.601010262966156,1.8239605497033964,False,0.3506125258074866,"(1, 0)",0.5233009708737864,False,2.9652209849960256,-0.6410256410256409,-1.434368488361239
0.0,0.005,confounded,logger12_balanced,2,no_staged_training,-1.4762468338012695,0.014987806288829187,0.02180644946100985,0.011057952224293347,0.5307443365695793,0.5307443365695793,0.0024866809194814127,0.0024866809194814127,0.004685270756827784,0.00629485902807616,0.014560934895740285,0.07273147508184387,0.3786407766990291,0.13592233009708737,0.4854368932038835,0.9029126213592233,0.006472491909385114,0.09061488673139159,0.1407351940870285,0.010329414980155108,0.02925090305507183,0.38196688890457153,1.465163571158966,False,0.12358306576223178,"(0, 1)",0.5051779935275081,True,4.012724799828164,-0.9487179487179489,-1.5210081767302799
