kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.005,confounded,4,pooled_mlp,-1.9205772876739502
0.0,0.005,confounded,4,V0_random_init_mechanism,-1.2924330234527588
0.0,0.005,confounded,4,V7_oracle_u_aware,
0.0,0.005,confounded,4,V1_explicit_collapsed,-1.1453300714492798
0.0,0.005,confounded,4,V6_oracle_initialized_joint,-1.3907548189163208
0.0,0.01,confounded,0,public_residual_init_nll_best,-1.4867757558822632
0.0,0.01,confounded,0,source_shuffle_initialization,-1.163496732711792
0.0,0.01,confounded,0,no_staged_training,-1.5873860120773315
0.0,0.01,confounded,1,public_residual_init_nll_best,-1.4380310773849487
0.0,0.01,confounded,1,source_shuffle_initialization,-1.148122787475586
0.0,0.01,confounded,1,no_staged_training,-1.4669381380081177
0.0,0.01,confounded,2,public_residual_init_nll_best,-1.5262469053268433
0.0,0.01,confounded,2,source_shuffle_initialization,-1.2474088668823242
0.0,0.01,confounded,2,no_staged_training,-1.3744698762893677
0.0,0.01,confounded,3,public_residual_init_nll_best,-1.5025516748428345
0.0,0.01,confounded,3,source_shuffle_initialization,-1.1558250188827515
0.0,0.01,confounded,3,no_staged_training,-1.503676414489746
0.0,0.01,confounded,4,public_residual_init_nll_best,-1.455309510231018
0.0,0.01,confounded,4,source_shuffle_initialization,-1.1575652360916138
0.0,0.01,confounded,4,no_staged_training,-1.5319596529006958
0.0,0.01,confounded,-1,public_residual_init_uniform_candidate_ensemble,-1.314466707110405
0.0,0.01,confounded,0,public_residual_init_uniform_candidate_ensemble,-1.3969337821006775
0.0,0.01,confounded,1,public_residual_init_uniform_candidate_ensemble,-1.2836825489997865
0.0,0.01,confounded,2,public_residual_init_uniform_candidate_ensemble,-1.10167975127697
0.0,0.01,confounded,3,public_residual_init_uniform_candidate_ensemble,-1.379613208770752
0.0,0.01,confounded,4,public_residual_init_uniform_candidate_ensemble,-1.410424244403839
0.0,0.01,confounded,0,pooled_mlp,-1.8336983919143677
0.0,0.01,confounded,0,V0_random_init_mechanism,-1.188793659210205
0.0,0.01,confounded,0,V7_oracle_u_aware,
0.0,0.01,confounded,0,V1_explicit_collapsed,-1.1735341548919678
0.0,0.01,confounded,0,V6_oracle_initialized_joint,-1.3894952535629272
0.0,0.01,confounded,1,pooled_mlp,-1.8774391412734985
0.0,0.01,confounded,1,V0_random_init_mechanism,-1.191260576248169
0.0,0.01,confounded,1,V7_oracle_u_aware,
0.0,0.01,confounded,1,V1_explicit_collapsed,-1.1163578033447266
0.0,0.01,confounded,1,V6_oracle_initialized_joint,-1.4693586826324463
0.0,0.01,confounded,2,pooled_mlp,-1.883331298828125
0.0,0.01,confounded,2,V0_random_init_mechanism,-1.1924939155578613
0.0,0.01,confounded,2,V7_oracle_u_aware,
0.0,0.01,confounded,2,V1_explicit_collapsed,-0.8245603442192078
0.0,0.01,confounded,2,V6_oracle_initialized_joint,-1.3994715213775635
0.0,0.01,confounded,3,pooled_mlp,-1.892388105392456
0.0,0.01,confounded,3,V0_random_init_mechanism,-1.2390402555465698
0.0,0.01,confounded,3,V7_oracle_u_aware,
0.0,0.01,confounded,3,V1_explicit_collapsed,-1.09068763256073
0.0,0.01,confounded,3,V6_oracle_initialized_joint,-1.4997555017471313
0.0,0.01,confounded,4,pooled_mlp,-1.8884899616241455
0.0,0.01,confounded,4,V0_random_init_mechanism,-1.2147833108901978
0.0,0.01,confounded,4,V7_oracle_u_aware,
0.0,0.01,confounded,4,V1_explicit_collapsed,-1.141304612159729
0.0,0.01,confounded,4,V6_oracle_initialized_joint,-1.4188014268875122
0.0,0.02,confounded,0,public_residual_init_nll_best,-1.1908752918243408
0.0,0.02,confounded,0,source_shuffle_initialization,-0.8620010018348694
0.0,0.02,confounded,0,no_staged_training,-1.2811483144760132
0.0,0.02,confounded,1,public_residual_init_nll_best,-1.27422034740448
0.0,0.02,confounded,1,source_shuffle_initialization,-0.9361876845359802
0.0,0.02,confounded,1,no_staged_training,-1.24233078956604
0.0,0.02,confounded,2,public_residual_init_nll_best,-1.2652721405029297
0.0,0.02,confounded,2,source_shuffle_initialization,-0.9216387271881104
0.0,0.02,confounded,2,no_staged_training,-1.2076114416122437
0.0,0.02,confounded,3,public_residual_init_nll_best,-1.2522176504135132
