kappa,lambda_reward,condition,seed,method,latent_collapse,reward_mode_separation,behavior_separation,posterior_entropy,posterior_u_accuracy
0.0,0.02,confounded,0,V0_random_init_mechanism,True,0.007075591535156768,0.1799910068511963,0.03563781455159187,0.5
0.0,0.02,confounded,0,V7_oracle_u_aware,,,,,1.0
0.0,0.02,confounded,0,V1_explicit_collapsed,,,,,
0.0,0.02,confounded,0,V6_oracle_initialized_joint,False,0.02701353198290228,0.4426816403865814,0.40959468483924866,0.7411003236245954
0.0,0.02,confounded,1,pooled_mlp,,,,,
0.0,0.02,confounded,1,V0_random_init_mechanism,True,0.007848735692814416,0.18506848812103271,0.03590494021773338,0.5
0.0,0.02,confounded,1,V7_oracle_u_aware,,,,,1.0
0.0,0.02,confounded,1,V1_explicit_collapsed,,,,,
0.0,0.02,confounded,1,V6_oracle_initialized_joint,False,0.022683144854391876,0.4407806396484375,0.4290071427822113,0.7103559870550162
0.0,0.02,confounded,2,pooled_mlp,,,,,
0.0,0.02,confounded,2,V0_random_init_mechanism,True,0.007766015696153699,0.14940479397773743,0.036041196435689926,0.5
0.0,0.02,confounded,2,V7_oracle_u_aware,,,,,1.0
0.0,0.02,confounded,2,V1_explicit_collapsed,,,,,
0.0,0.02,confounded,2,V6_oracle_initialized_joint,False,0.03705599930709643,0.4171768128871918,0.2368043065071106,0.9048543689320389
0.0,0.02,confounded,3,pooled_mlp,,,,,
0.0,0.02,confounded,3,V0_random_init_mechanism,True,0.006652535135365104,0.18006595969200134,0.03570074588060379,0.5
0.0,0.02,confounded,3,V7_oracle_u_aware,,,,,1.0
0.0,0.02,confounded,3,V1_explicit_collapsed,,,,,
0.0,0.02,confounded,3,V6_oracle_initialized_joint,False,0.02459077916056768,0.4382736086845398,0.4270305335521698,0.7012944983818771
0.0,0.02,confounded,4,pooled_mlp,,,,,
0.0,0.02,confounded,4,V0_random_init_mechanism,True,0.006833321770698975,0.17632591724395752,0.035615887492895126,0.5
0.0,0.02,confounded,4,V7_oracle_u_aware,,,,,1.0
0.0,0.02,confounded,4,V1_explicit_collapsed,,,,,
0.0,0.02,confounded,4,V6_oracle_initialized_joint,False,0.011994803495808061,0.4245532155036926,0.486518532037735,0.5844660194174758
