kappa,lambda_reward,condition,seed,method,top_set_disagreement,strict_flip,calibration_budget,calibration_replicate
0.0,0.005,confounded,4,source_shuffle_initialization,0.42394822006472493,0.42394822006472493,,
0.0,0.005,confounded,4,no_staged_training,0.5080906148867314,0.5080906148867314,,
0.0,0.005,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.42718446601941745,0.42718446601941745,,
0.0,0.005,confounded,0,public_residual_init_uniform_candidate_ensemble,0.4401294498381877,0.4401294498381877,,
0.0,0.005,confounded,1,public_residual_init_uniform_candidate_ensemble,0.45307443365695793,0.45307443365695793,,
0.0,0.005,confounded,2,public_residual_init_uniform_candidate_ensemble,0.5566343042071198,0.5566343042071198,,
0.0,0.005,confounded,3,public_residual_init_uniform_candidate_ensemble,0.44983818770226536,0.44983818770226536,,
0.0,0.005,confounded,4,public_residual_init_uniform_candidate_ensemble,0.44983818770226536,0.44983818770226536,,
0.0,0.005,confounded,0,pooled_mlp,0.43042071197411,0.43042071197411,,
0.0,0.005,confounded,0,V0_random_init_mechanism,0.511326860841424,0.511326860841424,,
0.0,0.005,confounded,0,V7_oracle_u_aware,0.21035598705501618,0.21035598705501618,,
0.0,0.005,confounded,0,V1_explicit_collapsed,0.37216828478964403,0.37216828478964403,,
0.0,0.005,confounded,0,V6_oracle_initialized_joint,0.3106796116504854,0.3106796116504854,,
0.0,0.005,confounded,1,pooled_mlp,0.4336569579288026,0.4336569579288026,,
0.0,0.005,confounded,1,V0_random_init_mechanism,0.47572815533980584,0.47572815533980584,,
0.0,0.005,confounded,1,V7_oracle_u_aware,0.19741100323624594,0.19741100323624594,,
0.0,0.005,confounded,1,V1_explicit_collapsed,0.540453074433657,0.540453074433657,,
0.0,0.005,confounded,1,V6_oracle_initialized_joint,0.3786407766990291,0.3786407766990291,,
0.0,0.005,confounded,2,pooled_mlp,0.48220064724919093,0.48220064724919093,,
0.0,0.005,confounded,2,V0_random_init_mechanism,0.4110032362459547,0.4110032362459547,,
0.0,0.005,confounded,2,V7_oracle_u_aware,0.23300970873786409,0.23300970873786409,,
0.0,0.005,confounded,2,V1_explicit_collapsed,0.459546925566343,0.459546925566343,,
0.0,0.005,confounded,2,V6_oracle_initialized_joint,0.284789644012945,0.284789644012945,,
0.0,0.005,confounded,3,pooled_mlp,0.44336569579288027,0.44336569579288027,,
0.0,0.005,confounded,3,V0_random_init_mechanism,0.45307443365695793,0.45307443365695793,,
0.0,0.005,confounded,3,V7_oracle_u_aware,0.21035598705501618,0.20711974110032363,,
0.0,0.005,confounded,3,V1_explicit_collapsed,0.43042071197411,0.43042071197411,,
0.0,0.005,confounded,3,V6_oracle_initialized_joint,0.4368932038834951,0.4368932038834951,,
0.0,0.005,confounded,4,pooled_mlp,0.46601941747572817,0.46601941747572817,,
0.0,0.005,confounded,4,V0_random_init_mechanism,0.44336569579288027,0.44336569579288027,,
0.0,0.005,confounded,4,V7_oracle_u_aware,0.2459546925566343,0.2459546925566343,,
0.0,0.005,confounded,4,V1_explicit_collapsed,0.4854368932038835,0.4854368932038835,,
0.0,0.005,confounded,4,V6_oracle_initialized_joint,0.3300970873786408,0.3300970873786408,,
0.0,0.01,confounded,0,public_residual_init_nll_best,0.6634304207119741,0.6634304207119741,,
0.0,0.01,confounded,0,source_shuffle_initialization,0.6537216828478964,0.6537216828478964,,
0.0,0.01,confounded,0,no_staged_training,0.6796116504854369,0.6796116504854369,,
