kappa,lambda_reward,condition,seed,method,mean_regret,worst_tie_mean_regret,conditional_mean_regret,p90_regret,max_regret,calibration_budget,calibration_replicate
0.0,0.005,confounded,1,V7_oracle_u_aware,0.0006317222342302505,0.0006317222342302505,0.0032000355799532356,0.0029115332216084863,0.008790968552991885,,
0.0,0.005,confounded,1,V1_explicit_collapsed,0.0025492104982957364,0.0025492104982957364,0.004716802658523249,0.006582268968862958,0.013464567227766455,,
0.0,0.005,confounded,1,V6_oracle_initialized_joint,0.0016114338409952082,0.0016114338409952082,0.00425583809288478,0.005499953613037788,0.014126174632168809,,
0.0,0.005,confounded,2,pooled_mlp,0.002049779837597763,0.002049779837597763,0.004250885703474556,0.005749290810792561,0.014961950454980055,,
0.0,0.005,confounded,2,V0_random_init_mechanism,0.001622602191594071,0.001622602191594071,0.00394790611970526,0.005179639876640519,0.014334114235150075,,
0.0,0.005,confounded,2,V7_oracle_u_aware,0.0008169389417138743,0.0008169389417138743,0.0035060296248553774,0.0036840399972851044,0.010190327602197957,,
0.0,0.005,confounded,2,V1_explicit_collapsed,0.001962747539352146,0.001962747539352146,0.00427104922295643,0.0058618702530819355,0.014334114235150075,,
0.0,0.005,confounded,2,V6_oracle_initialized_joint,0.0010545061477287075,0.0010545061477287075,0.0037027545414564846,0.004298268780668567,0.014334114235150075,,
0.0,0.005,confounded,3,pooled_mlp,0.0017880335626913762,0.0017986798261050748,0.004032864020960841,0.005541728422261816,0.013872666948341994,,
0.0,0.005,confounded,3,V0_random_init_mechanism,0.0019526826258672255,0.0019526826258672255,0.004309849509949805,0.00587770295540535,0.014126174632168809,,
0.0,0.005,confounded,3,V7_oracle_u_aware,0.0007500878685057276,0.0007666297018284648,0.003621517990129216,0.003620151017556594,0.011617201355214934,,
0.0,0.005,confounded,3,V1_explicit_collapsed,0.0017902994901415846,0.0017902994901415846,0.004159417612434208,0.005501472127861273,0.012354896578528951,,
0.0,0.005,confounded,3,V6_oracle_initialized_joint,0.0018155278194292256,0.0018155278194292256,0.004155541453360227,0.005566673071838045,0.013984428915734703,,
0.0,0.005,confounded,4,pooled_mlp,0.002159804026798001,0.002159804026798001,0.00463457947417071,0.006098998067378413,0.014901087993193673,,
0.0,0.005,confounded,4,V0_random_init_mechanism,0.0020282392487259745,0.0020282392487259745,0.004574641809170265,0.005874631084581061,0.014126174632168809,,
0.0,0.005,confounded,4,V7_oracle_u_aware,0.0008385316047686104,0.0008385316047686104,0.003409292972019745,0.0034615912988604325,0.01638699095829299,,
0.0,0.005,confounded,4,V1_explicit_collapsed,0.002210570626748973,0.002210570626748973,0.004553775491102884,0.006099758450007453,0.014169029059608373,,
0.0,0.005,confounded,4,V6_oracle_initialized_joint,0.0013075027304225177,0.0013075027304225177,0.0039609641539270395,0.00512245871229986,0.011617201355214934,,
0.0,0.01,confounded,0,public_residual_init_nll_best,0.0038172232625722116,0.0038172232625722116,0.005753765795779577,0.008499908441277347,0.014961950454980055,,
0.0,0.01,confounded,0,source_shuffle_initialization,0.003740628470684198,0.003740628470684198,0.005722050482383253,0.007901060852301618,0.014961950454980055,,
0.0,0.01,confounded,0,no_staged_training,0.0040913174048868685,0.0040913174048868685,0.006020081324333535,0.012413223326557964,0.016556744375404886,,
0.0,0.01,confounded,1,public_residual_init_nll_best,0.0034412038916409667,0.0034412038916409667,0.005481092796479684,0.008499908441277347,0.016470852737632935,,
0.0,0.01,confounded,1,source_shuffle_initialization,0.0033009911147014355,0.0033009911147014355,0.005340346881899181,0.0073422707119186175,0.016470852737632935,,
0.0,0.01,confounded,1,no_staged_training,0.004457567874287215,0.004457567874287215,0.006094639261746678,0.012613575122046505,0.016470852737632935,,
0.0,0.01,confounded,2,public_residual_init_nll_best,0.0027551218415406737,0.0027551218415406737,0.004892716373770507,0.006482244488026101,0.015715033001301393,,
0.0,0.01,confounded,2,source_shuffle_initialization,0.0037780176990790215,0.0037780176990790215,0.005750775709435555,0.01042290277105716,0.015715033001301393,,
0.0,0.01,confounded,2,no_staged_training,0.0032105251678396333,0.0032105251678396333,0.00516693894199191,0.006832292343618993,0.014901087993193673,,
0.0,0.01,confounded,3,public_residual_init_nll_best,0.0035626867179123483,0.0035626867179123483,0.0055881735829183534,0.008168085385766499,0.01545901987209719,,
0.0,0.01,confounded,3,source_shuffle_initialization,0.0033980411779225626,0.0033980411779225626,0.005497354575801423,0.007878147423649558,0.014977983325449529,,
0.0,0.01,confounded,3,no_staged_training,0.003585014468503902,0.003585014468503902,0.005739738190506247,0.00865911853566139,0.014977983325449529,,
0.0,0.01,confounded,4,public_residual_init_nll_best,0.00356177395100693,0.00356177395100693,0.005615245667658885,0.007563025714567129,0.014977983325449529,,
0.0,0.01,confounded,4,source_shuffle_initialization,0.0035504123120629243,0.0035504123120629243,0.005655038167151771,0.00865911853566139,0.014977983325449529,,
0.0,0.01,confounded,4,no_staged_training,0.003758116853443631,0.003758116853443631,0.005451915998657662,0.007563025714567129,0.01545901987209719,,
