family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,bootstrap_valid_repetitions,subset
population_effect,0.0,independent_latents,plus,logger12_balanced,reward_balanced_do_error,2048,2.6893634888502937e-16,2.434857964730518e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,2.5847108741511303e-16,2.7945446521085436e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,plus,logger12_balanced,delta_balanced_do_error,2048,5.1172902921967414e-17,1.1029807713091141e-16,6.952433221959954e-18,0.0,1.0842021724855044e-19,5.553824967135427e-17,1.2412670766236366e-16,9.160391240386617e-16,4.661173188176687e-17,5.610582584272564e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,plus,all_sources_equal,reward_all_sources_equal_do_error,2048,7.556889142223966e-17,1.7666412927110504e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,8.881784197001252e-16,6.78168458889683e-17,8.353777739000812e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,plus,all_sources_equal,delta_all_sources_equal_do_error,2048,4.501608932181529e-17,1.0986724464673388e-16,3.469446951953614e-18,0.0,0.0,3.103169097278558e-17,1.1188630228279524e-16,9.222286645778768e-16,4.034217178936799e-17,4.991941284121107e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,all,logger1_heavy_vs_logger2_heavy,reward_heavy_drift,2048,1.393561192368035e-16,1.191341355659714e-16,1.4802973661668753e-16,0.0,0.0,1.4802973661668753e-16,2.9605947323337506e-16,5.921189464667501e-16,1.3440447756488115e-16,1.444342511621825e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,all,logger1_heavy_vs_logger2_heavy,delta_heavy_drift,2048,1.69531774651151e-16,1.6242818369815442e-16,1.2063104603031928e-16,3.3120032308928524e-17,6.114951660448481e-17,2.1319309536962973e-16,3.588798748234399e-16,1.2043595774178015e-15,1.625359943571785e-16,1.7666346989991646e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,all,logger12_balanced,reward_balanced_do_error,2048,1.7923668914806196e-16,1.2005492744742015e-16,1.4802973661668753e-16,0.0,1.4802973661668753e-16,2.9605947323337506e-16,2.9605947323337506e-16,5.921189464667501e-16,1.7414048718647492e-16,1.844232412906894e-16,anchor_id,2000,0,,
population_effect,0.0,independent_latents,all,logger12_balanced,delta_balanced_do_error,2048,3.110311886559437e-17,5.2516535453340646e-17,1.0370037203703147e-17,2.8912057932946783e-19,2.3129646346357427e-18,3.814638998768531e-17,7.544682218957171e-17,5.922640358931665e-16,2.890350497912283e-17,3.338488434215398e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,all,all_sources_equal,reward_all_sources_equal_do_error,2048,5.171644362755856e-17,8.686705265693377e-17,0.0,0.0,0.0,1.4802973661668753e-16,1.4802973661668753e-16,5.921189464667501e-16,4.803015624110782e-17,5.580072356149247e-17,anchor_id,2000,0,,
population_effect,0.0,independent_latents,all,all_sources_equal,delta_all_sources_equal_do_error,2048,1.6492251342710603e-17,3.8878459528949154e-17,1.192074687115166e-18,0.0,0.0,1.850371707708594e-17,3.925366899239129e-17,3.074095548592923e-16,1.4861377760162846e-17,1.8180373489623452e-17,anchor_id,2000,0,,
ranking,0.0,independent_latents,all,logger1_heavy_vs_logger2_heavy,heavy_top_set_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
ranking,0.0,independent_latents,all,logger1_heavy_vs_logger2_heavy,heavy_strict_flip,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
ranking,0.0,independent_latents,all,logger12_balanced,balanced_vs_do_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
ranking,0.0,independent_latents,all,all_sources_equal,all_sources_equal_vs_do_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,minus,logger1_heavy_vs_logger2_heavy,reward_heavy_drift_excess,2048,3.3610267347050637e-18,3.638030771558384e-16,0.0,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,7.549516567451064e-15,-1.1763593571467723e-17,1.8432792184969175e-17,anchor_id,2000,0,,
confounding_excess,0.0,confounded_minus_independent,base,logger1_heavy_vs_logger2_heavy,reward_heavy_drift_excess,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,
