family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,numerator_mean,denominator_mean,pointwise_ratios_computed
do_error,0.0,confounded,plus,logger1_heavy,delta_do_error_l2,2048,9.8776800481388e-17,1.463427736751746e-16,5.554529005752625e-17,1.7972819585492244e-18,1.3877787807814457e-17,1.1445231709044298e-16,2.242025235105681e-16,9.424642647609475e-16,9.249510786837526e-17,1.0539929969303047e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,plus,logger1_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger1_heavy,reward_do_error_signed,2048,-7.844202717932625e-17,1.657368152998286e-15,-1.4802973661668753e-16,-2.9605947323337506e-16,-1.4802973661668753e-16,0.0,0.0,7.401486830834377e-14,-1.226115201845753e-16,4.716279450311111e-19,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger1_heavy,reward_do_error_abs,2048,1.566491438879473e-16,1.6521852714733648e-15,1.4802973661668753e-16,0.0,0.0,1.4802973661668753e-16,2.9605947323337506e-16,7.401486830834377e-14,1.130628613013144e-16,2.372527991486665e-16,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger1_heavy,delta_do_error_l2,2048,6.637765861250351e-17,7.688538214707142e-17,4.192448055546358e-17,6.975608866524694e-18,1.923445882051814e-17,8.091460034515873e-17,1.5286835598781883e-16,6.014007327305697e-16,6.312903030615684e-17,6.963681079458075e-17,anchor_id,2000,0,,,
do_error,0.0,confounded,all,logger1_heavy,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger12_midpoint,reward_do_error_signed,2048,-1.6696713456276768e-17,6.307620490083372e-16,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,-4.977572173880951e-17,1.4094628242311558e-18,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger12_midpoint,reward_do_error_abs,2048,1.973247953923618e-17,6.306743358778913e-16,0.0,0.0,0.0,0.0,0.0,2.7533531010703882e-14,1.734723475976807e-18,5.248080615916081e-17,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger12_midpoint,delta_do_error_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
do_error,0.0,confounded,minus,logger12_midpoint,termination_do_error_abs,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
