kappa,lambda_reward,source_setting,condition,source_variant,method,mean_regret,median_regret,max_regret
0.3,0.05,matched_opposite_M2,confounded,correct,observational_pooled,0.0,0.0,0.0
0.3,0.05,matched_opposite_M2,confounded,shuffle,natural_intersection_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,matched_opposite_M2,confounded,shuffle,pooled_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,matched_opposite_M2,confounded,shuffle,best_single_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,matched_opposite_M2,confounded,shuffle,joint_lower,0.0001580144333977302,0.0,0.003202854286131984
0.3,0.05,matched_opposite_M2,confounded,shuffle,observational_pooled,0.0,0.0,0.0
0.3,0.0,M5_same_direction_diverse,confounded,correct,natural_intersection_lower,0.0004980023699555961,0.0,0.01027624665141591
0.3,0.0,M5_same_direction_diverse,confounded,correct,pooled_lower,0.0002416604456955732,0.0,0.010469416702195922
0.3,0.0,M5_same_direction_diverse,confounded,correct,best_single_lower,0.0001635209877122695,0.0,0.012425283062970749
0.3,0.0,M5_same_direction_diverse,confounded,correct,joint_lower,7.955202533150001e-05,0.0,0.003867395666932616
0.3,0.0,M5_same_direction_diverse,confounded,correct,observational_pooled,8.579025515658952e-05,0.0,0.002773913648989268
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,natural_intersection_lower,0.0002416604456955732,0.0,0.010469416702195922
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,pooled_lower,0.0002416604456955732,0.0,0.010469416702195922
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,best_single_lower,0.0002416604456955732,0.0,0.010469416702195922
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,joint_lower,8.029037154742239e-05,0.0,0.003867395666932616
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,observational_pooled,8.579025515658952e-05,0.0,0.002773913648989268
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,natural_intersection_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,pooled_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,best_single_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,joint_lower,0.0001580144333977302,0.0,0.003202854286131984
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,observational_pooled,0.0,0.0,0.0
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,natural_intersection_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,pooled_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,best_single_lower,8.160408345858237e-05,0.0,0.0016469419096063476
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,joint_lower,0.0001580144333977302,0.0,0.003202854286131984
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,observational_pooled,0.0,0.0,0.0
