variant,epoch,quantity,count,mean,std,min,p50,p90,p95,p99,max
matched_moving_target,100,road_continuation_contribution,1428,77.26584321485707,32.613518654988084,1.681888232100406e-05,71.08118000581544,124.80585160526947,144.2657697865954,170.24504026438228,192.332825997305
matched_moving_target,150,observed_return,1428,499.70385039632885,110.96283755614772,281.2317477772806,514.5324985886551,633.0241644750807,666.2062815186629,747.0548022635077,820.7915924746022
matched_moving_target,150,road_return,1428,544.1000333596878,114.84054229504133,296.09684715271,565.8213320159912,677.6396204681397,693.8617288055419,838.3676111480713,855.6744673919677
matched_moving_target,150,observed_weight,1428,0.4702308426258045,0.2058579862551834,9.595814987051199e-08,0.5,0.69263916015625,0.7325337946414946,0.9573150128126148,0.9999998807907104
matched_moving_target,150,road_weight,1428,0.529769157077752,0.20585798614916728,1.1920928955078125e-07,0.5,0.8616777181625366,0.9507464617490767,0.9945641452074051,0.9999998807907104
matched_moving_target,150,final_backup,1428,523.2788686223346,113.02424222596534,289.4164747526701,541.5212437750215,652.1486123564231,679.7551486720172,797.8127950868418,836.8664392583371
matched_moving_target,150,reward_contribution,1428,4.259386231898901,0.7204991668068677,0.9282265567889286,4.24306420126512,5.230302661744067,5.442941170275663,5.538212976455881,5.546590780230448
matched_moving_target,150,observed_continuation_contribution,1428,234.02173558103019,118.22040618923472,5.3391213576219065e-05,239.64879905107045,366.86504292399616,408.38028702766405,549.9526136953191,658.7857425937545
matched_moving_target,150,road_continuation_contribution,1428,284.99775123024887,129.72369117377593,7.205003228876253e-05,264.6863104471813,485.7718652779236,547.711990205314,653.2468677364038,821.9329754615173
matched_moving_target,200,observed_return,1428,2595.585520374623,742.7843343724182,1106.4863310178143,2659.12336134605,3475.722522409331,3698.701614238113,4525.627241965784,4852.053223333977
matched_moving_target,200,road_return,1428,2873.5873828952053,769.8029714633127,1263.5858278656005,3003.6262392425533,3739.6695829925534,3870.188998031616,4902.74717893982,5011.8958632659915
matched_moving_target,200,observed_weight,1428,0.4702308426258045,0.2058579862551834,9.595814987051199e-08,0.5,0.69263916015625,0.7325337946414946,0.9573150128126148,0.9999998807907104
matched_moving_target,200,road_weight,1428,0.529769157077752,0.20585798614916728,1.1920928955078125e-07,0.5,0.8616777181625366,0.9507464617490767,0.9945641452074051,0.9999998807907104
matched_moving_target,200,final_backup,1428,2743.50322567611,756.9959082062326,1168.3142515846848,2838.597064602938,3617.1285045587197,3785.9220960228704,4747.2176185551425,4921.333621518484
matched_moving_target,200,reward_contribution,1428,4.259386231898901,0.7204991668068677,0.9282265567889286,4.24306420126512,5.230302661744067,5.442941170275663,5.538212976455881,5.546590780230448
matched_moving_target,200,observed_continuation_contribution,1428,1222.8548055314707,661.7616685424509,0.0002481585275471154,1226.486873465561,1977.4947938643638,2279.5001490012482,3072.7347938856255,3904.010505756538
matched_moving_target,200,road_continuation_contribution,1428,1516.3890573324468,737.8628369620949,0.0003951051837291983,1375.4882294958952,2616.457927987841,2982.733888204174,3643.119259758955,4860.821546146239
frozen_outer_target,0,observed_return,1428,2.832077604699573,0.8835524401552327,0.8605186626781446,2.790469951177731,3.932147585379776,4.529711734525451,4.824574722391049,4.8708118971266705
frozen_outer_target,0,road_return,1428,5.5465907755958925,3.99038968990103e-08,5.546590660245401,5.546590773119766,5.546590826186212,5.546590851630606,5.546590861376351,5.54659087875454
frozen_outer_target,0,observed_weight,1428,0.4702308426258045,0.2058579862551834,9.595814987051199e-08,0.5,0.69263916015625,0.7325337946414946,0.9573150128126148,0.9999998807907104
frozen_outer_target,0,road_weight,1428,0.529769157077752,0.20585798614916728,1.1920928955078125e-07,0.5,0.8616777181625366,0.9507464617490767,0.9945641452074051,0.9999998807907104
frozen_outer_target,0,final_backup,1428,4.259386193901346,0.720499183615923,0.9282263939930511,4.2430641397335105,5.230302527399303,5.442941207581562,5.5382129579620045,5.546590591905637
frozen_outer_target,0,reward_contribution,1428,4.259386231898901,0.7204991668068677,0.9282265567889286,4.24306420126512,5.230302661744067,5.442941170275663,5.538212976455881,5.546590780230448
frozen_outer_target,0,observed_continuation_contribution,1428,-2.3089160893946675e-08,2.5405360405511664e-08,-1.6279267570717019e-07,-1.9734902679932696e-08,2.1853201698911134e-09,1.2859799506478122e-08,2.414445613472362e-08,4.8009769168873356e-08
frozen_outer_target,0,road_continuation_contribution,1428,-1.5394389418976113e-08,2.300052446312747e-08,-1.3656804833766526e-07,-1.3977739681362224e-08,9.344998444569947e-09,1.9558379736898362e-08,3.9256120593950054e-08,5.6101643557937754e-08
frozen_outer_target,50,observed_return,1428,61.597898226493804,5.167704853895281,52.60732640193634,61.15758270650741,68.11581843320255,70.3102567789307,80.25438743295544,80.93279707360725
