variant,epoch,candidate_statistic,selected_diagnostic,error_scope,bellman_error_mean,count,mean,std,min,p50,p90,p95,p99,max,selected_transition_error_mean,all_transition_error_mean,selected_reward_error_mean,all_reward_error_mean,selected_value_extrapolation_error_mean,all_value_extrapolation_error_mean,selected_bellman_error_mean,all_bellman_error_mean,selected_bellman_abs_error_mean,all_bellman_abs_error_mean,selected_positive_bellman_error_mean,all_positive_bellman_error_mean,selected_observed_weight_mean,all_observed_weight_mean,spearman_model_backup_vs_bellman_error
matched_moving_target,50,not_applicable,not_applicable,max_selected,3.452190392406342,,0.0,,,,,,,,0.7823995445511022,0.7268176305992194,-0.0018992755437705993,-0.007424314159551761,0.13344207464479932,0.16733838596931694,3.452190392406342,2.1161000860450643,3.4565239478662977,2.1308820149410734,3.4543571701363196,2.1234910504930684,0.07246299088001251,0.4702308177947998,0.01829111598768195
matched_moving_target,100,candidate_mean,not_applicable,not_applicable,0.0,51,146.98727976244504,19.449466187452295,113.17951194371733,148.6058024743484,167.85497002692787,178.68232622860998,189.31218595811913,193.1883961910549,,,,,,,,,,,,,,,
matched_moving_target,100,candidate_p95,not_applicable,not_applicable,0.0,51,150.71977805454156,19.985555307977304,115.3094214689076,152.4548694421264,175.85056280937783,182.80413030653318,193.48220915855603,199.71759850849094,,,,,,,,,,,,,,,
matched_moving_target,100,candidate_max,not_applicable,not_applicable,0.0,51,151.99980228160146,20.029008911688607,115.93052567016245,153.65074048529385,177.5272128875712,185.04047681286522,193.95410873008422,200.3265256173747,,,,,,,,,,,,,,,
matched_moving_target,100,not_applicable,negative_behavior_log_density,not_applicable,0.0,51,3.344758057126812,1.9739112614185903,0.17574596405029297,3.0532164573669434,5.560967922210693,6.288430690765381,9.711435317993164,12.351625442504883,,,,,,,,,,,,,,,
matched_moving_target,100,not_applicable,standardized_nearest_train_distance,not_applicable,0.0,51,1.0060877876739593,0.4463682605592823,0.37404399280927214,0.9620761964598072,1.4628171211258898,1.6105839898369587,2.5079858755497106,2.9535628762546438,,,,,,,,,,,,,,,
matched_moving_target,100,not_applicable,not_applicable,all_candidates,5.598603878260841,,0.0,,,,,,,,0.7671108865490152,0.7268176305992194,-0.0021191054563444254,-0.007424314159551761,0.981053819843367,0.7207235608782087,8.379569923480949,5.598603878260841,8.748322958604627,6.116379445136869,8.563946441042788,5.857491661698854,0.13013792037963867,0.4702308177947998,0.12935892924360623
matched_moving_target,100,not_applicable,not_applicable,max_selected,8.379569923480949,,0.0,,,,,,,,0.7671108865490152,0.7268176305992194,-0.0021191054563444254,-0.007424314159551761,0.981053819843367,0.7207235608782087,8.379569923480949,5.598603878260841,8.748322958604627,6.116379445136869,8.563946441042788,5.857491661698854,0.13013792037963867,0.4702308177947998,0.12935892924360623
matched_moving_target,150,candidate_mean,not_applicable,not_applicable,0.0,51,523.2788686223346,112.02827152168057,296.3213084964124,539.606233806068,650.3923100256914,671.6276312654404,753.3428908101957,801.591477988434,,,,,,,,,,,,,,,
matched_moving_target,150,candidate_p95,not_applicable,not_applicable,0.0,51,544.0631651620804,115.00903120828609,305.40597011733956,565.8333754213164,679.0584518557773,687.4459179765272,778.332003358374,835.1041484219023,,,,,,,,,,,,,,,
