variant,epoch,diagnostic_backup,count,mean,std,min,p50,p90,p95,p99,max,logged_action_transition_error_count,logged_action_transition_error_mean,logged_action_transition_error_std,logged_action_transition_error_min,logged_action_transition_error_p50,logged_action_transition_error_p90,logged_action_transition_error_p95,logged_action_transition_error_p99,logged_action_transition_error_max
frozen_outer_target,100,D1_model_next_no_max,51,153.42716416897767,24.38489541674521,119.15561254313747,155.3896600661904,174.19274154686033,185.98761092941186,230.00678800458581,238.58437706116445,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
frozen_outer_target,100,D2_model_next_candidate_mean,51,153.56629112004603,24.142412607411508,120.77212786372719,156.82223861615066,174.80797357131775,184.9215459157952,229.45344081855797,237.33718318239787,,,,,,,,,
frozen_outer_target,100,D3_original_candidate_max,51,157.56323076665345,24.211105640773386,123.97863795452238,162.04977885333344,180.48874820745783,189.88412414417056,231.62784588617092,239.40016337450146,,,,,,,,,
frozen_outer_target,150,D0_observed_only,51,361.79076565606914,83.3378100159894,224.41265060424806,363.00951782226565,459.81788634300233,486.3000812721252,562.0671789836883,585.0573166275025,,,,,,,,,
frozen_outer_target,150,D1_model_next_no_max,51,374.0225549433112,84.44299569237373,222.923591374299,378.9139387759841,477.574731875104,491.28308680150434,573.9395046662803,596.3358913603831,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
frozen_outer_target,150,D2_model_next_candidate_mean,51,374.09077703765485,84.09286640904912,226.90457313020883,380.94307737434485,472.8374394939501,493.2399419741514,572.1070242411076,591.5007090713776,,,,,,,,,
frozen_outer_target,150,D3_original_candidate_max,51,386.26969981213017,83.8070681982235,234.18886919829842,394.5560430089568,484.67658022311997,501.960809592884,578.1934403736515,597.2581849036645,,,,,,,,,
frozen_outer_target,200,D0_observed_only,51,924.5367528279155,210.61160301443897,559.3498506164551,896.2675048732757,1193.253484840393,1237.0932286310194,1349.0079802417754,1424.2391794204711,,,,,,,,,
frozen_outer_target,200,D1_model_next_no_max,51,955.9832309526721,214.37869143589847,542.6686554720341,968.2932951907587,1225.546226911384,1274.238349052787,1394.9081202094694,1458.956608400667,51,0.7208769957201483,0.8022893702994357,0.13154223508080815,0.38984304177567775,1.3938150973756407,2.7369292716212317,3.54932853502756,3.724255079947844
frozen_outer_target,200,D2_model_next_candidate_mean,51,956.0707832208012,214.0432116156482,551.4095613024355,949.8866051992619,1250.2099846437595,1282.465642155596,1380.7864284605482,1448.8498523402347,,,,,,,,,
frozen_outer_target,200,D3_original_candidate_max,51,988.4805190250084,213.0239149241609,567.5120228773136,993.0281042778636,1294.7772815533724,1300.6997260600751,1407.3374365168006,1460.7862223634081,,,,,,,,,
