kappa,lambda_reward,condition,mixture,seed,variant,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret
0.0,0.0,confounded,logger12_balanced,2,current_random_init,0.01249387188910031,0.018090939531830483,0.23624595469255663,0.23624595469255663,0.0008136359989696388,0.0008136359989696388
0.0,0.0,confounded,logger12_balanced,2,collapsed_constrained_reference,0.013633544345980169,0.019123367375336934,0.2815533980582524,0.2815533980582524,0.0009710752836532853,0.0009710752836532853
0.0,0.0,confounded,logger12_balanced,2,true_behavior_fixed,0.013402931613253595,0.01904729086204967,0.27184466019417475,0.27184466019417475,0.0011625654050577744,0.0011625654050577744
0.0,0.0,confounded,logger12_balanced,2,true_behavior_fixed_em,0.012388021000829471,0.017561395832975304,0.2621359223300971,0.2621359223300971,0.0010411684712720627,0.0010411684712720627
0.0,0.0,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,0.012481513317605157,0.018865916150905233,0.2459546925566343,0.2459546925566343,0.001001083383644554,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,oracle_compatible_plugin,0.012481513317605157,0.018865916150905233,0.2459546925566343,0.2459546925566343,0.001001083383644554,0.001001083383644554
0.0,0.0,confounded,logger12_balanced,2,oracle_initialized_joint,0.012780390157412804,0.018350083979439515,0.18446601941747573,0.18446601941747573,0.0006630831737141013,0.0006630831737141013
0.0,0.0,confounded,logger12_balanced,2,oracle_u_aware_ceiling,0.012540143270877898,0.019117941651045932,0.30097087378640774,0.30097087378640774,0.0011834240910294153,0.0011834240910294153
0.0,0.0,confounded,logger12_balanced,3,current_random_init,0.01083671182442412,0.01573635376104266,0.24919093851132687,0.24919093851132687,0.0008652874399804655,0.0008652874399804655
0.0,0.0,confounded,logger12_balanced,3,collapsed_constrained_reference,0.012413488157503644,0.017169340577990556,0.19741100323624594,0.19741100323624594,0.0007117240836681404,0.0007117240836681404
0.0,0.0,confounded,logger12_balanced,3,true_behavior_fixed,0.011831278832072623,0.01643725989633961,0.3074433656957929,0.3074433656957929,0.001139413653974276,0.001139413653974276
0.0,0.0,confounded,logger12_balanced,3,true_behavior_fixed_em,0.01502159491101355,0.019158195848165253,0.24919093851132687,0.24919093851132687,0.0008454696298695901,0.0008454696298695901
