kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,do_mae,rank_error,mean_regret
0.0,0.005,confounded,logger12_balanced,3,0.0,-1.5682229296457921,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.1,-1.5687944800690719,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.25,-1.5695905897432183,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.5,-1.5707518868729988,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,0.75,-1.5716973318866276,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,3,1.0,-1.5724063665950587,0.012424613242162446,0.1941747572815534,0.0006175719986957735
0.0,0.005,confounded,logger12_balanced,4,0.0,-1.5916119103569961,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.1,-1.5919733285937356,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.25,-1.5924544918621744,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.5,-1.593092542378596,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,0.75,-1.5935193369128031,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.005,confounded,logger12_balanced,4,1.0,-1.5937190342612275,0.015218661606249864,0.36893203883495146,0.00152202645164406
0.0,0.01,confounded,logger12_balanced,0,0.0,-1.5456432479261681,0.012681061666373306,0.18122977346278318,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,0.1,-1.548433589270048,0.012681061666373306,0.18122977346278318,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,0.25,-1.55244184275097,0.012681061666373306,0.18122977346278318,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,0.5,-1.55865283606741,0.012681061666373306,0.18122977346278318,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,0.75,-1.5642600834217018,0.012681061666373306,0.18122977346278318,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,0,1.0,-1.5691817081551132,0.012681061666373306,0.18122977346278318,0.0006349945045263475
0.0,0.01,confounded,logger12_balanced,1,0.0,-1.4945617900858088,0.011726077987223854,0.2686084142394822,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,0.1,-1.496662680892963,0.011726077987223854,0.2686084142394822,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,0.25,-1.499675848910741,0.011726077987223854,0.2686084142394822,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,0.5,-1.5043379283879956,0.011726077987223854,0.2686084142394822,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,0.75,-1.5085509796464822,0.011726077987223854,0.2686084142394822,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,1,1.0,-1.5122904143070974,0.011726077987223854,0.2686084142394822,0.001092861124860163
0.0,0.01,confounded,logger12_balanced,2,0.0,-1.510082725736046,0.013998131151465264,0.2686084142394822,0.0010666624636007551
0.0,0.01,confounded,logger12_balanced,2,0.1,-1.5124181120465314,0.013998131151465264,0.2686084142394822,0.0010666624636007551
0.0,0.01,confounded,logger12_balanced,2,0.25,-1.5157634627159655,0.013998131151465264,0.2686084142394822,0.0010666624636007551
0.0,0.01,confounded,logger12_balanced,2,0.5,-1.5209246092368227,0.013998131151465264,0.2686084142394822,0.0010666624636007551
0.0,0.01,confounded,logger12_balanced,2,0.75,-1.5255645978387398,0.013998131151465264,0.2686084142394822,0.0010666624636007551
0.0,0.01,confounded,logger12_balanced,2,1.0,-1.5296529258262646,0.013998131151465264,0.2686084142394822,0.0010666624636007551
0.0,0.01,confounded,logger12_balanced,3,0.0,-1.546497340637977,0.012885503888187697,0.2459546925566343,0.0009356134315825069
0.0,0.01,confounded,logger12_balanced,3,0.1,-1.548847643581049,0.012885503888187697,0.2459546925566343,0.0009356134315825069
0.0,0.01,confounded,logger12_balanced,3,0.25,-1.552185085401807,0.012885503888187697,0.2459546925566343,0.0009356134315825069
0.0,0.01,confounded,logger12_balanced,3,0.5,-1.5572457218245097,0.012885503888187697,0.2459546925566343,0.0009356134315825069
0.0,0.01,confounded,logger12_balanced,3,0.75,-1.5616565134914844,0.012885503888187697,0.2459546925566343,0.0009356134315825069
0.0,0.01,confounded,logger12_balanced,3,1.0,-1.5653417460004988,0.012885503888187697,0.2459546925566343,0.0009356134315825069
0.0,0.01,confounded,logger12_balanced,4,0.0,-1.5535149179656358,0.01362111012072711,0.3365695792880259,0.0013085419788578987
0.0,0.01,confounded,logger12_balanced,4,0.1,-1.5558804650839602,0.01362111012072711,0.3365695792880259,0.0013085419788578987
0.0,0.01,confounded,logger12_balanced,4,0.25,-1.5592593889928987,0.01362111012072711,0.3365695792880259,0.0013085419788578987
0.0,0.01,confounded,logger12_balanced,4,0.5,-1.5644407736994257,0.01362111012072711,0.3365695792880259,0.0013085419788578987
0.0,0.01,confounded,logger12_balanced,4,0.75,-1.5690459548130273,0.01362111012072711,0.3365695792880259,0.0013085419788578987
0.0,0.01,confounded,logger12_balanced,4,1.0,-1.573022857513925,0.01362111012072711,0.3365695792880259,0.0013085419788578987
0.0,0.02,confounded,logger12_balanced,0,0.0,-1.3954137891072165,0.011471989433583766,0.18770226537216828,0.0006621904548374774
0.0,0.02,confounded,logger12_balanced,0,0.1,-1.4051055934661614,0.011471989433583766,0.18770226537216828,0.0006621904548374774
0.0,0.02,confounded,logger12_balanced,0,0.25,-1.4188829642668606,0.011471989433583766,0.18770226537216828,0.0006621904548374774
0.0,0.02,confounded,logger12_balanced,0,0.5,-1.4399039108179104,0.011471989433583766,0.18770226537216828,0.0006621904548374774
0.0,0.02,confounded,logger12_balanced,0,0.75,-1.4585448280222695,0.011471989433583766,0.18770226537216828,0.0006621904548374774
0.0,0.02,confounded,logger12_balanced,0,1.0,-1.474641529678759,0.011471989433583766,0.18770226537216828,0.0006621904548374774
0.0,0.02,confounded,logger12_balanced,1,0.0,-1.4003830436785303,0.01185236478597113,0.2168284789644013,0.0007606561099675835
0.0,0.02,confounded,logger12_balanced,1,0.1,-1.4100224895173359,0.01185236478597113,0.2168284789644013,0.0007606561099675835
0.0,0.02,confounded,logger12_balanced,1,0.25,-1.4236490524292584,0.01185236478597113,0.2168284789644013,0.0007606561099675835
0.0,0.02,confounded,logger12_balanced,1,0.5,-1.444246868782109,0.01185236478597113,0.2168284789644013,0.0007606561099675835
0.0,0.02,confounded,logger12_balanced,1,0.75,-1.4622742354832496,0.01185236478597113,0.2168284789644013,0.0007606561099675835
0.0,0.02,confounded,logger12_balanced,1,1.0,-1.4776075070627392,0.01185236478597113,0.2168284789644013,0.0007606561099675835
0.0,0.02,confounded,logger12_balanced,2,0.0,-1.398951111174111,0.013224083512291778,0.2783171521035599,0.0010183040556504463
0.0,0.02,confounded,logger12_balanced,2,0.1,-1.4068735876759746,0.013224083512291778,0.2783171521035599,0.0010183040556504463
0.0,0.02,confounded,logger12_balanced,2,0.25,-1.418146010895315,0.013224083512291778,0.2783171521035599,0.0010183040556504463
0.0,0.02,confounded,logger12_balanced,2,0.5,-1.4353771003203275,0.013224083512291778,0.2783171521035599,0.0010183040556504463
0.0,0.02,confounded,logger12_balanced,2,0.75,-1.450715229270214,0.013224083512291778,0.2783171521035599,0.0010183040556504463
0.0,0.02,confounded,logger12_balanced,2,1.0,-1.4640729904623186,0.013224083512291778,0.2783171521035599,0.0010183040556504463
0.0,0.02,confounded,logger12_balanced,3,0.0,-1.3617676668467456,0.010587415220648743,0.20064724919093851,0.000695493163322071
0.0,0.02,confounded,logger12_balanced,3,0.1,-1.3714493533270624,0.010587415220648743,0.20064724919093851,0.000695493163322071
0.0,0.02,confounded,logger12_balanced,3,0.25,-1.3852303476427685,0.010587415220648743,0.20064724919093851,0.000695493163322071
0.0,0.02,confounded,logger12_balanced,3,0.5,-1.40630650021983,0.010587415220648743,0.20064724919093851,0.000695493163322071
0.0,0.02,confounded,logger12_balanced,3,0.75,-1.425062888010111,0.010587415220648743,0.20064724919093851,0.000695493163322071
0.0,0.02,confounded,logger12_balanced,3,1.0,-1.4413299375945694,0.010587415220648743,0.20064724919093851,0.000695493163322071
0.0,0.02,confounded,logger12_balanced,4,0.0,-1.3898419516219997,0.01588760304319325,0.42718446601941745,0.0017741431171640408
0.0,0.02,confounded,logger12_balanced,4,0.1,-1.3978497265704488,0.01588760304319325,0.42718446601941745,0.0017741431171640408
0.0,0.02,confounded,logger12_balanced,4,0.25,-1.4090704025903862,0.01588760304319325,0.42718446601941745,0.0017741431171640408
0.0,0.02,confounded,logger12_balanced,4,0.5,-1.4257443976540718,0.01588760304319325,0.42718446601941745,0.0017741431171640408
0.0,0.02,confounded,logger12_balanced,4,0.75,-1.4399153143009567,0.01588760304319325,0.42718446601941745,0.0017741431171640408
0.0,0.02,confounded,logger12_balanced,4,1.0,-1.4514031807116288,0.01588760304319325,0.42718446601941745,0.0017741431171640408
0.0,0.05,confounded,logger12_balanced,0,0.0,-0.9933199704648632,0.010564787806596932,0.22653721682847897,0.0007169186311815197
0.0,0.05,confounded,logger12_balanced,0,0.1,-1.024095909592724,0.010564787806596932,0.22653721682847897,0.0007169186311815197
0.0,0.05,confounded,logger12_balanced,0,0.25,-1.0650388273838132,0.010564787806596932,0.22653721682847897,0.0007169186311815197
0.0,0.05,confounded,logger12_balanced,0,0.5,-1.1206255026660594,0.010564787806596932,0.22653721682847897,0.0007169186311815197
0.0,0.05,confounded,logger12_balanced,0,0.75,-1.1607067889002811,0.010564787806596932,0.22653721682847897,0.0007169186311815197
