kappa,lambda_reward,condition,mixture,seed,variant,update,train_observational_nll,validation_observational_nll,prior_p_z1,reward_mode_separation,behavior_separation,posterior_entropy,posterior_effective_usage,latent_collapse,do_mae,rank_error,mean_regret,posterior_u_accuracy,em_iteration
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,200,1.3338875770568848,1.3344227075576782,0.5,0.015818616006879713,0.3999999761581421,0.5129818916320801,1.670264323805784,False,0.019556650498402262,0.4045307443365696,0.0021208346890361474,0.5,2
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,300,1.2318295240402222,1.2323613166809082,0.5,0.013792544176247605,0.3999999761581421,0.5129765868186951,1.670255463388744,False,0.016270711978243927,0.36245954692556637,0.0017343547720546644,0.5,3
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,400,1.1309244632720947,1.1317404508590698,0.5,0.012745208417019503,0.3999999761581421,0.5129745006561279,1.6702519789679533,False,0.017515884211986646,0.32362459546925565,0.0015335223991384524,0.5,4
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,500,1.0303080081939697,1.0312546491622925,0.5,0.011767396919269212,0.3999999761581421,0.5129610300064087,1.6702294797401416,False,0.016999220725541057,0.3365695792880259,0.001567084145472992,0.5,5
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,600,0.9304686188697815,0.9321897625923157,0.5,0.010626057366434854,0.3999999761581421,0.5129632353782654,1.6702331632212923,False,0.020599510656854694,0.30097087378640774,0.0013995104300051754,0.5,6
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,700,0.8291726112365723,0.8305094242095947,0.5,0.009426006073274727,0.3999999761581421,0.5129704475402832,1.6702452092569118,False,0.01600788449045981,0.3268608414239482,0.001479735039820311,0.5,7
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,800,0.7314834594726562,0.7337088584899902,0.5,0.009621033328355292,0.3999999761581421,0.5129910707473755,1.6702796554249513,False,0.021134505016627638,0.27184466019417475,0.0012457687600643953,0.5,8
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,900,0.6288651823997498,0.6313671469688416,0.5,0.0087665696745405,0.3999999761581421,0.5129671692848206,1.6702397337754056,False,0.014316392806205037,0.39805825242718446,0.0018433614317777515,0.5,9
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,1000,0.5302489995956421,0.53296959400177,0.5,0.009300744729604194,0.3999999761581421,0.5129909515380859,1.6702794563121122,False,0.01581069557152028,0.313915857605178,0.0014115050570783097,0.5,10
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,1100,0.4378935992717743,0.44229450821876526,0.5,0.008749541234208012,0.3999999761581421,0.5129530429840088,1.6702161396331479,False,0.027694911586490383,0.255663430420712,0.0011255293293954364,0.5,11
