kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae
0.0,0.005,confounded,logger12_balanced,3,collapsed_constrained_reference,-1.3344340324401855,-1.2448209524154663,-1.2699215412139893,0.011742222791919943
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed,-1.3342751264572144,-1.2274541854858398,-1.2495065927505493,0.014365330310728138
0.0,0.005,confounded,logger12_balanced,3,true_behavior_fixed_em,-1.3682122230529785,-1.2638740539550781,-1.3184067010879517,0.01070490061927661
0.0,0.005,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,-1.3319201469421387,-1.2207727432250977,-1.26447594165802,0.012530620064685062
0.0,0.005,confounded,logger12_balanced,3,oracle_compatible_plugin,-1.336692452430725,-1.222971796989441,-1.2678942680358887,0.012451150042577153
0.0,0.005,confounded,logger12_balanced,3,oracle_initialized_joint,-1.9853830337524414,-1.5885709524154663,-1.7244799137115479,0.010640193049190854
0.0,0.005,confounded,logger12_balanced,3,oracle_u_aware_ceiling,-1.393828687704602,-1.2736681327709984,-1.3214257214767002,0.010228434213784948
0.0,0.005,confounded,logger12_balanced,4,current_random_init,-1.4075289964675903,-1.3024506568908691,-1.3100568056106567,0.009748903692004662
0.0,0.005,confounded,logger12_balanced,4,collapsed_constrained_reference,-1.2699931859970093,-1.150789499282837,-1.2009797096252441,0.014599100724024419
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed,-1.366828203201294,-1.2667123079299927,-1.2735846042633057,0.013629689901892169
0.0,0.005,confounded,logger12_balanced,4,true_behavior_fixed_em,-1.291624903678894,-1.1891816854476929,-1.2251969575881958,0.014682949184676193
0.0,0.005,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,-1.3362666368484497,-1.2430613040924072,-1.257749080657959,0.015221636801784694
0.0,0.005,confounded,logger12_balanced,4,oracle_compatible_plugin,-1.3397927284240723,-1.2442845106124878,-1.2578762769699097,0.015317737022975897
0.0,0.005,confounded,logger12_balanced,4,oracle_initialized_joint,-1.6174160242080688,-1.4248772859573364,-1.4564634561538696,0.013089808246611651
0.0,0.005,confounded,logger12_balanced,4,oracle_u_aware_ceiling,-1.410872987385316,-1.3061059909427182,-1.320956572030584,0.011069293268164337
0.0,0.01,confounded,logger12_balanced,0,current_random_init,-1.30817449092865,-1.1844679117202759,-1.2258301973342896,0.012689292265882895
0.0,0.01,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.2925479412078857,-1.1818149089813232,-1.2381070852279663,0.012404048907262405
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed,-1.2996485233306885,-1.1903817653656006,-1.2184587717056274,0.014528084889036898
0.0,0.01,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.3450804948806763,-1.240096092224121,-1.2670868635177612,0.011949380750706706
0.0,0.01,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.3230977058410645,-1.2192158699035645,-1.251233696937561,0.012761371479300836
0.0,0.01,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.3237849473953247,-1.2198060750961304,-1.251941204071045,0.012769832956689594
0.0,0.01,confounded,logger12_balanced,0,oracle_initialized_joint,-1.60326087474823,-1.4022241830825806,-1.4833658933639526,0.011135916229492362
0.0,0.01,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.3393607304305886,-1.2302633245577907,-1.2630819607601462,0.010441064452096119
