kappa,lambda_reward,condition,mixture,seed,alpha,validation_nll,train_fitted_log_scale,do_mae,rank_error,mean_regret
0.0,0.002,confounded,logger12_balanced,1,0.1,-1.1795457007552588,-4.658786746677484,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,0.25,-1.1637277074139536,-4.667847146679527,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,0.5,-1.139763117853566,-4.6837652563897,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,0.75,-1.117790135904616,-4.699221850101813,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,1,1.0,-1.1005582917648802,-4.712296468130094,0.011186158180301251,0.23300970873786409,0.0008840442066563246
0.0,0.002,confounded,logger12_balanced,2,0.0,-1.3302179842350412,-4.556370546311504,0.011518842399182324,0.2588996763754045,0.0010122705501770508
0.0,0.002,confounded,logger12_balanced,2,0.1,-1.3261448930952153,-4.56056973650697,0.011518842399182324,0.2588996763754045,0.0010122705501770508
0.0,0.002,confounded,logger12_balanced,2,0.25,-1.3249931677989826,-4.5678828926334925,0.011518842399182324,0.2588996763754045,0.0010122705501770508
0.0,0.002,confounded,logger12_balanced,2,0.5,-1.3307310741983251,-4.581101443483499,0.011518842399182324,0.2588996763754045,0.0010122705501770508
0.0,0.002,confounded,logger12_balanced,2,0.75,-1.3413429976556732,-4.594073236211096,0.011518842399182324,0.2588996763754045,0.0010122705501770508
0.0,0.002,confounded,logger12_balanced,2,1.0,-1.3562409105666786,-4.6048634116105065,0.011518842399182324,0.2588996763754045,0.0010122705501770508
0.0,0.002,confounded,logger12_balanced,3,0.0,-0.8681613743125601,-4.741965858478458,0.010598981683026058,0.2686084142394822,0.0009972795134268752
0.0,0.002,confounded,logger12_balanced,3,0.1,-0.8564231596069342,-4.745844574486061,0.010598981683026058,0.2686084142394822,0.0009972795134268752
0.0,0.002,confounded,logger12_balanced,3,0.25,-0.8443868425533837,-4.752456221908973,0.010598981683026058,0.2686084142394822,0.0009972795134268752
0.0,0.002,confounded,logger12_balanced,3,0.5,-0.8328191275007385,-4.764447769418517,0.010598981683026056,0.2686084142394822,0.0009972795134268752
0.0,0.002,confounded,logger12_balanced,3,0.75,-0.8282328185968625,-4.775925062127658,0.010598981683026058,0.2686084142394822,0.0009972795134268752
0.0,0.002,confounded,logger12_balanced,3,1.0,-0.83507145471561,-4.784198817255284,0.010598981683026058,0.2686084142394822,0.0009972795134268752
0.0,0.002,confounded,logger12_balanced,4,0.0,-1.4111681746049414,-4.426972584553541,0.013553170405277143,0.313915857605178,0.0013784086136598228
0.0,0.002,confounded,logger12_balanced,4,0.1,-1.4068780297988785,-4.43020916430431,0.013553170405277143,0.313915857605178,0.0013784086136598228
0.0,0.002,confounded,logger12_balanced,4,0.25,-1.4013307120335328,-4.436260653841304,0.013553170405277143,0.313915857605178,0.0013784086136598228
0.0,0.002,confounded,logger12_balanced,4,0.5,-1.3945755879805397,-4.448202696206749,0.013553170405277143,0.313915857605178,0.0013784086136598228
0.0,0.002,confounded,logger12_balanced,4,0.75,-1.3889166366035683,-4.460761906649437,0.013553170405277143,0.313915857605178,0.0013784086136598228
0.0,0.002,confounded,logger12_balanced,4,1.0,-1.384859765560439,-4.471384308300056,0.013553170405277143,0.313915857605178,0.0013784086136598228
0.0,0.005,confounded,logger12_balanced,0,0.0,-1.1560069966609599,-4.498119868276305,0.012176992499102177,0.2168284789644013,0.0007126153474347272
0.0,0.005,confounded,logger12_balanced,0,0.1,-1.1400908425596572,-4.507774347084179,0.012176992499102177,0.2168284789644013,0.0007126153474347272
0.0,0.005,confounded,logger12_balanced,0,0.25,-1.1172848159741937,-4.524384079783918,0.012176992499102177,0.2168284789644013,0.0007126153474347272
0.0,0.005,confounded,logger12_balanced,0,0.5,-1.0754627118841773,-4.556051036907505,0.012176992499102177,0.2168284789644013,0.0007126153474347272
0.0,0.005,confounded,logger12_balanced,0,0.75,-1.0282833618506673,-4.589362023811397,0.012176992499102177,0.2168284789644013,0.0007126153474347272
0.0,0.005,confounded,logger12_balanced,0,1.0,-0.9869467434568412,-4.618246201696315,0.012176992499102177,0.2168284789644013,0.0007126153474347272
0.0,0.005,confounded,logger12_balanced,1,0.0,-0.8672002908773542,-4.6723548743625996,0.009980009345928482,0.2621359223300971,0.0009785409696010678
0.0,0.005,confounded,logger12_balanced,1,0.1,-0.8334121262232844,-4.686246075635428,0.009980009345928482,0.2621359223300971,0.0009785409696010678
0.0,0.005,confounded,logger12_balanced,1,0.25,-0.7800552129432445,-4.709959315714352,0.009980009345928482,0.2621359223300971,0.0009785409696010678
0.0,0.005,confounded,logger12_balanced,1,0.5,-0.6838790523409567,-4.753974158916066,0.009980009345928482,0.2621359223300971,0.0009785409696010678
0.0,0.005,confounded,logger12_balanced,1,0.75,-0.5913448859599588,-4.79675781267757,0.009980009345928482,0.2621359223300971,0.0009785409696010678
0.0,0.005,confounded,logger12_balanced,1,1.0,-0.5447074856060384,-4.825572594027965,0.009980009345928482,0.2621359223300971,0.0009785409696010678
0.0,0.005,confounded,logger12_balanced,2,0.0,-1.4172273508780204,-4.405170650161804,0.012667201321210108,0.2297734627831715,0.0007396063322178348
0.0,0.005,confounded,logger12_balanced,2,0.1,-1.4129884777763224,-4.414107679678623,0.012667201321210108,0.2297734627831715,0.0007396063322178348
0.0,0.005,confounded,logger12_balanced,2,0.25,-1.4132214350998102,-4.428660120584098,0.012667201321210108,0.2297734627831715,0.0007396063322178348
0.0,0.005,confounded,logger12_balanced,2,0.5,-1.4121806181311356,-4.454653174803199,0.012667201321210108,0.2297734627831715,0.0007396063322178348
