kappa,lambda_reward,condition,mixture,seed,variant,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy
0.0,0.002,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,False,0.006563210838390777,0.0641208291053772,0.5,0.0,0.6864895820617676,1.9867290284219545,0.510032362459547
0.0,0.002,confounded,logger12_balanced,1,oracle_compatible_plugin,False,0.006563210838390777,0.3999999761581421,0.5,0.0,0.5116724371910095,1.6680786201212265,0.5055016181229773
0.0,0.002,confounded,logger12_balanced,1,oracle_initialized_joint,False,0.0051955319255627295,0.41142457723617554,0.5022495985031128,0.002249598503112793,0.4973583221435547,1.644371627934842,0.501294498381877
0.0,0.002,confounded,logger12_balanced,1,oracle_u_aware_ceiling,False,0.0069630867201271925,,0.5,,0.0,1.0,1.0
0.0,0.002,confounded,logger12_balanced,2,current_random_init,True,0.007044127098130133,0.16165277361869812,0.006902638822793961,0.49309736117720604,0.03666238859295845,1.0373427429695439,0.5
0.0,0.002,confounded,logger12_balanced,2,collapsed_constrained_reference,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed,False,0.006792754693611605,0.3999999761581421,0.5,0.0,0.5094480514526367,1.6643722935063847,0.5
0.0,0.002,confounded,logger12_balanced,2,true_behavior_fixed_em,False,0.006125168943633836,0.3999999761581421,0.5,0.0,0.5115772485733032,1.6679198455800364,0.5009708737864078
0.0,0.002,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,False,0.006645609967550375,0.05576907843351364,0.5,0.0,0.6881176829338074,1.9899662582388988,0.5051779935275081
0.0,0.002,confounded,logger12_balanced,2,oracle_compatible_plugin,False,0.006645609967550375,0.3999999761581421,0.5,0.0,0.5116322040557861,1.6680115094385857,0.5058252427184466
0.0,0.002,confounded,logger12_balanced,2,oracle_initialized_joint,False,0.006147425632458103,0.4204937815666199,0.49014949798583984,0.009850502014160156,0.46602508425712585,1.593646974297583,0.5080906148867314
0.0,0.002,confounded,logger12_balanced,2,oracle_u_aware_ceiling,False,0.007887075671317988,,0.5,,0.0,1.0,1.0
0.0,0.002,confounded,logger12_balanced,3,current_random_init,True,0.006517000005717439,0.1795845478773117,0.9932576417922974,0.49325764179229736,0.0349930077791214,1.0356124675431893,0.5
