kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae,do_mae,do_rmse,rank_error,strict_flip,mean_regret,worst_tie_mean_regret,latent_collapse,reward_mode_separation,behavior_separation,prior_p_z1,prior_error,posterior_entropy,posterior_effective_usage,posterior_u_accuracy,behavior_table_mae,label_permutation,posterior_label_flipped
0.0,0.0,confounded,logger12_balanced,4,oracle_compatible_plugin,-1.3686007261276245,-1.2648357152938843,-1.2776042222976685,0.012857351864541795,0.012740209270473484,0.01913005207050937,0.313915857605178,0.313915857605178,0.0012650129621755728,0.0012650129621755728,False,0.00541464215138766,0.3999999761581421,0.5,0.0,0.51209557056427,1.6687845892036288,0.5,6.623182749422238e-09,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,4,oracle_initialized_joint,-2.0225377082824707,-1.6763596534729004,-1.7190912961959839,0.010084585619063625,0.010033363788166877,0.0161302482464555,0.22653721682847897,0.22653721682847897,0.0008062424400081216,0.0008062424400081216,False,0.005322633611365789,0.41403067111968994,0.4956691563129425,0.004330843687057495,0.4948767423629761,1.6402960475816337,0.5,0.004676886648379939,"(0, 1)",False
0.0,0.0,confounded,logger12_balanced,4,oracle_u_aware_ceiling,-1.3826468129471232,-1.2778872965931969,-1.2879074589248907,0.012405784605712285,0.012306298360360573,0.018412529038668524,0.2686084142394822,0.2686084142394822,0.00088481061065554,0.00088481061065554,False,0.005531561161029369,,0.5,,0.0,1.0,1.0,,,False
0.0,0.002,confounded,logger12_balanced,0,current_random_init,-1.3879303932189941,-1.2597429752349854,-1.2972816228866577,0.01283616525126802,0.012873110959939395,0.018040386814230085,0.33980582524271846,0.33980582524271846,0.0012348152405246792,0.0012348152405246792,True,0.006646023660651198,0.17990657687187195,0.9932628273963928,0.4932628273963928,0.03495213761925697,1.0355701427609996,0.5,0.19407730019754835,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.3526517152786255,-1.2470251321792603,-1.2738020420074463,0.012055077759600408,0.01204275982477322,0.017537177938806936,0.29449838187702265,0.29449838187702265,0.0011197842166794942,0.0011197842166794942,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5,0.15292490385472773,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed,-1.2822551727294922,-1.1499606370925903,-1.2078652381896973,0.017703815799068278,0.01771740184518672,0.02384981032738213,0.22330097087378642,0.22330097087378642,0.0007472940339671027,0.0007472940339671027,False,0.005719261152975094,0.3999999761581421,0.5,0.0,0.5103734731674194,1.6659132526768434,0.501294498381877,6.623182749422238e-09,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.3731902837753296,-1.2600009441375732,-1.293143630027771,0.012471593069399765,0.012431415393625349,0.01798084488763875,0.23624595469255663,0.23624595469255663,0.0009144898837556663,0.0009144898837556663,False,0.00524973557160625,0.3999999761581421,0.5,0.0,0.5120591521263123,1.6687238157822453,0.5003236245954693,6.623182749422238e-09,"(0, 1)",True
0.0,0.002,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.3419971466064453,-1.2324802875518799,-1.2618731260299683,0.014354134728513246,0.01430308384970057,0.01982948048350237,0.18770226537216828,0.18770226537216828,0.0006850233616505644,0.0006850233616505644,False,0.008479530526513592,0.0937969908118248,0.5,0.0,0.6829239726066589,1.9796577428266362,0.5119741100323625,0.10206766890199169,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.3450604677200317,-1.232495665550232,-1.2628247737884521,0.014385419025082918,0.01430308384970057,0.01982948048350237,0.18770226537216828,0.18770226537216828,0.0006850233616505644,0.0006850233616505644,False,0.008479530526513592,0.3999999761581421,0.5,0.0,0.512091338634491,1.668777527039374,0.5084142394822007,6.623182749422238e-09,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,0,oracle_initialized_joint,-2.0407938957214355,-1.5865046977996826,-1.7772070169448853,0.0100500408666317,0.00991916230056443,0.014733938760709546,0.21359223300970873,0.21359223300970873,0.0006923529303168496,0.0006923529303168496,False,0.004496948414202596,0.41258272528648376,0.504986584186554,0.004986584186553955,0.4984710216522217,1.6462023377633908,0.5003236245954693,0.004194244246128672,"(0, 1)",True
0.0,0.002,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.4026403409544688,-1.2804054741190194,-1.3329801985600211,0.01232015322679787,0.012238490022090015,0.01648147154807126,0.18122977346278318,0.18122977346278318,0.0005896531305464937,0.0005896531305464937,False,0.0076411144902887255,,0.5,,0.0,1.0,1.0,,,False
0.0,0.002,confounded,logger12_balanced,1,current_random_init,-1.4101108312606812,-1.2999104261398315,-1.3222978115081787,0.0108105801098845,0.010842127391026092,0.016244259760993657,0.36245954692556637,0.36245954692556637,0.0013552119623125075,0.0013552119623125075,True,0.007340186237406111,0.1848076581954956,0.9933170080184937,0.49331700801849365,0.034970011562108994,1.0355886526479723,0.5,0.19534873380843137,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.317103624343872,-1.2121491432189941,-1.2402938604354858,0.014870883398378311,0.014822623950615963,0.019585302138837798,0.2168284789644013,0.2168284789644013,0.0008660554234295639,0.0008660554234295639,True,0.0,0.0,0.5,,0.6931471805599453,2.0,0.5,0.15327228903770446,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed,-1.3206217288970947,-1.218947410583496,-1.2493757009506226,0.01531599595309264,0.015208723893679754,0.020772014069606534,0.255663430420712,0.255663430420712,0.0009498358050454897,0.0009498358050454897,False,0.006478900841098806,0.3999999761581421,0.5,0.0,0.5111467242240906,1.6672019200272838,0.5016181229773463,6.623182749422238e-09,"(0, 1)",True
0.0,0.002,confounded,logger12_balanced,1,true_behavior_fixed_em,-1.306569218635559,-1.2145780324935913,-1.2396821975708008,0.016864767362709063,0.01691224350439023,0.02153646500538247,0.2686084142394822,0.2686084142394822,0.0010703114399295808,0.0010703114399295808,False,0.006468148760411707,0.3999999761581421,0.5,0.0,0.5099581480026245,1.6652215006415991,0.5003236245954693,6.623182749422238e-09,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,-1.3510258197784424,-1.2602590322494507,-1.282244324684143,0.011264360366676088,0.01118615650076436,0.016852220464951623,0.23300970873786409,0.23300970873786409,0.0008840442066563246,0.0008840442066563246,False,0.006563210838390777,0.0641208291053772,0.5,0.0,0.6864895820617676,1.9867290284219545,0.510032362459547,0.11195972363198435,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,1,oracle_compatible_plugin,-1.353432536125183,-1.2612898349761963,-1.2824233770370483,0.011287762969175627,0.01118615650076436,0.016852220464951623,0.23300970873786409,0.23300970873786409,0.0008840442066563246,0.0008840442066563246,False,0.006563210838390777,0.3999999761581421,0.5,0.0,0.5116724371910095,1.6680786201212265,0.5055016181229773,6.623182749422238e-09,"(0, 1)",False
0.0,0.002,confounded,logger12_balanced,1,oracle_initialized_joint,-2.0055859088897705,-1.6022642850875854,-1.7356513738632202,0.009705415422793845,0.009712097177971404,0.0156492189252512,0.2750809061488673,0.2750809061488673,0.0009722925580559186,0.0009722925580559186,False,0.0051955319255627295,0.41142457723617554,0.5022495985031128,0.002249598503112793,0.4973583221435547,1.644371627934842,0.501294498381877,0.003808179994865429,"(0, 1)",True
