kappa,lambda_reward,condition,mixture,seed,observationally_best_variant,do_mae_best_variant,ranking_best_variant,regret_best_variant,observational_best_matches_do_best,observational_best_matches_ranking_best,observational_best_matches_regret_best,nll_current_collapsed,nll_explicit_collapsed,nll_true_behavior_fixed,nll_true_behavior_em,nll_oracle_plugin,nll_oracle_initialized_best,nll_oracle_initialized_final,delta_nll_oracle_vs_collapsed,delta_nll_oracleinit_best_vs_collapsed,delta_nll_oracleinit_final_vs_collapsed,delta_do_mae_oracle_vs_collapsed,delta_rank_error_oracle_vs_collapsed,delta_regret_oracle_vs_collapsed
0.0,0.005,confounded,logger12_balanced,0,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_reward_fixed_learn_behavior,True,False,False,-1.2591699361801147,-1.2196403741836548,-1.2703298330307007,-1.210191011428833,-1.2355269193649292,-1.5581109523773193,-1.0939571857452393,-0.015886545181274414,-0.33847057819366455,0.12568318843841553,-0.001111026410455098,-0.15533980582524273,-0.0006814610151869172
0.0,0.005,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,True,False,False,-1.2803776264190674,-1.073747158050537,-1.2559257745742798,-1.1974363327026367,-1.239206075668335,-1.5752460956573486,-0.503633975982666,-0.16545891761779785,-0.5014989376068115,0.5701131820678711,-0.010840782474195128,-0.2783171521035599,-0.0015706695286946686
0.0,0.005,confounded,logger12_balanced,2,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_reward_fixed_learn_behavior,oracle_reward_fixed_learn_behavior,False,False,False,-1.274733304977417,-1.2269924879074097,-0.8591299653053284,-1.2276313304901123,-1.2301324605941772,-1.471261978149414,-0.5924401879310608,-0.003139972686767578,-0.2442694902420044,0.6345522999763489,0.0001227927245362019,-0.2297734627831715,-0.0012231412071343115
0.0,0.005,confounded,logger12_balanced,3,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_reward_fixed_learn_behavior,oracle_reward_fixed_learn_behavior,False,False,False,-1.260826587677002,-1.2448209524154663,-1.2274541854858398,-1.2638740539550781,-1.222971796989441,-1.5885709524154663,-0.259746253490448,0.02184915542602539,-0.34375,0.9850746989250183,0.0005953394804788271,-0.23624595469255663,-0.0011727274914458113
0.0,0.005,confounded,logger12_balanced,4,oracle_initialized_joint,current_random_init,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.3024506568908691,-1.150789499282837,-1.2667123079299927,-1.1891816854476929,-1.2442845106124878,-1.4248772859573364,-0.8211855888366699,-0.09349501132965088,-0.2740877866744995,0.329603910446167,0.0004942212677563132,-0.11650485436893204,-0.0006885441751049129
0.0,0.01,confounded,logger12_balanced,0,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.1844679117202759,-1.1818149089813232,-1.1903817653656006,-1.240096092224121,-1.2198060750961304,-1.4022241830825806,-0.596232533454895,-0.03799116611480713,-0.22040927410125732,0.5855823755264282,-2.5439928153818056e-05,-0.4207119741100323,-0.0026895601242077085
0.0,0.01,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.2072267532348633,-1.0952043533325195,-1.1910821199417114,-1.1454123258590698,-1.162914752960205,-1.4511076211929321,-0.9748278856277466,-0.06771039962768555,-0.3559032678604126,0.12037646770477295,-0.008650879064700545,-0.41100323624595475,-0.0029226978949558496
0.0,0.01,confounded,logger12_balanced,2,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.2085355520248413,-0.867331326007843,-0.6640902757644653,-1.0364375114440918,-1.1802772283554077,-1.4147447347640991,-0.6147105693817139,-0.3129459023475647,-0.5474134087562561,0.25262075662612915,-0.006750996252122901,-0.4077669902912621,-0.002718347970119602
0.0,0.01,confounded,logger12_balanced,3,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.2296618223190308,-1.0918457508087158,-1.2063816785812378,-1.1376925706863403,-1.215965986251831,-1.4870038032531738,-1.090177297592163,-0.12412023544311523,-0.395158052444458,0.0016684532165527344,-0.004824496067204011,-0.3074433656957929,-0.0016495567774657636
0.0,0.01,confounded,logger12_balanced,4,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.230071783065796,-1.1564688682556152,-1.1941367387771606,-1.1697587966918945,-1.2236472368240356,-1.457430362701416,-1.0563907623291016,-0.06717836856842041,-0.3009614944458008,0.10007810592651367,-0.0013453605856609142,-0.3656957928802589,-0.002543991294446473
0.0,0.02,confounded,logger12_balanced,0,oracle_initialized_joint,oracle_initialized_joint,oracle_reward_fixed_learn_behavior,oracle_reward_fixed_learn_behavior,True,False,False,-1.0899022817611694,-1.0433566570281982,-1.0607731342315674,-1.038611650466919,-1.1255344152450562,-1.2716987133026123,-0.9159197807312012,-0.08217775821685791,-0.22834205627441406,0.12743687629699707,-0.003713293311082234,-0.6925566343042071,-0.005514918331511911
0.0,0.02,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_reward_fixed_learn_behavior,oracle_u_aware_ceiling,False,False,False,-1.1085655689239502,-0.8752711415290833,-1.0553302764892578,-0.9952515363693237,-1.12850022315979,-1.2393100261688232,-0.22864988446235657,-0.2532290816307068,-0.36403888463974,0.6466212570667267,-0.012398027288113705,-0.6375404530744336,-0.00521266689907837
0.0,0.02,confounded,logger12_balanced,2,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,True,False,False,-1.1009914875030518,-1.01793372631073,-1.1146680116653442,-1.0501680374145508,-1.114965796470642,-1.3159292936325073,-1.2381948232650757,-0.09703207015991211,-0.29799556732177734,-0.2202610969543457,-0.003930555158540988,-0.5922330097087378,-0.004922002311773705
0.0,0.02,confounded,logger12_balanced,3,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.1175792217254639,-1.0437806844711304,-1.0643552541732788,-0.9951395988464355,-1.0922226905822754,-1.2929655313491821,-0.7289499044418335,-0.04844200611114502,-0.24918484687805176,0.3148307800292969,-0.008228168458480184,-0.6860841423948221,-0.005588562736124397
0.0,0.02,confounded,logger12_balanced,4,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.1225974559783936,-1.0584173202514648,-1.0726975202560425,-1.0712459087371826,-1.102295994758606,-1.2135215997695923,-1.1271772384643555,-0.04387867450714111,-0.15510427951812744,-0.06875991821289062,-0.00010862286464196139,-0.45631067961165056,-0.00437338890995316
