kappa,lambda_reward,variant,metric,n_seeds,mean,sd,min,max,ci95_low,ci95_high,inferential_unit
0.0,0.0,oracle_compatible_plugin,validation_nll,5,-1.2447017908096314,0.02428601986250685,-1.2704315185546875,-1.2095916271209717,-1.2748568673325678,-1.214546714286695,model_seed
0.0,0.0,oracle_initialized_joint,behavior_table_mae,5,0.004294789500147403,0.0008002471118852989,0.0032298100495782188,0.005219358040666577,0.0033011514716528856,0.00528842752864192,model_seed
0.0,0.0,oracle_initialized_joint,do_mae,5,0.011077705128740293,0.0011487527816794673,0.010017687080988467,0.012780390157412804,0.009651340156892467,0.012504070100588119,model_seed
0.0,0.0,oracle_initialized_joint,latent_collapse,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,oracle_initialized_joint,mean_regret,5,0.0007484757225030758,5.402575064389584e-05,0.0006630831737141013,0.0008062424400081216,0.0006813938929526163,0.0008155575520535352,model_seed
0.0,0.0,oracle_initialized_joint,rank_error,5,0.21359223300970873,0.01873112767441784,0.18446601941747573,0.23300970873786409,0.19033446613062585,0.2368499998887916,model_seed
0.0,0.0,oracle_initialized_joint,reward_mode_separation,5,0.005502439416014641,0.0006266433889312578,0.004592143596012058,0.006121481992940106,0.004724358880266297,0.006280519951762984,model_seed
0.0,0.0,oracle_initialized_joint,validation_nll,5,-1.5682264804840087,0.06629814639667404,-1.6763596534729004,-1.5146421194076538,-1.6505465020124017,-1.4859064589556157,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,behavior_table_mae,5,0.12140373852562272,0.007701792583132207,0.11312042971496429,0.13333333333377778,0.11184069995351467,0.13096677709773077,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,do_mae,5,0.012089840611423895,0.0006270619789051685,0.011092264121797011,0.012740209270473484,0.011311240327574938,0.012868440895272852,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,latent_collapse,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,mean_regret,5,0.0009704015069221429,0.00018350400891739137,0.0007816006605589165,0.0012650129621755728,0.0007425511855233551,0.0011982518283209307,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,rank_error,5,0.24595469255663427,0.039701760991538174,0.21359223300970873,0.313915857605178,0.19665844526815066,0.2952509398451179,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,reward_mode_separation,5,0.005681806507838175,0.00047859595266397744,0.005206967017653538,0.0063137624500139294,0.00508755114372928,0.00627606187194707,model_seed
0.0,0.0,oracle_reward_fixed_learn_behavior,validation_nll,5,-1.2446183681488037,0.023787686562168998,-1.2705670595169067,-1.211310863494873,-1.2741546821536045,-1.2150820541440028,model_seed
0.0,0.0,oracle_u_aware_ceiling,do_mae,5,0.011436758502899769,0.001645896725271408,0.009358600586442343,0.012995706662819687,0.009393107794368786,0.013480409211430752,model_seed
0.0,0.0,oracle_u_aware_ceiling,latent_collapse,5,0.0,0.0,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,oracle_u_aware_ceiling,mean_regret,5,0.0008785031112952879,0.00017736735241927096,0.0007590111860289727,0.0011834240910294153,0.0006582724553395594,0.0010987337672510164,model_seed
0.0,0.0,oracle_u_aware_ceiling,rank_error,5,0.25889967637540456,0.029126213592233,0.2297734627831715,0.30097087378640774,0.22273470555393565,0.2950646471968735,model_seed
