kappa,lambda_reward,condition,mixture,seed,variant,behavior_table_mae,label_permutation,posterior_u_accuracy,posterior_label_flipped
0.0,0.01,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,0.01995079070370038,"(0, 1)",0.5527508090614887,False
0.0,0.01,confounded,logger12_balanced,4,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.554368932038835,False
0.0,0.01,confounded,logger12_balanced,4,oracle_initialized_joint,0.006316151801518861,"(0, 1)",0.5284789644012945,False
0.0,0.01,confounded,logger12_balanced,4,oracle_u_aware_ceiling,,,1.0,False
0.0,0.02,confounded,logger12_balanced,0,current_random_init,0.19437988762640293,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,0,collapsed_constrained_reference,0.15292490385472773,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,0,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5572815533980583,False
0.0,0.02,confounded,logger12_balanced,0,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5572815533980583,False
0.0,0.02,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.052099877885987994,"(0, 1)",0.5857605177993528,False
0.0,0.02,confounded,logger12_balanced,0,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.6307443365695793,False
0.0,0.02,confounded,logger12_balanced,0,oracle_initialized_joint,0.014227207874677177,"(0, 1)",0.7411003236245954,False
0.0,0.02,confounded,logger12_balanced,0,oracle_u_aware_ceiling,,,1.0,False
0.0,0.02,confounded,logger12_balanced,1,current_random_init,0.19545118943270712,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,1,collapsed_constrained_reference,0.15327228903770446,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,1,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5469255663430421,False
0.0,0.02,confounded,logger12_balanced,1,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.544336569579288,False
0.0,0.02,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.049456031082749666,"(0, 1)",0.5880258899676375,False
0.0,0.02,confounded,logger12_balanced,1,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.6401294498381876,False
0.0,0.02,confounded,logger12_balanced,1,oracle_initialized_joint,0.013593551309991915,"(0, 1)",0.7103559870550162,False
0.0,0.02,confounded,logger12_balanced,1,oracle_u_aware_ceiling,,,1.0,False
0.0,0.02,confounded,logger12_balanced,2,current_random_init,0.18548024402310453,"(1, 0)",0.5,False
0.0,0.02,confounded,logger12_balanced,2,collapsed_constrained_reference,0.15317546812196572,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,2,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5446601941747573,False
0.0,0.02,confounded,logger12_balanced,2,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.540453074433657,False
0.0,0.02,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,0.043791034486911,"(0, 1)",0.5825242718446602,False
0.0,0.02,confounded,logger12_balanced,2,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.6171521035598706,False
0.0,0.02,confounded,logger12_balanced,2,oracle_initialized_joint,0.006826815340683209,"(0, 1)",0.9048543689320389,False
0.0,0.02,confounded,logger12_balanced,2,oracle_u_aware_ceiling,,,1.0,False
0.0,0.02,confounded,logger12_balanced,3,current_random_init,0.1939025476574898,"(1, 0)",0.5,False
0.0,0.02,confounded,logger12_balanced,3,collapsed_constrained_reference,0.15312261577281686,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,3,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5631067961165048,False
0.0,0.02,confounded,logger12_balanced,3,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.553074433656958,False
0.0,0.02,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.05548534885910434,"(0, 1)",0.5870550161812298,False
0.0,0.02,confounded,logger12_balanced,3,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.6216828478964401,False
0.0,0.02,confounded,logger12_balanced,3,oracle_initialized_joint,0.012757856316457716,"(0, 1)",0.7012944983818771,False
0.0,0.02,confounded,logger12_balanced,3,oracle_u_aware_ceiling,,,1.0,False
0.0,0.02,confounded,logger12_balanced,4,current_random_init,0.19280412904918195,"(1, 0)",0.5,False
0.0,0.02,confounded,logger12_balanced,4,collapsed_constrained_reference,0.15329471963147323,"(0, 1)",0.5,False
0.0,0.02,confounded,logger12_balanced,4,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.5579288025889968,False
0.0,0.02,confounded,logger12_balanced,4,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.5559870550161812,False
0.0,0.02,confounded,logger12_balanced,4,oracle_reward_fixed_learn_behavior,0.0342366373790941,"(0, 1)",0.5912621359223301,False
0.0,0.02,confounded,logger12_balanced,4,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.6491909385113268,False
0.0,0.02,confounded,logger12_balanced,4,oracle_initialized_joint,0.00818439647598648,"(0, 1)",0.5844660194174758,False
0.0,0.02,confounded,logger12_balanced,4,oracle_u_aware_ceiling,,,1.0,False
0.0,0.05,confounded,logger12_balanced,0,current_random_init,0.19598505892273455,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,0,collapsed_constrained_reference,0.15292490385472773,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,0,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.7608414239482201,False
0.0,0.05,confounded,logger12_balanced,0,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.6207119741100323,False
0.0,0.05,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,0.006231774390129021,"(0, 1)",0.9799352750809062,False
0.0,0.05,confounded,logger12_balanced,0,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.9812297734627832,False
0.0,0.05,confounded,logger12_balanced,0,oracle_initialized_joint,0.0015910406084020333,"(0, 1)",0.9944983818770227,False
0.0,0.05,confounded,logger12_balanced,0,oracle_u_aware_ceiling,,,1.0,False
0.0,0.05,confounded,logger12_balanced,1,current_random_init,0.19636698541127975,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,1,collapsed_constrained_reference,0.15327228903770446,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,1,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.7637540453074434,False
0.0,0.05,confounded,logger12_balanced,1,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.6058252427184466,False
0.0,0.05,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,0.0077606902358123685,"(0, 1)",0.9634304207119742,False
0.0,0.05,confounded,logger12_balanced,1,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.9715210355987055,False
0.0,0.05,confounded,logger12_balanced,1,oracle_initialized_joint,0.0014651739767350784,"(0, 1)",0.988673139158576,False
0.0,0.05,confounded,logger12_balanced,1,oracle_u_aware_ceiling,,,1.0,False
0.0,0.05,confounded,logger12_balanced,2,current_random_init,0.18933722488582136,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,2,collapsed_constrained_reference,0.15317546812196572,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,2,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.7275080906148867,False
0.0,0.05,confounded,logger12_balanced,2,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.6401294498381876,False
0.0,0.05,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,0.006591281046853867,"(0, 1)",0.9588996763754045,False
0.0,0.05,confounded,logger12_balanced,2,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.9692556634304207,False
0.0,0.05,confounded,logger12_balanced,2,oracle_initialized_joint,0.0008114390907505754,"(0, 1)",0.9896440129449838,False
0.0,0.05,confounded,logger12_balanced,2,oracle_u_aware_ceiling,,,1.0,False
0.0,0.05,confounded,logger12_balanced,3,current_random_init,0.19442156576034098,"(1, 0)",0.5,False
0.0,0.05,confounded,logger12_balanced,3,collapsed_constrained_reference,0.15312261577281686,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,3,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.7323624595469256,False
0.0,0.05,confounded,logger12_balanced,3,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.6634304207119741,False
0.0,0.05,confounded,logger12_balanced,3,oracle_reward_fixed_learn_behavior,0.005939707077596721,"(0, 1)",0.9770226537216828,False
0.0,0.05,confounded,logger12_balanced,3,oracle_compatible_plugin,6.623182749422238e-09,"(0, 1)",0.9809061488673139,False
0.0,0.05,confounded,logger12_balanced,3,oracle_initialized_joint,0.0010002531943541042,"(0, 1)",0.9948220064724919,False
0.0,0.05,confounded,logger12_balanced,3,oracle_u_aware_ceiling,,,1.0,False
0.0,0.05,confounded,logger12_balanced,4,current_random_init,0.1931085639115837,"(1, 0)",0.5,False
0.0,0.05,confounded,logger12_balanced,4,collapsed_constrained_reference,0.15329471963147323,"(0, 1)",0.5,False
0.0,0.05,confounded,logger12_balanced,4,true_behavior_fixed,6.623182749422238e-09,"(0, 1)",0.7132686084142394,False
0.0,0.05,confounded,logger12_balanced,4,true_behavior_fixed_em,6.623182749422238e-09,"(0, 1)",0.6653721682847896,False
