anchor_id,kappa,condition,mixture,segment_kind,lambda_start,lambda_stop,probe_lambda,top_set,top_disagreement,strict_flip,regret_best,regret_worst,true_do_regret,observational_top_second_gap
544,0.0,confounded,logger1_heavy,interval,0.0038416991243794014,0.0038960105094511827,0.003868854816915292,base,True,True,0.0028615818474766463,0.0028615818474766463,0.0028615818474766463,2.051763436039522e-05
544,0.0,confounded,logger1_heavy,point,0.0038960105094511827,0.0038960105094511827,0.0038960105094511827,base|plus,True,True,0.0028615818474766463,0.00580523423239665,0.0028615818474766463,0.0
544,0.0,confounded,logger1_heavy,interval,0.0038960105094511827,+inf,1.0038960105094512,plus,True,True,0.00580523423239665,0.00580523423239665,0.00580523423239665,0.7555555555555555
545,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.003294994007310148
545,0.0,confounded,logger1_heavy,interval,0.0,0.004361021480263431,0.0021805107401317156,minus,False,False,0.0,0.0,0.0,0.001647497003655296
545,0.0,confounded,logger1_heavy,point,0.004361021480263431,0.004361021480263431,0.004361021480263431,minus|base,True,False,0.0,0.003294994007309704,0.0,0.0
545,0.0,confounded,logger1_heavy,interval,0.004361021480263431,0.00441629122282696,0.004388656351545195,base,True,True,0.003294994007309704,0.003294994007309704,0.003294994007309704,2.087968052411071e-05
545,0.0,confounded,logger1_heavy,point,0.00441629122282696,0.00441629122282696,0.00441629122282696,base,True,True,0.003294994007309704,0.003294994007309704,0.003294994007309704,4.175936104822142e-05
545,0.0,confounded,logger1_heavy,interval,0.00441629122282696,0.004471560965390488,0.004443926094108724,base,True,True,0.003294994007309704,0.003294994007309704,0.003294994007309704,2.087968052411071e-05
545,0.0,confounded,logger1_heavy,point,0.004471560965390488,0.004471560965390488,0.004471560965390488,base|plus,True,True,0.003294994007309704,0.006673506736716295,0.003294994007309704,0.0
545,0.0,confounded,logger1_heavy,interval,0.004471560965390488,+inf,1.0044715609653905,plus,True,True,0.006673506736716295,0.006673506736716295,0.006673506736716295,0.7555555555555555
546,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0025780017894661
546,0.0,confounded,logger1_heavy,interval,0.0,0.0034120611919404267,0.0017060305959702134,minus,False,False,0.0,0.0,0.0,0.00128900089473305
546,0.0,confounded,logger1_heavy,point,0.0034120611919404267,0.0034120611919404267,0.0034120611919404267,minus|base,True,False,0.0,0.0025780017894661,0.0,0.0
546,0.0,confounded,logger1_heavy,interval,0.0034120611919404267,0.0034677788403072846,0.0034399200161238557,base,True,True,0.0025780017894661,0.0025780017894661,0.0025780017894661,2.1048889383035174e-05
546,0.0,confounded,logger1_heavy,point,0.0034677788403072846,0.0034677788403072846,0.0034677788403072846,base,True,True,0.0025780017894661,0.0025780017894661,0.0025780017894661,4.209777876607035e-05
546,0.0,confounded,logger1_heavy,interval,0.0034677788403072846,0.003523496488674142,0.0034956376644907135,base,True,True,0.0025780017894661,0.0025780017894661,0.0025780017894661,2.1048889383035174e-05
546,0.0,confounded,logger1_heavy,point,0.003523496488674142,0.003523496488674142,0.003523496488674142,base|plus,True,True,0.0025780017894661,0.005240199136464341,0.0025780017894661,0.0
546,0.0,confounded,logger1_heavy,interval,0.003523496488674142,+inf,1.0035234964886741,plus,True,True,0.005240199136464341,0.005240199136464341,0.005240199136464341,0.7555555555555555
547,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.002504796359679151
547,0.0,confounded,logger1_heavy,interval,0.0,0.0033151716525165235,0.0016575858262582617,minus,False,False,0.0,0.0,0.0,0.0012523981798393535
547,0.0,confounded,logger1_heavy,point,0.0033151716525165235,0.0033151716525165235,0.0033151716525165235,minus|base,True,False,0.0,0.002504796359679151,0.0,0.0
547,0.0,confounded,logger1_heavy,interval,0.0033151716525165235,0.0033700003607395335,0.0033425860066280287,base,True,True,0.002504796359679151,0.002504796359679151,0.002504796359679151,2.0713067550914843e-05
547,0.0,confounded,logger1_heavy,point,0.0033700003607395335,0.0033700003607395335,0.0033700003607395335,base,True,True,0.002504796359679151,0.002504796359679151,0.002504796359679151,4.1426135101829686e-05
547,0.0,confounded,logger1_heavy,interval,0.0033700003607395335,0.0034248290689625435,0.0033974147148510382,base,True,True,0.002504796359679151,0.002504796359679151,0.002504796359679151,2.0713067550914843e-05
547,0.0,confounded,logger1_heavy,point,0.0034248290689625435,0.0034248290689625435,0.0034248290689625435,base|plus,True,True,0.002504796359679151,0.005092444989561962,0.002504796359679151,0.0
547,0.0,confounded,logger1_heavy,interval,0.0034248290689625435,+inf,1.0034248290689625,plus,True,True,0.005092444989561962,0.005092444989561962,0.005092444989561962,0.7555555555555555
548,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.006262393987575887
548,0.0,confounded,logger1_heavy,interval,0.0,0.008288462630615145,0.0041442313153075725,minus,False,False,0.0,0.0,0.0,0.0031311969937877215
548,0.0,confounded,logger1_heavy,point,0.008288462630615145,0.008288462630615145,0.008288462630615145,minus|base,True,False,0.0,0.006262393987575443,0.0,0.0
548,0.0,confounded,logger1_heavy,interval,0.008288462630615145,0.008341708017293692,0.008315085323954419,base,True,True,0.006262393987575443,0.006262393987575443,0.006262393987575443,2.0114923856340283e-05
548,0.0,confounded,logger1_heavy,point,0.008341708017293692,0.008341708017293692,0.008341708017293692,base,True,True,0.006262393987575443,0.006262393987575443,0.006262393987575443,4.0229847712680566e-05
548,0.0,confounded,logger1_heavy,interval,0.008341708017293692,0.008394953403972241,0.008368330710632966,base,True,True,0.006262393987575443,0.006262393987575443,0.006262393987575443,2.0114923856340283e-05
548,0.0,confounded,logger1_heavy,point,0.008394953403972241,0.008394953403972241,0.008394953403972241,base|plus,True,True,0.006262393987575443,0.012605247670577135,0.006262393987575443,0.0
548,0.0,confounded,logger1_heavy,interval,0.008394953403972241,+inf,1.0083949534039722,plus,True,True,0.012605247670577135,0.012605247670577135,0.012605247670577135,0.755555555555556
549,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.002619702774132371
549,0.0,confounded,logger1_heavy,interval,0.0,0.003467253671645785,0.0017336268358228925,minus,False,False,0.0,0.0,0.0,0.0013098513870661854
549,0.0,confounded,logger1_heavy,point,0.003467253671645785,0.003467253671645785,0.003467253671645785,minus|base,True,False,0.0,0.002619702774132371,0.0,0.0
549,0.0,confounded,logger1_heavy,interval,0.003467253671645785,0.0035224106992263783,0.0034948321854360817,base,True,True,0.002619702774132371,0.002619702774132371,0.002619702774132371,2.0837099308224083e-05
549,0.0,confounded,logger1_heavy,point,0.0035224106992263783,0.0035224106992263783,0.0035224106992263783,base,True,True,0.002619702774132371,0.002619702774132371,0.002619702774132371,4.1674198616448166e-05
549,0.0,confounded,logger1_heavy,interval,0.0035224106992263783,0.003577567726806971,0.0035499892130166745,base,True,True,0.002619702774132371,0.002619702774132371,0.002619702774132371,2.0837099308224083e-05
549,0.0,confounded,logger1_heavy,point,0.003577567726806971,0.003577567726806971,0.003577567726806971,base|plus,True,True,0.002619702774132371,0.005322753945498082,0.002619702774132371,0.0
549,0.0,confounded,logger1_heavy,interval,0.003577567726806971,+inf,1.003577567726807,plus,True,True,0.005322753945498082,0.005322753945498082,0.005322753945498082,0.7555555555555555
550,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0029556852020626856
550,0.0,confounded,logger1_heavy,interval,0.0,0.003911936296847672,0.001955968148423836,minus,False,False,0.0,0.0,0.0,0.0014778426010315648
550,0.0,confounded,logger1_heavy,point,0.003911936296847672,0.003911936296847672,0.003911936296847672,minus|base,True,False,0.0,0.0029556852020622415,0.0,0.0
550,0.0,confounded,logger1_heavy,interval,0.003911936296847672,0.00396680998366653,0.0039393731402571006,base,True,True,0.0029556852020622415,0.0029556852020622415,0.0029556852020622415,2.073005946501283e-05
550,0.0,confounded,logger1_heavy,point,0.00396680998366653,0.00396680998366653,0.00396680998366653,base,True,True,0.0029556852020622415,0.0029556852020622415,0.0029556852020622415,4.146011892958157e-05
550,0.0,confounded,logger1_heavy,interval,0.00396680998366653,0.0040216836704853876,0.003994246827075959,base,True,True,0.0029556852020622415,0.0029556852020622415,0.0029556852020622415,2.073005946501283e-05
550,0.0,confounded,logger1_heavy,point,0.0040216836704853876,0.0040216836704853876,0.0040216836704853876,base|plus,True,True,0.0029556852020622415,0.005994290641984978,0.0029556852020622415,0.0
550,0.0,confounded,logger1_heavy,interval,0.0040216836704853876,+inf,1.0040216836704854,plus,True,True,0.005994290641984978,0.005994290641984978,0.005994290641984978,0.755555555555556
551,0.0,confounded,logger1_heavy,point,0.0,0.0,0.0,minus,False,False,0.0,0.0,0.0,0.0028093635360466607
551,0.0,confounded,logger1_heavy,interval,0.0,0.003718275268297051,0.0018591376341485254,minus,False,False,0.0,0.0,0.0,0.0014046817680233303
551,0.0,confounded,logger1_heavy,point,0.003718275268297051,0.003718275268297051,0.003718275268297051,minus|base,True,False,0.0,0.0028093635360466607,0.0,0.0
551,0.0,confounded,logger1_heavy,interval,0.003718275268297051,0.0037730961345944225,0.003745685701445737,base,True,True,0.0028093635360466607,0.0028093635360466607,0.0028093635360466607,2.07101050455627e-05
551,0.0,confounded,logger1_heavy,point,0.0037730961345944225,0.0037730961345944225,0.0037730961345944225,base,True,True,0.0028093635360466607,0.0028093635360466607,0.0028093635360466607,4.142021009156949e-05
551,0.0,confounded,logger1_heavy,interval,0.0037730961345944225,0.003827917000891794,0.003800506567743108,base,True,True,0.0028093635360466607,0.0028093635360466607,0.0028093635360466607,2.07101050455627e-05
551,0.0,confounded,logger1_heavy,point,0.003827917000891794,0.003827917000891794,0.003827917000891794,base|plus,True,True,0.0028093635360466607,0.005701567492276016,0.0028093635360466607,0.0
551,0.0,confounded,logger1_heavy,interval,0.003827917000891794,+inf,1.0038279170008917,plus,True,True,0.005701567492276016,0.005701567492276016,0.005701567492276016,0.7555555555555551
