anchor_id,kappa,condition,mixture,left_action,right_action,crossing,status,top_left,top_point,top_right
274,0.0,confounded,logger2_heavy,minus,base,0.00677391053953158,nonnegative,plus,plus,plus
274,0.0,confounded,logger2_heavy,minus,plus,0.006595675375597687,nonnegative,minus,minus|plus,plus
274,0.0,confounded,logger2_heavy,base,plus,0.006417440211663794,nonnegative,minus,minus,minus
275,0.0,confounded,logger2_heavy,minus,base,0.01589645325027833,nonnegative,minus,minus|base,base
275,0.0,confounded,logger2_heavy,minus,plus,0.015988120873073774,nonnegative,base,base,base
275,0.0,confounded,logger2_heavy,base,plus,0.01607978849586922,nonnegative,base,base|plus,plus
276,0.0,confounded,logger2_heavy,minus,base,0.015311578075926313,nonnegative,minus,minus|base,base
276,0.0,confounded,logger2_heavy,minus,plus,0.015465833486549674,nonnegative,base,base,base
276,0.0,confounded,logger2_heavy,base,plus,0.015620088897173035,nonnegative,base,base|plus,plus
277,0.0,confounded,logger2_heavy,minus,base,0.003453865691963154,nonnegative,minus,minus|base,base
277,0.0,confounded,logger2_heavy,minus,plus,0.003548042990041189,nonnegative,base,base,base
277,0.0,confounded,logger2_heavy,base,plus,0.0036422202881192245,nonnegative,base,base|plus,plus
278,0.0,confounded,logger2_heavy,minus,base,0.004390885185258875,nonnegative,minus,minus|base,base
278,0.0,confounded,logger2_heavy,minus,plus,0.004483685222849254,nonnegative,base,base,base
278,0.0,confounded,logger2_heavy,base,plus,0.004576485260439633,nonnegative,base,base|plus,plus
279,0.0,confounded,logger2_heavy,minus,base,0.006947456419413411,nonnegative,minus,minus|base,base
279,0.0,confounded,logger2_heavy,minus,plus,0.006976614898317801,nonnegative,base,base,base
279,0.0,confounded,logger2_heavy,base,plus,0.007005773377222191,nonnegative,base,base|plus,plus
280,0.0,confounded,logger2_heavy,minus,base,0.005513144691660199,nonnegative,minus,minus|base,base
280,0.0,confounded,logger2_heavy,minus,plus,0.005606477996984549,nonnegative,base,base,base
280,0.0,confounded,logger2_heavy,base,plus,0.005699811302308899,nonnegative,base,base|plus,plus
281,0.0,confounded,logger2_heavy,minus,base,0.0054541650399067,nonnegative,minus,minus|base,base
281,0.0,confounded,logger2_heavy,minus,plus,0.007328374927558445,nonnegative,base,base,base
281,0.0,confounded,logger2_heavy,base,plus,0.00920258481521019,nonnegative,base,base|plus,plus
282,0.0,confounded,logger2_heavy,minus,base,0.016291338070715033,nonnegative,minus,minus|base,base
282,0.0,confounded,logger2_heavy,minus,plus,0.016382131568425662,nonnegative,base,base,base
282,0.0,confounded,logger2_heavy,base,plus,0.01647292506613629,nonnegative,base,base|plus,plus
283,0.0,confounded,logger2_heavy,minus,base,0.012988373710632994,nonnegative,minus,minus|base,base
283,0.0,confounded,logger2_heavy,minus,plus,0.013078870502215956,nonnegative,base,base,base
283,0.0,confounded,logger2_heavy,base,plus,0.013169367293798917,nonnegative,base,base|plus,plus
284,0.0,confounded,logger2_heavy,minus,base,0.0048861278064042946,nonnegative,minus,minus|base,base
284,0.0,confounded,logger2_heavy,minus,plus,0.004979292692200821,nonnegative,base,base,base
284,0.0,confounded,logger2_heavy,base,plus,0.005072457577997347,nonnegative,base,base|plus,plus
285,0.0,confounded,logger2_heavy,minus,base,0.014499113078379922,nonnegative,minus,minus|base,base
285,0.0,confounded,logger2_heavy,minus,plus,0.014590354010973194,nonnegative,base,base,base
285,0.0,confounded,logger2_heavy,base,plus,0.014681594943566467,nonnegative,base,base|plus,plus
286,0.0,confounded,logger2_heavy,minus,base,0.013892154400305223,nonnegative,minus,minus|base,base
286,0.0,confounded,logger2_heavy,minus,plus,0.014456315944683495,nonnegative,base,base,base
286,0.0,confounded,logger2_heavy,base,plus,0.015020477489061768,nonnegative,base,base|plus,plus
287,0.0,confounded,logger2_heavy,minus,base,0.002870878023613632,nonnegative,minus,minus|base,base
287,0.0,confounded,logger2_heavy,minus,plus,0.0029636719400304434,nonnegative,base,base,base
287,0.0,confounded,logger2_heavy,base,plus,0.0030564658564472547,nonnegative,base,base|plus,plus
288,0.0,confounded,logger2_heavy,minus,base,0.014093049373715916,nonnegative,minus,minus|base,base
288,0.0,confounded,logger2_heavy,minus,plus,0.01418402306385852,nonnegative,base,base,base
288,0.0,confounded,logger2_heavy,base,plus,0.014274996754001124,nonnegative,base,base|plus,plus
289,0.0,confounded,logger2_heavy,minus,base,0.01479259300259761,nonnegative,minus,minus|base,base
289,0.0,confounded,logger2_heavy,minus,plus,0.015076540659383408,nonnegative,base,base,base
289,0.0,confounded,logger2_heavy,base,plus,0.015360488316169207,nonnegative,base,base|plus,plus
290,0.0,confounded,logger2_heavy,minus,base,0.012558351761897346,nonnegative,minus,minus|base,base
290,0.0,confounded,logger2_heavy,minus,plus,0.01267237976233676,nonnegative,base,base,base
290,0.0,confounded,logger2_heavy,base,plus,0.012786407762776175,nonnegative,base,base|plus,plus
291,0.0,confounded,logger2_heavy,minus,base,0.005613642584084144,nonnegative,minus,minus|base,base
291,0.0,confounded,logger2_heavy,minus,plus,0.005706345060591311,nonnegative,base,base,base
291,0.0,confounded,logger2_heavy,base,plus,0.005799047537098478,nonnegative,base,base|plus,plus
292,0.0,confounded,logger2_heavy,minus,base,0.014123096699090731,nonnegative,minus,minus|base,base
292,0.0,confounded,logger2_heavy,minus,plus,0.014213952582305123,nonnegative,base,base,base
292,0.0,confounded,logger2_heavy,base,plus,0.014304808465519514,nonnegative,base,base|plus,plus
293,0.0,confounded,logger2_heavy,minus,base,0.013649432314419951,nonnegative,minus,minus|base,base
293,0.0,confounded,logger2_heavy,minus,plus,0.013740055728308553,nonnegative,base,base,base
293,0.0,confounded,logger2_heavy,base,plus,0.013830679142197155,nonnegative,base,base|plus,plus
294,0.0,confounded,logger2_heavy,minus,base,0.012749330247000534,nonnegative,minus,minus|base,base
294,0.0,confounded,logger2_heavy,minus,plus,0.012839401635246439,nonnegative,base,base,base
294,0.0,confounded,logger2_heavy,base,plus,0.012929473023492344,nonnegative,base,base|plus,plus
295,0.0,confounded,logger2_heavy,minus,base,0.006804878505133449,nonnegative,minus,minus|base,base
295,0.0,confounded,logger2_heavy,minus,plus,0.006897513723245263,nonnegative,base,base,base
295,0.0,confounded,logger2_heavy,base,plus,0.006990148941357077,nonnegative,base,base|plus,plus
296,0.0,confounded,logger2_heavy,minus,base,0.013692528979176832,nonnegative,minus,minus|base,base
296,0.0,confounded,logger2_heavy,minus,plus,0.013783369262870548,nonnegative,base,base,base
296,0.0,confounded,logger2_heavy,base,plus,0.013874209546564265,nonnegative,base,base|plus,plus
297,0.0,confounded,logger2_heavy,minus,base,0.013882517390252258,nonnegative,minus,minus|base,base
297,0.0,confounded,logger2_heavy,minus,plus,0.013973172263117783,nonnegative,base,base,base
297,0.0,confounded,logger2_heavy,base,plus,0.014063827135983309,nonnegative,base,base|plus,plus
298,0.0,confounded,logger2_heavy,minus,base,0.01302403426427201,nonnegative,minus,minus|base,base
298,0.0,confounded,logger2_heavy,minus,plus,0.013114261347474843,nonnegative,base,base,base
298,0.0,confounded,logger2_heavy,base,plus,0.013204488430677674,nonnegative,base,base|plus,plus
300,0.0,confounded,logger2_heavy,minus,base,0.0074769051249578,nonnegative,minus,minus|base,base
300,0.0,confounded,logger2_heavy,minus,plus,0.0075676720422295785,nonnegative,base,base,base
300,0.0,confounded,logger2_heavy,base,plus,0.007658438959501357,nonnegative,base,base|plus,plus
301,0.0,confounded,logger2_heavy,minus,base,0.012800808573073419,nonnegative,minus,minus|base,base
301,0.0,confounded,logger2_heavy,minus,plus,0.012896115068243785,nonnegative,base,base,base
301,0.0,confounded,logger2_heavy,base,plus,0.012991421563414152,nonnegative,base,base|plus,plus
302,0.0,confounded,logger2_heavy,minus,base,0.012682387369446269,nonnegative,minus,minus|base,base
302,0.0,confounded,logger2_heavy,minus,plus,0.012772353877305298,nonnegative,base,base,base
302,0.0,confounded,logger2_heavy,base,plus,0.012862320385164328,nonnegative,base,base|plus,plus
303,0.0,confounded,logger2_heavy,minus,base,0.00135945094905221,nonnegative,minus,minus|base,base
303,0.0,confounded,logger2_heavy,minus,plus,0.0013748355239232568,nonnegative,base,base,base
303,0.0,confounded,logger2_heavy,base,plus,0.0013902200987943036,nonnegative,base,base|plus,plus
304,0.0,confounded,logger2_heavy,minus,base,0.013283679034438167,nonnegative,minus,minus|base,base
304,0.0,confounded,logger2_heavy,minus,plus,0.013374301336965766,nonnegative,base,base,base
304,0.0,confounded,logger2_heavy,base,plus,0.013464923639493365,nonnegative,base,base|plus,plus
305,0.0,confounded,logger2_heavy,minus,base,0.013870050441886606,nonnegative,minus,minus|base,base
305,0.0,confounded,logger2_heavy,minus,plus,0.013960674045873145,nonnegative,base,base,base
305,0.0,confounded,logger2_heavy,base,plus,0.014051297649859684,nonnegative,base,base|plus,plus
306,0.0,confounded,logger2_heavy,minus,base,0.013030673576477025,nonnegative,minus,minus|base,base
306,0.0,confounded,logger2_heavy,minus,plus,0.013120925996847721,nonnegative,base,base,base
306,0.0,confounded,logger2_heavy,base,plus,0.013211178417218417,nonnegative,base,base|plus,plus
307,0.0,confounded,logger2_heavy,minus,plus,9.109688136232919e-05,nonnegative,base,base,base
307,0.0,confounded,logger2_heavy,base,plus,0.0001835763974133986,nonnegative,base,base|plus,plus
308,0.0,confounded,logger2_heavy,minus,base,0.01296464895695637,nonnegative,minus,minus|base,base
308,0.0,confounded,logger2_heavy,minus,plus,0.013054935367169007,nonnegative,base,base,base
308,0.0,confounded,logger2_heavy,base,plus,0.013145221777381644,nonnegative,base,base|plus,plus
309,0.0,confounded,logger2_heavy,minus,base,0.0032952575565891595,nonnegative,minus,minus|base,base
309,0.0,confounded,logger2_heavy,minus,plus,0.003384914331853492,nonnegative,base,base,base
309,0.0,confounded,logger2_heavy,base,plus,0.0034745711071178242,nonnegative,base,base|plus,plus
310,0.0,confounded,logger2_heavy,minus,base,0.0027473415165446546,nonnegative,minus,minus|base,base
310,0.0,confounded,logger2_heavy,minus,plus,0.0028370683573769595,nonnegative,base,base,base
310,0.0,confounded,logger2_heavy,base,plus,0.0029267951982092644,nonnegative,base,base|plus,plus
311,0.0,confounded,logger2_heavy,minus,base,0.003768181249745317,nonnegative,minus,minus|base,base
311,0.0,confounded,logger2_heavy,minus,plus,0.003861100701480269,nonnegative,base,base,base
311,0.0,confounded,logger2_heavy,base,plus,0.003954020153215221,nonnegative,base,base|plus,plus
312,0.0,confounded,logger2_heavy,minus,base,0.003385685934738203,nonnegative,minus,minus|base,base
312,0.0,confounded,logger2_heavy,minus,plus,0.003413236922268581,nonnegative,base,base,base
312,0.0,confounded,logger2_heavy,base,plus,0.003440787909798959,nonnegative,base,base|plus,plus
313,0.0,confounded,logger2_heavy,minus,base,0.0057698773821019955,nonnegative,minus,minus|base,base
313,0.0,confounded,logger2_heavy,minus,plus,0.005864436810418983,nonnegative,base,base,base
313,0.0,confounded,logger2_heavy,base,plus,0.00595899623873597,nonnegative,base,base|plus,plus
314,0.0,confounded,logger2_heavy,minus,base,0.004085278363738842,nonnegative,minus,minus|base,base
314,0.0,confounded,logger2_heavy,minus,plus,0.004180136315252991,nonnegative,base,base,base
314,0.0,confounded,logger2_heavy,base,plus,0.00427499426676714,nonnegative,base,base|plus,plus
315,0.0,confounded,logger2_heavy,minus,base,0.005731467995808481,nonnegative,minus,minus|base,base
315,0.0,confounded,logger2_heavy,minus,plus,0.0058254055688332085,nonnegative,base,base,base
315,0.0,confounded,logger2_heavy,base,plus,0.005919343141857936,nonnegative,base,base|plus,plus
316,0.0,confounded,logger2_heavy,minus,base,0.00633955689110699,nonnegative,minus,minus|base,base
316,0.0,confounded,logger2_heavy,minus,plus,0.006432238290465131,nonnegative,base,base,base
316,0.0,confounded,logger2_heavy,base,plus,0.006524919689823272,nonnegative,base,base|plus,plus
317,0.0,confounded,logger2_heavy,minus,base,0.004527510571063709,nonnegative,minus,minus|base,base
317,0.0,confounded,logger2_heavy,minus,plus,0.004621312544682732,nonnegative,base,base,base
317,0.0,confounded,logger2_heavy,base,plus,0.004715114518301755,nonnegative,base,base|plus,plus
318,0.0,confounded,logger2_heavy,minus,base,0.004650973177323214,nonnegative,minus,minus|base,base
318,0.0,confounded,logger2_heavy,minus,plus,0.004743338522701368,nonnegative,base,base,base
318,0.0,confounded,logger2_heavy,base,plus,0.004835703868079522,nonnegative,base,base|plus,plus
319,0.0,confounded,logger2_heavy,minus,base,0.013450776375408147,nonnegative,minus,minus|base,base
319,0.0,confounded,logger2_heavy,minus,plus,0.013578477979722725,nonnegative,base,base,base
319,0.0,confounded,logger2_heavy,base,plus,0.013706179584037304,nonnegative,base,base|plus,plus
320,0.0,confounded,logger2_heavy,minus,base,0.0056696068295080115,nonnegative,minus,minus|base,base
320,0.0,confounded,logger2_heavy,minus,plus,0.005762766474013137,nonnegative,base,base,base
320,0.0,confounded,logger2_heavy,base,plus,0.005855926118518262,nonnegative,base,base|plus,plus
321,0.0,confounded,logger2_heavy,minus,base,0.01477977792645635,nonnegative,minus,minus|base,base
321,0.0,confounded,logger2_heavy,minus,plus,0.014871143546891674,nonnegative,base,base,base
321,0.0,confounded,logger2_heavy,base,plus,0.014962509167326998,nonnegative,base,base|plus,plus
322,0.0,confounded,logger2_heavy,minus,base,0.01476492756566028,nonnegative,minus,minus|base,base
322,0.0,confounded,logger2_heavy,minus,plus,0.015423771341436743,nonnegative,base,base,base
322,0.0,confounded,logger2_heavy,base,plus,0.016082615117213206,nonnegative,base,base|plus,plus
323,0.0,confounded,logger2_heavy,minus,base,0.009813785593066338,nonnegative,minus,minus|base,base
323,0.0,confounded,logger2_heavy,minus,plus,0.011464118552472202,nonnegative,base,base,base
323,0.0,confounded,logger2_heavy,base,plus,0.013114451511878067,nonnegative,base,base|plus,plus
324,0.0,confounded,logger2_heavy,minus,base,0.00640726583103679,nonnegative,minus,minus|base,base
324,0.0,confounded,logger2_heavy,minus,plus,0.006499995002369807,nonnegative,base,base,base
324,0.0,confounded,logger2_heavy,base,plus,0.006592724173702824,nonnegative,base,base|plus,plus
325,0.0,confounded,logger2_heavy,minus,base,0.01440310932866895,nonnegative,minus,minus|base,base
325,0.0,confounded,logger2_heavy,minus,plus,0.014494015148187933,nonnegative,base,base,base
325,0.0,confounded,logger2_heavy,base,plus,0.014584920967706916,nonnegative,base,base|plus,plus
326,0.0,confounded,logger2_heavy,minus,base,0.013322765298088846,nonnegative,minus,minus|base,base
326,0.0,confounded,logger2_heavy,minus,plus,0.013898335316100907,nonnegative,base,base,base
326,0.0,confounded,logger2_heavy,base,plus,0.014473905334112969,nonnegative,base,base|plus,plus
