kappa,condition,mixture,subset,lambda_reward,count,rank_disagreement_rate,strict_flip_rate,obs_regret,obs_regret_worst_tie,mean_regret,conditional_regret_given_error,mean_action_dependent_distortion,gap_sign_preservation,mean_obs_top_second_gap,obs_top_fraction_minus,obs_top_fraction_base,obs_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus
0.0,confounded,logger1_heavy,train,0.015,358,0.9329608938547486,0.9329608938547486,0.0059259534388470285,0.0059259534388470285,0.0059259534388470285,0.0063517704524168744,0.016027753706895076,0.06983240223463687,0.008590649187090897,0.0,0.0,1.0,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.02,358,0.9329608938547486,0.9329608938547486,0.0059259534388470285,0.0059259534388470285,0.0059259534388470285,0.0063517704524168744,0.0213703382758601,0.06983240223463687,0.012368426964868647,0.0,0.0,1.0,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.03,358,0.9329608938547486,0.9329608938547486,0.0059259534388470285,0.0059259534388470285,0.0059259534388470285,0.0063517704524168744,0.03205550741379015,0.06983240223463687,0.019923982520424346,0.0,0.0,1.0,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.05,358,0.9329608938547486,0.9329608938547486,0.0059259534388470285,0.0059259534388470285,0.0059259534388470285,0.0063517704524168744,0.05342584568965027,0.06983240223463687,0.03503509363153538,0.0,0.0,1.0,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,validation,0.0,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0033530116541722727,0.9078947368421053,0.039473684210526314,0.05263157894736842,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.0005,76,0.039473684210526314,0.039473684210526314,8.336265624540507e-06,8.336265624540507e-06,8.336265624540507e-06,0.00021118539582169285,0.0005342584568965025,0.9736842105263158,0.0030361179240146197,0.8947368421052632,0.013157894736842105,0.09210526315789473,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.001,76,0.039473684210526314,0.039473684210526314,8.336265624540507e-06,8.336265624540507e-06,8.336265624540507e-06,0.00021118539582169285,0.001068516913793005,0.9736842105263158,0.00272793078951151,0.8947368421052632,0.013157894736842105,0.09210526315789473,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.002,76,0.18421052631578946,0.18421052631578946,0.0002925467991559186,0.0002925467991559186,0.0002925467991559186,0.0015881111954178437,0.00213703382758601,0.8289473684210527,0.002212275875541451,0.7631578947368421,0.02631578947368421,0.21052631578947367,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.003,76,0.35526315789473684,0.35526315789473684,0.0009703607964645571,0.0009703607964645571,0.0009703607964645571,0.0027313859456039387,0.0032055507413790156,0.6578947368421053,0.0019514327720762874,0.5921052631578947,0.0,0.40789473684210525,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.005,76,0.6973684210526315,0.6973684210526315,0.0028730181937096483,0.0028730181937096483,0.0028730181937096483,0.004119799673998741,0.005342584568965026,0.3157894736842105,0.0022579860116433994,0.25,0.02631578947368421,0.7236842105263158,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.0075,76,0.7631578947368421,0.75,0.0033300795059249704,0.003404636992749535,0.0033300795059249704,0.004363552456039616,0.00801387685344754,0.25,0.0032160326803472613,0.19736842105263158,0.05263157894736842,0.7631578947368421,0.9078947368421053,0.039473684210526314,0.05263157894736842
0.0,confounded,logger1_heavy,validation,0.01,76,0.9342105263157895,0.9342105263157895,0.005867382967318394,0.005867382967318394,0.005867382967318394,0.006280578950932365,0.010685169137930052,0.07894736842105263,0.004729309080625092,0.013157894736842105,0.013157894736842105,0.9736842105263158,0.9078947368421053,0.039473684210526314,0.05263157894736842
