action,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,seed_max,seed_min,seed_sd,seed_variation_reported_separately
base,anchor_id,0.031313520668385525,0.01798941357098569,independent_latents,0.0,0.0,0.02396851385174519,reward_population_mae,logger1_heavy,3,78,0.02725270910171651,0.018635047566479192,0.004660006053220371,True
base,anchor_id,0.05091787157382526,0.02711222155254947,independent_latents,0.0,0.0,0.03897645853951758,reward_population_rmse,logger1_heavy,3,78,0.04775122971447319,0.026133884955587015,0.011368274316490727,True
minus,anchor_id,0.03268990761592854,0.018716241439559772,independent_latents,0.0,0.0,0.025302649660671066,reward_population_mae,logger1_heavy,3,78,0.028473932549760186,0.020107321470433835,0.004535704440767874,True
minus,anchor_id,0.053518168962330144,0.02759511878488934,independent_latents,0.0,0.0,0.04116132746317148,reward_population_rmse,logger1_heavy,3,78,0.0490227291114493,0.027615753118164006,0.011781214696666827,True
plus,anchor_id,0.031000478873544207,0.018073528747935722,independent_latents,0.0,0.0,0.023987527850737256,reward_population_mae,logger1_heavy,3,78,0.02707288384437463,0.01942030433107587,0.004035770288972525,True
plus,anchor_id,0.047978318632277396,0.026297194113399192,independent_latents,0.0,0.0,0.03756205277187894,reward_population_rmse,logger1_heavy,3,78,0.04644963630216069,0.026377410726526464,0.010231369324583604,True
base,anchor_id,0.0,0.0,independent_latents,0.0,0.0,0.0,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
base,anchor_id,0.0,0.0,independent_latents,0.0,0.0,0.0,signed_heavy_population_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
minus,anchor_id,0.0,0.0,independent_latents,0.0,0.0,0.0,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
minus,anchor_id,1.499275537527989e-16,1.613144565694672e-17,independent_latents,0.0,0.0,8.255504542084498e-17,signed_heavy_population_drift,logger1_minus_logger2,3,78,8.255504542084498e-17,8.255504542084498e-17,0.0,True
plus,anchor_id,0.0,0.0,independent_latents,0.0,0.0,0.0,signed_heavy_neural_drift,logger1_minus_logger2,3,78,0.0,0.0,0.0,True
plus,anchor_id,1.6605899940974564e-16,1.9440764288040937e-17,independent_latents,0.0,0.0,9.394194823751324e-17,signed_heavy_population_drift,logger1_minus_logger2,3,78,9.394194823751324e-17,9.394194823751324e-17,0.0,True
base,anchor_id,0.03152156907368183,0.017657292370161504,independent_latents,0.0,0.0,0.02396851385174519,reward_population_mae,logger2_heavy,3,78,0.02725270910171651,0.018635047566479192,0.004660006053220371,True
base,anchor_id,0.050774443282614934,0.026708752525396385,independent_latents,0.0,0.0,0.03897645853951758,reward_population_rmse,logger2_heavy,3,78,0.04775122971447319,0.026133884955587015,0.011368274316490727,True
minus,anchor_id,0.03288513073590733,0.018730239624908815,independent_latents,0.0,0.0,0.025302649660671094,reward_population_mae,logger2_heavy,3,78,0.028473932549760203,0.020107321470433853,0.0045357044407678794,True
minus,anchor_id,0.054300912876036916,0.027918016563505385,independent_latents,0.0,0.0,0.04116132746317152,reward_population_rmse,logger2_heavy,3,78,0.04902272911144933,0.027615753118164048,0.011781214696666823,True
plus,anchor_id,0.0307302660199828,0.018047397887300438,independent_latents,0.0,0.0,0.023987527850737256,reward_population_mae,logger2_heavy,3,78,0.027072883844374635,0.0194203043310758,0.004035770288972575,True
plus,anchor_id,0.04838762115274059,0.02611848423732228,independent_latents,0.0,0.0,0.037562052771878955,reward_population_rmse,logger2_heavy,3,78,0.04644963630216069,0.02637741072652645,0.010231369324583616,True
base,anchor_id,0.49302175081780114,0.36362689610452265,confounded,0.0,0.05,0.4283944004988592,base_leakage_over_balanced_direct_signal,all_primary,3,78,0.4816168348956313,0.3726282079323329,0.054538823154298956,True
base,anchor_id,0.014917601031354977,0.010898379813088355,confounded,0.0,0.05,0.012851832014965774,base_prediction_range_across_mixtures,all_primary,3,78,0.014448505046868933,0.011178846237969987,0.0016361646946289662,True
all,anchor_id,0.006647774683892151,0.004902708130643222,confounded,0.0,0.05,0.005752119579526244,neural_decision_regret,logger12_balanced,3,78,0.005877633093443531,0.005588795723747603,0.00014808434419941172,True
all,anchor_id,0.982905982905983,0.8717948717948718,confounded,0.0,0.05,0.9316239316239315,neural_do_ranking_disagreement,logger12_balanced,3,78,0.9487179487179487,0.9102564102564102,0.01958365681605059,True
base,anchor_id,0.021467591560044696,0.014279971348224252,confounded,0.0,0.05,0.01771246688934601,base_prediction_absolute_increment,logger12_balanced,3,78,0.018982436580008668,0.015623094213653618,0.0018234201991048891,True
base,anchor_id,0.02134754613978566,0.01432753574839262,confounded,0.0,0.05,0.01771246688934601,paired_increment_absolute_error,logger12_balanced,3,78,0.018982436580008668,0.015623094213653618,0.0018234201991048891,True
base,anchor_id,0.009454591040880806,-0.0008224957958789438,confounded,0.0,0.05,0.004288953055404709,paired_prediction_increment,logger12_balanced,3,78,0.00576955310525032,0.002110521933308054,0.0019267468524330283,True
