action,bootstrap_unit,ci_high,ci_low,ci_method,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,sd,seed_max,seed_min,seed_sd,seed_variation_reported_separately,theoretical_slope
plus,anchor_id,0.16759417449795078,0.10440081517612851,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.1353284895775372,heavy_slope_through_origin_increment,heavy,3,78,0.14296357286195888,0.13939151012618714,0.13237729673556678,0.0036368830073697234,True,0.31111111111111134
plus,anchor_id,0.14156800260005298,0.08037986512676476,bootstrap anchors after averaging paired model-seed predictions,confounded,0.3,all,0.11047294596576783,heavy_slope_with_intercept,heavy,3,78,0.14357939454197458,0.12803678900216495,0.10118955443383368,0.015218998286026325,True,0.31111111111111134
base,anchor_id,2.133756473640082e-15,1.7893704426192995e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.9655963195439277e-15,balanced_slope_error,balanced,3,78,7.4755351983367395e-16,2.187912041202689e-15,1.7893704426192995e-15,2.0322907466960363e-16,True,0.0
base,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.0,balanced_slope_r2,balanced,3,78,0.0,1.0,1.0,0.0,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,balanced_slope_through_origin_increment,balanced,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,-1.648321961896165e-15,-2.011686164278061e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,-1.8354602873534328e-15,balanced_slope_with_intercept,balanced,3,78,8.295878630576616e-16,-1.5941663943335578e-15,-2.122844025107442e-15,2.673353973212008e-16,True,0.0
minus,anchor_id,2.185200873865387e-15,1.7758146059327903e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.9764409888931355e-15,balanced_slope_error,balanced,3,78,9.462349808091201e-16,2.2367130532741244e-15,1.7649699365835818e-15,2.396279326802783e-16,True,0.0
minus,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.0,balanced_slope_r2,balanced,3,78,0.0,1.0,1.0,0.0,True,0.0
minus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,balanced_slope_through_origin_increment,balanced,3,78,0.0,0.0,0.0,0.0,True,0.0
minus,anchor_id,-1.7758146059327895e-15,-2.1852686530488196e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,-1.9764409888931355e-15,balanced_slope_with_intercept,balanced,3,78,9.462349808091201e-16,-1.7649699365835818e-15,-2.2367130532741244e-15,2.396279326802783e-16,True,0.0
plus,anchor_id,2.1934021550607254e-15,1.808280834796981e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.998130327591551e-15,balanced_slope_error,balanced,3,78,8.518007976885393e-16,2.171645037178877e-15,1.8625719607264524e-15,1.5799384358758081e-16,True,0.0
plus,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.0,balanced_slope_r2,balanced,3,78,0.0,1.0,1.0,0.0,True,0.0
plus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,balanced_slope_through_origin_increment,balanced,3,78,0.0,0.0,0.0,0.0,True,0.0
plus,anchor_id,-1.7838803287612632e-15,-2.166222702504273e-15,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,-1.976440988893136e-15,balanced_slope_with_intercept,balanced,3,78,8.807497394085595e-16,-1.8625719607264524e-15,-2.1065770210836296e-15,1.228131871376622e-16,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,heavy_slope_error,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,1.0,1.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,1.0,heavy_slope_r2,heavy,3,78,0.0,1.0,1.0,0.0,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,heavy_slope_through_origin_increment,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
base,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,heavy_slope_with_intercept,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
minus,anchor_id,0.0,0.0,bootstrap anchors after averaging paired model-seed predictions,independent_latents,0.3,all,0.0,heavy_slope_error,heavy,3,78,0.0,0.0,0.0,0.0,True,0.0
