kappa,condition,mixture,lambda_reward,method,metric,n_seeds,mean,sd,ci95_low,ci95_high
0.0,confounded,logger1_heavy,0.01,oracle_u_aware,top_set_disagreement,5,0.22265372168284792,0.03852356282188474,0.17482040064437254,0.2704870427213233
0.0,confounded,logger1_heavy,0.01,oracle_u_aware,mean_regret,5,0.0008092464434571102,0.00019513957525958038,0.0005669486582325149,0.0010515442286817057
0.0,confounded,logger1_heavy,0.01,source_shuffle,mae,5,0.013377392627325457,0.0021871273978129923,0.010661715277975978,0.016093069976674937
0.0,confounded,logger1_heavy,0.01,source_shuffle,top_set_disagreement,5,0.7585760517799353,0.0654330198374116,0.6773302267540684,0.8398218768058021
0.0,confounded,logger1_heavy,0.01,source_shuffle,mean_regret,5,0.004666211451575716,0.0007107568183721838,0.003783690298725122,0.00554873260442631
0.0,confounded,logger1_heavy,0.01,no_behavior,mae,5,0.01320895024114874,0.0020990295362769444,0.010602660834787312,0.01581523964751017
0.0,confounded,logger1_heavy,0.01,no_behavior,top_set_disagreement,5,0.7831715210355987,0.026390787104045466,0.7504030308042452,0.8159400112669523
0.0,confounded,logger1_heavy,0.01,no_behavior,mean_regret,5,0.004945780447824513,0.00032523133460660126,0.004541952408555734,0.005349608487093292
0.0,confounded,logger1_heavy,0.01,source_dependent_reward,mae,5,0.012680926671117792,0.000639666743782446,0.011886675504514896,0.013475177837720688
0.0,confounded,logger1_heavy,0.01,source_dependent_reward,top_set_disagreement,5,0.7042071197411003,0.0538424190112244,0.6373529264786609,0.7710613130035396
0.0,confounded,logger1_heavy,0.01,source_dependent_reward,mean_regret,5,0.00390790897835062,0.0005315066110429009,0.0032479563546113574,0.004567861602089883
0.0,confounded,logger1_heavy,0.02,pooled_mlp,mae,5,0.01663329790179137,0.0008150912498396834,0.015621228441614522,0.017645367361968214
0.0,confounded,logger1_heavy,0.02,pooled_mlp,top_set_disagreement,5,0.8964401294498382,0.003963575635571484,0.8915187002789915,0.9013615586206849
0.0,confounded,logger1_heavy,0.02,pooled_mlp,mean_regret,5,0.0064098384717869135,7.687960142218201e-05,0.0063143798385047354,0.006505297105069092
0.0,confounded,logger1_heavy,0.02,source_balanced_pooled_mlp,mae,5,0.015034511140379483,0.0007605651155495825,0.01409014481811188,0.015978877462647086
0.0,confounded,logger1_heavy,0.02,source_balanced_pooled_mlp,top_set_disagreement,5,0.8880258899676375,0.011116869927066463,0.874222472806485,0.9018293071287901
0.0,confounded,logger1_heavy,0.02,source_balanced_pooled_mlp,mean_regret,5,0.0062571109121970225,0.00012793983411398687,0.006098252626241523,0.006415969198152522
0.0,confounded,logger1_heavy,0.02,source_conditioned_decoder,mae,5,0.014304671506250288,0.0007743569717041524,0.01334318033272715,0.015266162679773427
0.0,confounded,logger1_heavy,0.02,source_conditioned_decoder,top_set_disagreement,5,0.8809061488673139,0.014545116539963909,0.8628460013099626,0.8989662964246652
0.0,confounded,logger1_heavy,0.02,source_conditioned_decoder,mean_regret,5,0.006214045697980866,0.000178666835588993,0.005992201520557022,0.006435889875404711
0.0,confounded,logger1_heavy,0.02,per_source_models,mae,5,0.013413432992890873,0.0006727483802960245,0.012578105549227404,0.014248760436554342
0.0,confounded,logger1_heavy,0.02,per_source_models,top_set_disagreement,5,0.8919093851132687,0.010878793730725955,0.8784015785939414,0.9054171916325959
0.0,confounded,logger1_heavy,0.02,per_source_models,mean_regret,5,0.006344761372087703,0.00015156625971768467,0.006156567004053852,0.0065329557401215535
0.0,confounded,logger1_heavy,0.02,mechanism_separated,mae,5,0.016379592901861965,0.001801759387191819,0.014142413137360203,0.01861677266636373
0.0,confounded,logger1_heavy,0.02,mechanism_separated,top_set_disagreement,5,0.8990291262135923,0.008058187442063868,0.8890235649760039,0.9090346874511808
0.0,confounded,logger1_heavy,0.02,mechanism_separated,mean_regret,5,0.0064626798824312034,9.987553166200861e-05,0.006338668030465027,0.00658669173439738
0.0,confounded,logger1_heavy,0.02,oracle_u_aware,mae,5,0.011119759979484318,0.001766078865286685,0.008926883434469282,0.013312636524499355
0.0,confounded,logger1_heavy,0.02,oracle_u_aware,top_set_disagreement,5,0.2737864077669903,0.041355627315805533,0.2224366142058223,0.3251362013281583
0.0,confounded,logger1_heavy,0.02,oracle_u_aware,mean_regret,5,0.0009900101388628823,0.0002394258011323353,0.0006927237413557669,0.0012872965363699977
0.0,confounded,logger1_heavy,0.02,source_shuffle,mae,5,0.017316038152290127,0.001613868257155623,0.015312156039536132,0.019319920265044123
0.0,confounded,logger1_heavy,0.02,source_shuffle,top_set_disagreement,5,0.9016181229773462,0.006710822444442605,0.8932855363497441,0.9099507096049484
0.0,confounded,logger1_heavy,0.02,source_shuffle,mean_regret,5,0.006499969552054773,6.254579085716054e-05,0.006422308695308254,0.0065776304088012915
0.0,confounded,logger1_heavy,0.02,no_behavior,mae,5,0.016288356364643486,0.0014223395266532337,0.01452228858117598,0.01805442414811099
0.0,confounded,logger1_heavy,0.02,no_behavior,top_set_disagreement,5,0.8951456310679612,0.006308604753921655,0.8873124636661195,0.9029787984698029
0.0,confounded,logger1_heavy,0.02,no_behavior,mean_regret,5,0.00648777289393955,5.282202192536316e-05,0.006422185691002497,0.006553360096876603
0.0,confounded,logger1_heavy,0.02,source_dependent_reward,mae,5,0.015969731910685982,0.0006775084323997558,0.015128494081695735,0.01681096973967623
